gene_name,logFC_PA,logFC_PE,pvalue_PA,pvalue_PE,hit_annotation_PA,hit_annotation_PE
MAP4,-1.7102873,-2.1282363,0.0000132,0.0000008,no hit,no hit
SEC24C,-1.3996266,-1.5440426,0.0000189,0.0000056,no hit,no hit
STRAP,-1.5509555,-1.8955412,0.000024,0.0000019,no hit,no hit
PCBP1,-1.58675,-1.8692164,0.0000622,0.0000089,no hit,no hit
MET,1.0225475,0.9244389,0.0000697,0.0002044,enriched hit,enriched candidate
TPT1,-1.9047844,-1.9563568,0.0000945,0.0000705,no hit,no hit
EGFR,1.4329414,1.4807718,0.0000951,0.0000662,enriched hit,enriched hit
ATXN10,-1.3980813,-1.4974015,0.0001086,0.0000509,no hit,no hit
RAB13,1.490336,1.4399773,0.0001511,0.0002155,enriched hit,enriched hit
MAPRE1,-1.7511824,-1.9126243,0.0001529,0.0000587,no hit,no hit
FAM114A1,-1.4527281,-1.6007909,0.0001658,0.000058,no hit,no hit
SLC30A1,1.2417693,1.1022616,0.0001735,0.0005614,enriched hit,enriched hit
LANCL1,1.0626288,0.7065839,0.0002058,0.0064983,enriched hit,enriched candidate
L1CAM,1.4784112,1.3140481,0.0002255,0.000702,enriched hit,enriched hit
EEF1G,-1.8482329,-2.0576506,0.000241,0.0000776,no hit,no hit
USO1,-0.9412429,-0.6719631,0.0002413,0.0044181,no hit,no hit
PDCD6,-1.8859665,-2.1370521,0.0003295,0.0000902,no hit,no hit
VPS29,-1.0191345,-0.7172935,0.0003607,0.0064704,no hit,no hit
SEC13,-1.3569496,-1.6202865,0.0003764,0.0000588,no hit,no hit
EIF4E,-0.911133,-1.1200372,0.0004089,0.0000466,no hit,no hit
PCBP2,-1.3050835,-1.6614153,0.00043,0.0000331,no hit,no hit
EIF2B1,-0.9708108,-1.0045364,0.0004362,0.0003131,no hit,no hit
SPCS2,1.1806362,1.1264986,0.0004516,0.0006998,enriched hit,enriched hit
SEC11A,0.9320441,0.7949083,0.0004619,0.0018796,enriched candidate,enriched candidate
NAA50,-1.219215,-1.2449251,0.0004681,0.0003832,no hit,no hit
GNAI1,1.0962794,0.9991076,0.0005795,0.0013233,enriched hit,enriched candidate
TMEM214,1.5019694,1.4725462,0.00068,0.0008135,enriched hit,enriched hit
COPE,-0.7396678,-1.0079993,0.0006801,0.0000264,no hit,no hit
EPHB4,0.8741008,0.9153067,0.0006809,0.0004426,enriched candidate,enriched candidate
ATXN2L,-1.2994512,-1.7866263,0.0007103,0.0000252,no hit,no hit
GNAI2,1.0018102,0.8476414,0.0008882,0.0034789,enriched hit,enriched candidate
SLC9A3R1,1.2805822,1.4100435,0.0011358,0.0004743,enriched hit,enriched hit
BZW1,-1.3116651,-1.3766574,0.0011635,0.000759,no hit,no hit
ABCC1,0.7114526,0.7618172,0.0012429,0.0006783,enriched candidate,enriched candidate
PDCD6IP,-1.0900299,-0.8838015,0.0012865,0.0063745,no hit,no hit
RALA,1.1455485,1.3715065,0.0012948,0.0002427,enriched hit,enriched hit
ARF4,-0.789913,-0.7036164,0.0014075,0.0035243,no hit,no hit
NPM1,0.9090801,0.8472015,0.0014406,0.0025504,enriched candidate,enriched candidate
RAB23,0.6729241,0.4513435,0.0016281,0.0232187,enriched candidate,no hit
PARVA,-0.8810579,-0.7908037,0.0016454,0.0038259,no hit,no hit
SEC23A,-1.0161021,-1.0629142,0.001844,0.0012664,no hit,no hit
SEC31A,-1.1761229,-1.6216455,0.0018814,0.0000882,no hit,no hit
IGF1R,0.8272967,0.8199912,0.0019043,0.0020457,enriched candidate,enriched candidate
STOM,1.1804349,1.273757,0.0019705,0.0010394,enriched hit,enriched hit
GNA13,0.9670985,1.0586222,0.0021405,0.0010034,enriched candidate,enriched hit
SYAP1,-1.2244537,-1.5291549,0.0022067,0.000304,no hit,no hit
ATP2B1,1.0384657,1.2540792,0.0022216,0.000425,enriched hit,enriched hit
YWHAQ,-1.1744336,-1.4219177,0.0023217,0.0004374,no hit,no hit
ATP2B4,0.7835533,0.8851383,0.0025009,0.0009042,enriched candidate,enriched candidate
IPO5,-1.2780783,-1.3857587,0.0026504,0.0013759,no hit,no hit
ACO1,-0.9398386,-0.9656543,0.0026515,0.002142,no hit,no hit
TARS,-1.3090394,-1.245218,0.0026577,0.0038755,no hit,no hit
SORD,-1.7193752,-1.3600723,0.00266,0.0131007,no hit,no hit
AARS,-1.0898991,-1.0073615,0.0027365,0.0048995,no hit,no hit
UBAP2L,-1.7198342,-2.1402332,0.0028668,0.0004357,no hit,no hit
IL1RAP,0.7931747,0.6907412,0.0029004,0.0077324,enriched candidate,enriched candidate
ARHGDIA,-1.0157838,-1.4247269,0.0029327,0.0001345,no hit,no hit
FAM129B,1.5349159,1.5722074,0.002994,0.0024871,enriched hit,enriched hit
RRAS2,0.8253033,0.7508358,0.0033333,0.0065344,enriched candidate,enriched candidate
SRI,-1.1956447,-1.2497933,0.0041415,0.0029779,no hit,no hit
ATP1B1,0.8745413,1.2597072,0.0041624,0.0001665,enriched candidate,enriched hit
PCNA,-1.1992113,-1.3561269,0.0041739,0.0016054,no hit,no hit
PPIA,-0.9861701,-1.0379672,0.0042413,0.0028967,no hit,no hit
CISD2,1.1989323,1.5598348,0.0043038,0.0004798,enriched candidate,enriched hit
PLIN4,-0.9154316,-1.3468834,0.0044788,0.0001483,no hit,no hit
SERPINB1,-0.9539765,-1.1727315,0.0045716,0.0008729,no hit,no hit
GNB1,0.6925947,0.5853194,0.0047082,0.0139438,enriched candidate,enriched candidate
IST1,-0.7949002,-0.5686618,0.0049541,0.0344595,no hit,no hit
PDIA3,1.0440225,1.2854647,0.0051192,0.0009913,enriched candidate,enriched hit
GNAS,0.8591344,0.9233122,0.0052333,0.003095,enriched candidate,enriched candidate
PGLS,-1.0212386,-1.1916845,0.0054511,0.00169,no hit,no hit
ANXA5,-1.2619308,-1.4111686,0.0056159,0.0024635,no hit,no hit
ANXA7,-1.3200992,-1.5553,0.006169,0.0018104,no hit,no hit
TSN,-0.8431285,-1.0572653,0.0061709,0.0010701,no hit,no hit
LYPD3,0.734313,0.7199076,0.00675,0.0076958,enriched candidate,enriched candidate
RHOG,0.5404821,0.4997986,0.0072035,0.0118088,no hit,no hit
TNPO1,-0.881514,-1.0499972,0.0073774,0.0020571,no hit,no hit
JUP,0.9868617,0.8219394,0.0075067,0.0220077,enriched candidate,enriched candidate
RAC1,0.9171846,0.9021876,0.0077608,0.0086338,enriched candidate,enriched candidate
RCN1,0.7152582,1.3019973,0.0078572,0.0000349,enriched candidate,enriched hit
PDIA6,0.6981538,0.9202651,0.0079715,0.0009685,enriched candidate,enriched candidate
EEF1B2,-1.3968312,-1.7993297,0.0080297,0.0011948,no hit,no hit
EIF4G1,-1.3069674,-1.7655515,0.0080956,0.0007951,no hit,no hit
GNB4,0.774015,0.7026174,0.0081284,0.0146772,enriched candidate,enriched candidate
HYOU1,1.0490048,1.4954338,0.0082523,0.0004974,enriched candidate,enriched hit
HSPB1,-0.8559313,-1.1778545,0.0090629,0.0007887,no hit,no hit
NDUFA4,1.202984,2.1094055,0.0090763,0.000069,enriched candidate,enriched hit
UBE2M,-1.2063453,-1.0476949,0.009234,0.0209101,no hit,no hit
PRDX6,-1.1222757,-1.1227733,0.0094776,0.0094513,no hit,no hit
SRPRB,1.3048445,1.6576933,0.0096783,0.0017175,enriched candidate,enriched hit
CD55,0.7103563,0.8532823,0.0097561,0.0027128,enriched candidate,enriched candidate
GNA11,0.6994555,0.6551633,0.0104753,0.0154319,enriched candidate,enriched candidate
PHGDH,-0.8681374,-0.9620424,0.0107426,0.0054918,no hit,no hit
EIF4G2,-0.9535521,-1.4050036,0.0107689,0.0005427,no hit,no hit
PGM1,-1.1487993,-1.2298332,0.0109453,0.0070886,no hit,no hit
S100A4,-1.1564389,-1.5897264,0.0114301,0.0011082,no hit,no hit
DPP3,-1.0717803,-0.8187028,0.0115417,0.0456998,no hit,no hit
RABGGTB,-1.1020058,-1.3531511,0.0115516,0.0028302,no hit,no hit
API5,-0.8858819,-0.5529997,0.011838,0.0977886,no hit,no hit
PPIB,0.805446,1.2116555,0.0118508,0.0005179,enriched candidate,enriched hit
CANX,0.7625202,0.9614163,0.0118849,0.0023895,enriched candidate,enriched candidate
YWHAZ,-0.879541,-1.3062261,0.0120203,0.000597,no hit,no hit
SFN,-1.0509365,-1.3210768,0.0121962,0.0025308,no hit,no hit
NARS,-1.0583062,-1.2664898,0.0125384,0.0038066,no hit,no hit
IPO7,-1.0332833,-1.0718186,0.0125476,0.0100435,no hit,no hit
CRTAP,0.7743448,1.1324719,0.0128594,0.0007623,enriched candidate,enriched hit
PRRC1,-0.8420595,-0.9514735,0.0128906,0.0059171,no hit,no hit
GNAQ,0.6864202,0.6472779,0.0130591,0.0182277,enriched candidate,enriched candidate
TAGLN2,-0.8251559,-1.1475567,0.0133704,0.0012577,no hit,no hit
SRM,-0.9561359,-1.0658276,0.0133937,0.006778,no hit,no hit
LTA4H,-1.0575724,-0.8715713,0.0136723,0.0371187,no hit,no hit
