gene_name,gene_ID,logFC,pvalue,numReplicates,AveExpr,LipidProbe,hit_annotation
CCN1,hsa:3491,6.21574382519109,1e-17,1,3.4297607423410663,BF-NAPE,no hit
COPS3,B2R683,6.21574382519109,1e-17,1,2.8852863564125037,BF-NAPE,no hit
CPNE2,hsa:221184,6.21574382519109,1e-17,1,3.068256737513462,BF-NAPE,no hit
DRG2,B2R8G5,6.21574382519109,1e-17,1,2.54753939117257,BF-NAPE,no hit
EMG1,hsa:10436,6.21574382519109,1e-17,1,2.7565229399614215,BF-NAPE,no hit
EML3; MTA2,A0A024R534,6.21574382519109,1e-17,1,2.7083248555611203,BF-NAPE,no hit
GRPEL1,B2R783,6.21574382519109,1e-17,1,2.801795006625388,BF-NAPE,no hit
HK1,NP_001309294.1,6.21574382519109,1e-17,1,2.680242788979725,BF-NAPE,no hit
ITGAV,A0AV67,6.21574382519109,1e-17,1,2.627124052337731,BF-NAPE,no hit
LAMB1,XP_016867690.1,6.21574382519109,1e-17,1,2.1276571274807985,BF-NAPE,no hit
MAPK1,A8CZ64,6.21574382519109,1e-17,1,2.6740646084785706,BF-NAPE,no hit
MVP,hsa:9961,6.21574382519109,1e-17,1,2.3183419134415133,BF-NAPE,no hit
NCAPH,B4E189,6.21574382519109,1e-17,1,2.4110519987164647,BF-NAPE,no hit
POLR1C,hsa:9533,6.21574382519109,1e-17,1,2.5820125993094756,BF-NAPE,no hit
RAB8A,B4DEK7,6.21574382519109,1e-17,1,2.610631727832988,BF-NAPE,no hit
SUPT6H,A7E2B4,6.21574382519109,1e-17,1,2.271725725777531,BF-NAPE,no hit
TUBG2,XP_024306463.1,6.21574382519109,1e-17,1,2.8320947042502196,BF-NAPE,no hit
THOP1,B3KSE2,3.436528058430067,0.003218204000000005,2,2.918713587652403,BF-NAPE,enriched candidate
STAG2,A0A2I3HJY3,3.3999212722791654,0.012685786000000004,2,2.60184482096961,BF-NAPE,enriched candidate
EIF4A3,hsa:9775,3.277007300804377,0.018374702500000006,2,3.0581488107925625,BF-NAPE,enriched candidate
TGFBI,D3DQB1,3.2269667943902753,0.06733426450000002,2,2.840472843623556,BF-NAPE,no hit
CD44,XP_005253288.1,3.051630137297125,8.766666966000001e-9,3,2.9648317972546376,BF-NAPE,enriched hit
MCAM,hsa:4162,2.9358478626979654,0.0977681705,2,2.9314498454990288,BF-NAPE,no hit
AKR1A1,A8KAL8,2.915837896656739,0.1587185935,2,2.788975263479566,BF-NAPE,no hit
PUS7,A0A2I3SFI8,2.8281591129647956,0.085984125,2,2.7281957515350985,BF-NAPE,no hit
SNX12,F8W8K5,2.813795524048494,0.043244907,2,2.9277556903789215,BF-NAPE,enriched candidate
PMVK,hsa:10654,2.7658170417869083,1e-17,1,3.01929699935686,BF-NAPE,no hit
PMPCB,XP_005250774.1,2.7594023987275893,0.05097139303333333,3,2.709160696888472,BF-NAPE,no hit
RFC5,A8MZ62,2.573013861282055,5.0260000000005004e-5,2,2.992468375072674,BF-NAPE,enriched candidate
RRBP1,A0A0A0MRV0,2.490876598793602,0.276664585,3,2.862929187705232,BF-NAPE,no hit
