gene_ID,gene_name,razor_peptides,ratio_MvsL,pvalue,L_abundance,M_abundance,Replicate
XP_016860322.1,,0,,,0,0,A
hsa:3310; NP_002146.2; P17066; Q1HBA8; Q8IYK7; Q9BT95,HSPA6,0,,,0,0,A
A6NP77; hsa:89; NP_001095.2; Q08043; Q4KKV2,ACTN3,0,,,0,0,A
XP_011522177.1,,0,,,0,0,A
NP_001358855.1,,0,,,0,0,A
A8K7S1; hsa:81876; NP_112243.1; Q9H0U4,RAB1B,0,,,0,0,A
B2RBW6; hsa:8531; NP_003642.3; P16989; Q14121; Q969N6; Q96B76,YBX3,0,,,0,0,A
hsa:100529241; NP_001189414.1; S4R3N1,HSPE1-MOB4,0,,,0,0,A
hsa:5042; NP_112241.2; Q8NHV0; Q9H086; Q9H361,PABPC3,0,,,0,0,A
hsa:2810; NP_006133.1; P31947; Q6FH30; Q6FH51; Q96DH0,SFN,0,,,0,0,A
A0A2R8Y891; NP_001341664.1,PFKM,0,,,0,0,A
hsa:4837; NP_001358974.1; P40261; Q6FH49,NNMT,0,,,0,0,A
XP_024309291.1,,0,,,0,0,A
B4DPM9; D3DXD0; hsa:6470; P34896; Q96HY0; Q9UMD1; Q9UMD2; XP_016880446.1,SHMT1,0,,,0,0,A
J3KPP4; NP_001317259.1,LUC7L3,0,,,0,0,A
hsa:653505; NP_001137355.1; Q9Y536,PPIAL4A,0,,,0,0,A
hsa:192666; NP_061889.2; Q2M2I5; Q9NXG7,KRT24,0,,,0,0,A
hsa:7298; NP_001062.1; P04818; Q53Y97; Q8WYK3; Q8WYK4,TYMS,0,,,0,0,A
C9JT33; hsa:10642; NP_006537.3; Q9NZI8,IGF2BP1,0,,,0,0,A
NP_001184223.1,,0,,,0,0,A
A6NHL2; B4DKL2; hsa:79861; NP_079079.1; Q4QQJ5; Q9H6Z0,TUBAL3,0,,,0,0,A
hsa:5139; NP_000912.3; O60865; Q13348; Q14432; Q17RD1,PDE3A,0,,,0,0,A
D3DW83; hsa:3419; NP_005521.1; P50213; Q9H3X0,IDH3A,0,,,0,0,A
H0Y993; XP_016866762.1,DEK,0,,,0,0,A
B3KY21; hsa:9368; NP_004243.1; O14745; O43552; Q86WQ5,SLC9A3R1,0,,,0,0,A
XP_016856050.1,,0,,,0,0,A
B2R6W6; hsa:8985; NP_001075.1; O60568; Q540C3,PLOD3,0,,,0,0,A
B2RAR5; B3KMC6; hsa:24148; NP_036601.2; O94906; O95109; Q5VXS5; Q9H3Z1; Q9H4T9; Q9H4U8; Q9NTE6,PRPF6,0,,,0,0,A
hsa:3074; NP_000512.2; P07686,HEXB,0,,,0,0,A
hsa:55127; NP_060542.4; Q5T3Q8; Q6P197; Q9H583; Q9NW23,HEATR1,0,,,0,0,A
B4DP58; D3DRI1; E7ET30; hsa:50808; NP_057366.2; Q5VYW6; Q9H576; Q9HC01; Q9NPB4; Q9UIJ7,AK3,0,,,0,0,A
B1ALA8; B2R6T7; B4DNL6; D3DUX6; hsa:5631; NP_002755.1; P09329; P60891,PRPS1,0,,,0,0,A
NP_001356065.1,,0,,,0,0,A
A8K4V1; B7Z8A4; hsa:10788; J3KR91; NP_006624.3; Q13576,IQGAP2,0,,,0,0,A
D3DRI9; hsa:11168; NP_150091.2; O00256; O75475; O95368; Q6P391; Q86YB9; Q9NZI3; Q9UER6,PSIP1,0,,,0,0,A
NP_001350470.2,,0,,,0,0,A
B2R9A3; D3DN47; hsa:56954; NP_064587.1; Q8WUF0; Q9NQR4,NIT2,0,,,0,0,A
hsa:2274; NP_001305823.1; Q13229; Q13644; Q14192; Q2I5I4; Q5TM15; Q9P294,FHL2,0,,,0,0,A
XP_005246247.1,,0,,,0,0,A
hsa:25932; NP_039234.1; Q9UFW9; Q9UQJ6; Q9Y696,CLIC4,0,,,0,0,A
A8KA88; B4E2V1; C9J3A4; hsa:2770; NP_002060.4; P04898; P11015; P31871; P63096; Q5U074; Q8TAN5; Q9UGA4,GNAI1,0,,,0,0,A
B4DFD5; E7ESU4; E9PMN9; hsa:55226; NP_078938.3; Q86WK5; Q9C0F4; Q9H0A0; Q9HA61; Q9NVF2,NAT10,0,,,0,0,A
hsa:51726; NP_057390.1; Q542Y5; Q542Y9; Q6IAQ8; Q96JC6; Q9UBS4,DNAJB11,0,,,0,0,A
hsa:9533; NP_976035.1; O15160; O75395; Q5JTE3,POLR1C,0,,,0,0,A
hsa:5813; NP_005850.1; Q00577,PURA,0,,,0,0,A
XP_005268733.1,,0,,,0,0,A
B7Z7M3; hsa:10526; NP_006381.2; O15397,IPO8,0,,,0,0,A
B2R4V0; hsa:134492; NP_660309.1; Q8WVJ2,NUDCD2,0,,,0,0,A
A0A2I3HJY3; A0A2J8LE64; A0A2J8WWP3; A0A2R9BTK7; A0A6D2WJU7; G3QND0; ggo:101131726; H2QZ33; K7CCP7; nle:100598212; NP_001362295.1; ptr:473766,STAG2,0,,,0,0,A
NP_001350496.1; Q5RJ85,HLA-G,0,,,0,0,A
XP_024307243.1,,0,,,0,0,A
XP_016878627.1,,0,,,0,0,A
NP_001191192.1,,0,,,0,0,A
B4DVY7; hsa:10211; NP_005794.1; O75955; Q969J8; Q9UHW1; Q9UNV8,FLOT1,0,,,0,0,A
A0A0C4DFL7; A4D1F8; B2RAI4; B4DJ55; hsa:1595; NP_000777.1; O00770; O00772; Q16784; Q16850; Q8N1A8; Q99868,CYP51A1,0,,,0,0,A
A0A024R284; hsa:29979; NP_038466.2; Q5T6J5; Q5T6J9; Q8IXS9; Q8N2Q3; Q9H0T8; Q9H3R4; Q9HAZ5; Q9UMX0,UBQLN1,0,,,0,0,A
XP_024306736.1,,0,,,0,0,A
B3KPQ8; hsa:9688; NP_055484.3; Q14705; Q8N1F7,NUP93,0,,,0,0,A
A8MPS6; B4DF96; B4DQ14; D3DNI9; hsa:83939; NP_114414.2; Q5QTR2; Q7Z4E9; Q8NFM1; Q96EW9; Q96K81; Q9BY44,EIF2A,0,,,0,0,A
hsa:4430; O43794; O43795; Q7Z6L5; XP_005246629.1,MYO1B,0,,,0,0,A
B4DIW6; B7ZKZ7; B7ZL00; H7C2W3; hsa:22872; NP_001070675.1; O94979; Q17RR5; Q5H9P6; Q5XG74; Q659G7; Q6ZU90; Q7LCX9; Q86TJ0; Q8IZH4; Q9P048; Q9P0A6; Q9UM05; Q9UM06,SEC31A,0,,,0,0,A
A1L3A6; A1L3A7; hsa:57532; NP_065823.1; Q7Z417; Q9P2M5,NUFIP2,0,,,0,0,A
NP_001116428.1,,0,,,0,0,A
hsa:7360; NP_006750.3; Q07131; Q0P6K2; Q16851; Q86Y81; Q9BU15,UGP2,0,,,0,0,A
XP_024306443.1,,0,,,0,0,A
hsa:823; P07384; Q2TTR0; Q6DHV4; XP_006718761.1,CAPN1,0,,,0,0,A
XP_016883439.1,,0,,,0,0,A
B4DIH1; B4DSY2; hsa:373156; NP_057001.1; Q6P4H0; Q7Z520; Q9P1S4; Q9Y2Q3,GSTK1,0,,,0,0,A
B4DJZ9; D3DSN0; E9PEI9; G5E9Q9; hsa:4047; NP_002331.3; P48449; Q8IYL6; Q9UEZ1,LSS,0,,,0,0,A
XP_024307558.1,,0,,,0,0,A
A5PKZ6; G5E960; hsa:5331; NP_000923.1; Q01970; Q8N1A4,PLCB3,0,,,0,0,A
XP_011519299.1,,0,,,0,0,A
hsa:8886; NP_006764.3; Q6GTZ9; Q6IAU4; Q92732; Q9BQB7; Q9NVP1,DDX18,0,,,0,0,A
NP_001303991.1,,0,,,0,0,A
XP_016860322.1,,0,,,0,0,B
E1P501; E1P502; hsa:10492; O60506; Q53H05; Q5TCG2; Q5TCG3; Q8IW78; Q8N599; Q96LC1; Q96LC2; Q9Y583; XP_005248694.1,SYNCRIP,0,,,0,0,B
XP_011522177.1,,0,,,0,0,B
A6NP77; hsa:89; NP_001095.2; Q08043; Q4KKV2,ACTN3,0,,,0,0,B
A0A0C4DG89; NP_001287789.1,DDX46,0,,,0,0,B
XP_024309291.1,,0,,,0,0,B
hsa:100529241; NP_001189414.1; S4R3N1,HSPE1-MOB4,0,,,0,0,B
A8K345; B0AZP7; B4DPX4; hsa:10493; NP_006364.2; Q13035; Q5BKZ7; Q96A39; Q99536; Q9BUT8,VAT1,0,,,0,0,B
A0A6Q8PFU3; XP_011522205.1,PAFAH1B1,0,,,0,0,B
XP_016856050.1,,0,,,0,0,B
XP_016864628.1,,0,,,0,0,B
hsa:9260; NP_005442.2; Q14250; Q5XG82; Q6NVZ5; Q96C91; Q9BXB8; Q9BXB9; Q9NR12,PDLIM7,0,,,0,0,B
A0A2J8Q2T5; A0A2R9A3I7; A0A6D2XLZ4; A9Z1W6; B1AVS6; G3SG04; ggo:101133925; H2Q077; hsa:10067; NP_005689.2; O14828; O15128; pps:103785857; Q96FR8; Q9BPY0,SCAMP3,0,,,0,0,B
hsa:441531; NP_001025062.1; Q5JPN2; Q8N0Y7; Q8NI24; Q8NI25; Q8NI26,PGAM4,0,,,0,0,B
A0A096NMV6; A0A1D5R647; A0A2I3H727; A0A2J8KCJ5; A0A2J8SKC3; A0A2K5IEN0; A0A2K5NY16; A0A2K5RD10; A0A2K5TS21; A0A2K5Z5K6; A0A2K6B057; A0A2K6KVQ2; A0A2K6RGB5; A0A2R9BJS3; A0A6D2VUH9; A0A6D2X4P0; A0A6J3H7R8; A0A8C9LKK5; A0A8D2E8N0; D3DW84; F7DDS1; F7HG44; G3R761; ggo:101136604; H2NNY0; H2Q9W3; hsa:80349; mcc:709971; nle:100607534; NP_079510.1; pon:100453511; pps:100988442; ptr:453568; Q6IA22; Q7Z4X4; Q9GZS3; U3DV56,WDR61,0,,,0,0,B
A6H8X3; hsa:23165; NP_055950.2; Q86YC1; Q92621,NUP205,0,,,0,0,B
B3KY21; hsa:9368; NP_004243.1; O14745; O43552; Q86WQ5,SLC9A3R1,0,,,0,0,B
hsa:823; P07384; Q2TTR0; Q6DHV4; XP_006718761.1,CAPN1,0,,,0,0,B
C9JT33; hsa:10642; NP_006537.3; Q9NZI8,IGF2BP1,0,,,0,0,B
A0A096MKK1; A0A0D9S679; A0A2I2ZC11; A0A2K5MPM5; A0A2K6EBC2; A0A2K6RF31; A0A2R8ZW03; A0A8D2EKR3; NP_001229820.1; rro:104669077,CSDE1,0,,,0,0,B
A0A1S3GFZ3; A0A1S3WM96; A0A2J8KAF8; A0A2J8TVG1; A0A2K5DXC9; A0A2U4CBP5; A0A2Y9HG05; A0A2Y9KTN8; A0A2Y9MBC8; A0A2Y9QAT2; A0A2Y9SB80; A0A341CWJ4; A0A384CMH9; A0A3Q0EC15; A0A3Q7Q6X6; A0A3Q7RYT7; A0A3Q7X3U5; A0A452CEV5; A0A452RXB8; A0A6J1YKF1; A0A6J2CCC0; A0A6J3H0Y6; A0A6P3RWP2; A0A6P4UKE9; A0A6P5PRX0; A0A6P6DPZ2; A0A6P6HR24; A0A7F8RL16; A0A7J7VXL4; A0A7J7Y7V1; A0A7J8DG08; A0A7J8HGB9; A0A811Z8R9; A0A821S0B0; A0A8B7VU07; A0A8B8YT39; A0A8C5YDD0; aju:106977709; dle:111168845; E3VX50; elk:111159043; H0Y0V9; hgl:101717456; mcal:110296757; mmu:12785; NP_001120665.1; P53996; pcad:102975659; ppad:109256033; Q5QJQ9; Q80Y06; Q8BP23; uah:113257249; umr:103669496; vvp:112914465,Cnbp; CNBP; LOC101344172; LOC111159043; LOC113917796; LOC118904061,0,,,0,0,B
B4DPM9; D3DXD0; hsa:6470; P34896; Q96HY0; Q9UMD1; Q9UMD2; XP_016880446.1,SHMT1,0,,,0,0,B
XP_005268923.1,,0,,,0,0,B
XP_005246247.1,,0,,,0,0,B
A6NFN7; B2R661; B3KUW5; hsa:8878; NP_003891.1; Q13446; Q13501; Q9BUV7; Q9BVS6; Q9UEU1,SQSTM1,0,,,0,0,B
A8KA88; B4E2V1; C9J3A4; hsa:2770; NP_002060.4; P04898; P11015; P31871; P63096; Q5U074; Q8TAN5; Q9UGA4,GNAI1,0,,,0,0,B
hsa:310; NP_004025.1; P20073; Q5F2H3; Q5T0M6; Q5T0M7,ANXA7,0,,,0,0,B
A0A2I2YMV3; A0A2I3N3U5; A0A2I3T4A2; A0A2K5MKG0; A0A2K5XQV2; A0A2K6AVQ6; A0A2K6MV19; A0A2K6RMN6; A0A2R9AZA7; F7CXY0; NP_001185774.1,RBM14; RBM4,0,,,0,0,B
A0A2I3S9E6; A0A2J8LW43; A0A2K5LIA7; A0A2R9CJJ8; A0A5S6RCM2; A0A6D2WAM9; A0A8D2GCL1; F7GWD7; G7NL17; ptr:455720; Q9HBD4; XP_024307426.1,SMARCA4,0,,,0,0,B
NP_001371820.1,,0,,,0,0,B
A0A2I3SNT1; A0A2J8PPD5; A0A2R9AM90; A0A6D2Y5S3; hsa:3800; O60282; O95079; pps:100976454; ptr:470557; Q2YDC5; XP_016859551.1,KIF5C,0,,,0,0,B
XP_024308119.1,,0,,,0,0,B
hsa:84844; NP_116147.1; Q7RTV0; Q9UH06,PHF5A,0,,,0,0,B
B2RB29; hsa:64746; NP_073572.2; Q5VTJ0; Q6P9F1; Q8IZC5; Q8N4D6; Q9H3P7; Q9H6U3,ACBD3,0,,,0,0,B
hsa:26953; NP_036548.1; O60518; Q5T7X4; Q7Z3V2; Q96E78,RANBP6,0,,,0,0,B
A7E2B2; B4DYX4; B9EIQ6; hsa:51755; NP_057591.2; O94978; Q9NYV4,CDK12,0,,,0,0,B
