Gene,Protein.ID,Protein.Description,logFC,AveExpr,comparison.label,sample,pvalue,hit_annotation
PSMD10,O75832,26S proteasome non-ATPase regulatory subunit 10,-1.904481569,21.11617957,PA_UV vs PA_NoUV,cytosole,7.03E-15,hit
RELA,Q04206,Transcription factor p65,-1.68158251,20.01193455,PA_UV vs PA_NoUV,cytosole,9.61E-15,hit
ERC1,Q8IUD2,ELKS/Rab6-interacting/CAST family member 1,-1.937580992,19.21081223,PA_UV vs PA_NoUV,cytosole,1.73E-14,hit
RPAP3,Q9H6T3,RNA polymerase II-associated protein 3,-1.644583012,20.76614929,PA_UV vs PA_NoUV,cytosole,2.30E-14,hit
UBA6,A0AVT1,Ubiquitin-like modifier-activating enzyme 6,-1.632351995,21.44996614,PA_UV vs PA_NoUV,cytosole,2.38E-14,hit
SLK,Q9H2G2,STE20-like serine/threonine-protein kinase,-1.95079631,22.06186764,PA_UV vs PA_NoUV,cytosole,3.21E-14,hit
SMS,P52788,Spermine synthase,-1.736880118,23.10381074,PA_UV vs PA_NoUV,cytosole,3.53E-14,hit
IMPDH1,P20839,Inosine-5'-monophosphate dehydrogenase 1,-1.827703993,21.43956603,PA_UV vs PA_NoUV,cytosole,3.67E-14,hit
LRRC40,Q9H9A6,Leucine-rich repeat-containing protein 40,-1.561887249,21.12279458,PA_UV vs PA_NoUV,cytosole,3.73E-14,hit
NUP88,Q99567,Nuclear pore complex protein Nup88,-1.596309295,19.62028989,PA_UV vs PA_NoUV,cytosole,4.26E-14,hit
HSPBP1,Q9NZL4,Hsp70-binding protein 1,-1.658987975,20.53097171,PA_UV vs PA_NoUV,cytosole,4.65E-14,hit
DNM1L,O00429,Dynamin-1-like protein,-1.904477361,23.14660642,PA_UV vs PA_NoUV,cytosole,4.70E-14,hit
NAMPT,P43490,Nicotinamide phosphoribosyltransferase,-1.634598917,22.61956638,PA_UV vs PA_NoUV,cytosole,5.09E-14,hit
PCID2,Q5JVF3,PCI domain-containing protein 2,-1.51095977,18.30127825,PA_UV vs PA_NoUV,cytosole,5.29E-14,hit
IMPDH2,P12268,Inosine-5'-monophosphate dehydrogenase 2,-1.992043193,23.59106282,PA_UV vs PA_NoUV,cytosole,6.13E-14,hit
PITPNB,P48739,Phosphatidylinositol transfer protein beta isoform,-1.721581475,21.84860241,PA_UV vs PA_NoUV,cytosole,6.24E-14,hit
TAGLN2,P37802,Transgelin-2,-1.964402103,23.29257962,PA_UV vs PA_NoUV,cytosole,6.55E-14,hit
DDX19A,Q9NUU7,ATP-dependent RNA helicase DDX19A,-1.944350305,21.85877723,PA_UV vs PA_NoUV,cytosole,6.95E-14,hit
METAP2,P50579,Methionine aminopeptidase 2,-1.950545777,21.2915757,PA_UV vs PA_NoUV,cytosole,7.37E-14,hit
HDLBP,Q00341,Vigilin,-1.824838919,22.96794951,PA_UV vs PA_NoUV,cytosole,7.86E-14,hit
ZC3H15,Q8WU90,Zinc finger CCCH domain-containing protein 15,-2.116367632,21.22844168,PA_UV vs PA_NoUV,cytosole,8.31E-14,hit
UCK2,Q9BZX2,Uridine-cytidine kinase 2,-1.543685238,21.12479547,PA_UV vs PA_NoUV,cytosole,8.51E-14,hit
LAP3,P28838,Cytosol aminopeptidase,-1.764064175,22.1381715,PA_UV vs PA_NoUV,cytosole,8.73E-14,hit
AP3M1,Q9Y2T2,AP-3 complex subunit mu-1,-1.761243536,20.57628145,PA_UV vs PA_NoUV,cytosole,1.01E-13,hit
UMPS,P11172,Uridine 5'-monophosphate synthase,-1.681585243,22.57995626,PA_UV vs PA_NoUV,cytosole,1.01E-13,hit
TUBB6,Q9BUF5,Tubulin beta-6 chain,-1.698966457,22.1902362,PA_UV vs PA_NoUV,cytosole,1.09E-13,hit
USP14,P54578,Ubiquitin carboxyl-terminal hydrolase 14,-1.810316891,22.42992802,PA_UV vs PA_NoUV,cytosole,1.14E-13,hit
TXNL1,O43396,Thioredoxin-like protein 1,-1.455257731,20.41498567,PA_UV vs PA_NoUV,cytosole,1.25E-13,hit
DIAPH1,O60610,Protein diaphanous homolog 1,-1.963719025,22.62618034,PA_UV vs PA_NoUV,cytosole,1.26E-13,hit
ELP2,Q6IA86,Elongator complex protein 2,-1.825672102,20.1190867,PA_UV vs PA_NoUV,cytosole,1.36E-13,hit
TTLL12,Q14166,Tubulin--tyrosine ligase-like protein 12,-1.5229569,22.12019549,PA_UV vs PA_NoUV,cytosole,1.44E-13,hit
EIF2B1,Q14232,Translation initiation factor eIF-2B subunit alpha,-1.794441613,22.22674328,PA_UV vs PA_NoUV,cytosole,1.48E-13,hit
STAT1,P42224,Signal transducer and activator of transcription 1-alpha/beta,-1.613929752,21.54372214,PA_UV vs PA_NoUV,cytosole,1.52E-13,hit
PAPSS2,O95340,Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2,-1.665074974,22.19746498,PA_UV vs PA_NoUV,cytosole,1.53E-13,hit
AP2B1,P63010,AP-2 complex subunit beta,-1.690500506,22.33874336,PA_UV vs PA_NoUV,cytosole,1.56E-13,hit
ABCF3,Q9NUQ8,ATP-binding cassette sub-family F member 3,-1.868072531,18.8150169,PA_UV vs PA_NoUV,cytosole,1.58E-13,hit
PRKAG1,P54619,5'-AMP-activated protein kinase subunit gamma-1,-1.760021374,18.96337706,PA_UV vs PA_NoUV,cytosole,1.60E-13,hit
CPNE1,Q99829,Copine-1,-1.714599434,20.27287927,PA_UV vs PA_NoUV,cytosole,1.76E-13,hit
CAP1,Q01518,Adenylyl cyclase-associated protein 1,-2.109223229,22.94355064,PA_UV vs PA_NoUV,cytosole,1.76E-13,hit
MYO1E,Q12965,Unconventional myosin-Ie,-1.86694931,22.10279829,PA_UV vs PA_NoUV,cytosole,1.81E-13,hit
ACOT7,O00154,Cytosolic acyl coenzyme A thioester hydrolase,-1.569913362,22.0972853,PA_UV vs PA_NoUV,cytosole,1.82E-13,hit
SRM,P19623,Spermidine synthase,-1.952965769,22.70141198,PA_UV vs PA_NoUV,cytosole,1.90E-13,hit
CDK5,Q00535,Cyclin-dependent kinase 5,-1.538128262,19.65138092,PA_UV vs PA_NoUV,cytosole,1.95E-13,hit
HARS1,P12081,"Histidine--tRNA ligase, cytoplasmic",-1.924460123,22.1660726,PA_UV vs PA_NoUV,cytosole,2.10E-13,hit
NMT1,P30419,Glycylpeptide N-tetradecanoyltransferase 1,-1.788473272,19.52606123,PA_UV vs PA_NoUV,cytosole,2.15E-13,hit
AIMP1,Q12904,Aminoacyl tRNA synthase complex-interacting multifunctional protein 1,-1.684809545,21.75808807,PA_UV vs PA_NoUV,cytosole,2.15E-13,hit
MAP2K2,P36507,Dual specificity mitogen-activated protein kinase kinase 2,-1.985110256,21.81170782,PA_UV vs PA_NoUV,cytosole,2.30E-13,hit
CASP7,P55210,Caspase-7,-1.908623151,19.44816677,PA_UV vs PA_NoUV,cytosole,2.44E-13,hit
NIBAN2,Q96TA1,Protein Niban 2,-1.739438075,20.10018902,PA_UV vs PA_NoUV,cytosole,2.52E-13,hit
LARP1,Q6PKG0,La-related protein 1,-1.540090402,22.24528461,PA_UV vs PA_NoUV,cytosole,2.56E-13,hit
GNPDA1,P46926,Glucosamine-6-phosphate isomerase 1,-1.658103894,21.03851001,PA_UV vs PA_NoUV,cytosole,2.60E-13,hit
SURF2,Q15527,Surfeit locus protein 2,-1.725091306,17.99334973,PA_UV vs PA_NoUV,cytosole,2.90E-13,hit
AHCY,P23526,Adenosylhomocysteinase,-1.772300052,24.36442641,PA_UV vs PA_NoUV,cytosole,2.92E-13,hit
SNX6,Q9UNH7,Sorting nexin-6,-1.750204562,21.3448124,PA_UV vs PA_NoUV,cytosole,3.18E-13,hit
GMPPB,Q9Y5P6,Mannose-1-phosphate guanyltransferase beta,-1.499543107,19.69500218,PA_UV vs PA_NoUV,cytosole,3.26E-13,hit
GDI2,P50395,Rab GDP dissociation inhibitor beta,-2.092459577,24.95987343,PA_UV vs PA_NoUV,cytosole,3.44E-13,hit
RPS27A,P62979,Ubiquitin-40S ribosomal protein S27a,-1.492077586,23.34715967,PA_UV vs PA_NoUV,cytosole,3.51E-13,hit
DPYSL2,Q16555,Dihydropyrimidinase-related protein 2,-1.767395078,21.35658565,PA_UV vs PA_NoUV,cytosole,3.61E-13,hit
TUBB,P07437,Tubulin beta chain,-1.868310016,25.95472931,PA_UV vs PA_NoUV,cytosole,3.64E-13,hit
PCBP1,Q15365,Poly(rC)-binding protein 1,-1.695450734,23.06169458,PA_UV vs PA_NoUV,cytosole,3.66E-13,hit
STUB1,Q9UNE7,E3 ubiquitin-protein ligase CHIP,-1.477457463,21.25562934,PA_UV vs PA_NoUV,cytosole,3.75E-13,hit
UBA5,Q9GZZ9,Ubiquitin-like modifier-activating enzyme 5,-1.743152235,19.34126182,PA_UV vs PA_NoUV,cytosole,3.86E-13,hit
CKAP5,Q14008,Cytoskeleton-associated protein 5,-1.411863844,21.50759625,PA_UV vs PA_NoUV,cytosole,3.90E-13,hit
