gene_ID,gene_name
XP_016860322.1,POTEF
XP_011522177.1,NA
NP_001358855.1,POTEI
XP_024309291.1,MAP4
NP_001184223.1,DPYSL3
XP_016856050.1,TXLNA
NP_001356065.1,ALDH3A2
NP_001350470.2,DBN1
XP_005246247.1,ROCK2
XP_005268733.1,KRT80
XP_024307243.1,NA
XP_016878627.1,CPNE7
NP_001191192.1,NR3C1
XP_024306736.1,NA
NP_001116428.1,DBNL
XP_024306443.1,NA
XP_016883439.1,ARFGAP1
XP_024307558.1,NA
XP_011519299.1,WNK1
NP_001303991.1,WDR77
XP_016860322.1,POTEF
XP_011522177.1,NA
XP_024309291.1,MAP4
XP_016856050.1,TXLNA
XP_016864628.1,DBN1
XP_005268923.1,KRT86
XP_005246247.1,ROCK2
NP_001371820.1,STAT1
XP_024308119.1,ACSL4
XP_011519299.1,WNK1
NP_001116428.1,DBNL
NP_001093326.2,IKBKG
XP_011513885.1,NA
XP_005245570.1,ANP32E
NP_001307582.1,NUP88
XP_024301989.1,NA
XP_011522177.1,NA
XP_005258461.2,NA
XP_024309291.1,MAP4
XP_011525954.1,NA
NP_001350470.2,DBN1
NP_001273677.1,MRPS27
XP_005268733.1,KRT80
XP_024302561.1,NA
XP_011538682.1,SEC24C
XP_016867690.1,NA
XP_016857363.1,PTGFRN
XP_011519299.1,WNK1
NP_001371820.1,STAT1
XP_011543214.1,TKFC
XP_011514713.1,NA
XP_006719119.1,A2M
NP_001231367.1,ARG1
NP_001231367.1,ARG1
NP_001358855.1,POTEI
NP_001276978.1,USO1
XP_005256612.1,FLII
XP_024302561.1,NA
XP_024302117.1,NA
XP_016885242.1,NA
NP_001017963.2,HSP90AA1
NP_001243211.1,KRT8
NP_001243211.1,KRT8
NP_001017963.2,HSP90AA1
XP_005249096.1,NA
XP_005249096.1,NA
XP_011532356.1,TKT
NP_001243211.1,KRT8
XP_011532356.1,TKT
XP_011532356.1,TKT
XP_005249096.1,NA
NP_001158886.1,LDHA
NP_001158886.1,LDHA
XP_016882820.1,ACTN4
NP_001158886.1,LDHA
XP_016882820.1,ACTN4
NP_001290203.1,ACLY
NP_001290203.1,ACLY
XP_016882820.1,ACTN4
XP_016882687.1,NA
XP_011515432.1,PLEC
NP_001356185.1,CPS1
NP_001290203.1,ACLY
NP_001356185.1,CPS1
XP_005251033.1,PLEC
XP_016885266.1,UBA1
NP_001018146.1,NME1-NME2
XP_011529261.1,MSN
XP_011529261.1,MSN
XP_005251033.1,PLEC
XP_011529261.1,MSN
NP_001356185.1,CPS1
NP_001018146.1,NME1-NME2
NP_001018146.1,NME1-NME2
XP_016885266.1,UBA1
XP_016873759.1,AHNAK
NP_001157789.1,FLNB
XP_011517227.1,NIBAN2
XP_016885266.1,UBA1
XP_016873759.1,AHNAK
XP_011539528.1,PHGDH
XP_011539528.1,PHGDH
NP_001157789.1,FLNB
NP_001269633.1,PDIA6
XP_011539528.1,PHGDH
XP_016875261.1,NA
XP_016875261.1,NA
XP_005250880.1,EEF1D
XP_016875261.1,NA
NP_001269633.1,PDIA6
XP_016873759.1,AHNAK
XP_011538817.1,CAP1
NP_001157789.1,FLNB
NP_001269633.1,PDIA6
XP_011517227.1,NIBAN2
XP_011517227.1,NIBAN2
NP_001362247.1,SPTAN1
XP_011532005.1,MAP4
NP_001350922.1,CANX
NP_001353299.1,MCM3
XP_006713191.1,NA
NP_001350922.1,CANX
NP_001350922.1,CANX
NP_005007.2,PCBP2
XP_016877212.1,NA
NP_001311233.1,RPN2
NP_001288172.1,ARHGDIA
NP_001362247.1,SPTAN1
NP_001353299.1,MCM3
XP_016882602.1,NA
XP_016865174.1,NA
XP_016879224.1,NA
NP_001362247.1,SPTAN1
XP_024309841.1,NA
XP_016882602.1,NA
XP_011519389.1,IPO5
NP_001311230.1,RPN2
NP_001288172.1,ARHGDIA
XP_016879224.1,NA
XP_016870502.1,NA
NP_001276052.1,TUBB4A
XP_006713191.1,NA
NP_001939.1,DUT
A0A2J8NU54,NA
A0A2J8NU54,NA
NP_001186040.1,MDH1
NP_001353299.1,MCM3
NP_001188306.1,ALDH7A1
XP_005252522.1,NA
NP_001188306.1,ALDH7A1
XP_006713191.1,NA
NP_001288172.1,ARHGDIA
XP_016882602.1,NA
NP_005007.2,PCBP2
A0A2J8Q2V2,NA
NP_001181876.2,EIF4G1
NP_005007.2,PCBP2
XP_011526286.2,NA
NP_001165131.1,CYB5R3
NP_001276052.1,TUBB4A
NP_001276052.1,TUBB4A
NP_001351228.1,OXCT1
NP_001135757.1,RPS24
NP_001186040.1,MDH1
XP_011526286.2,NA
NP_001351228.1,OXCT1
XP_016879224.1,NA
NP_001135757.1,RPS24
NP_001186040.1,MDH1
NP_937818.1,NME1
XP_016870502.1,NA
NP_001099008.1,MYBBP1A
NP_001181876.2,EIF4G1
NP_001351228.1,OXCT1
NP_001165131.1,CYB5R3
NP_001155901.1,PDCD6IP
XP_016869381.1,NA
NP_001311230.1,RPN2
NP_001181876.2,EIF4G1
XP_024309320.1,CTPS1
XP_016870502.1,NA
XP_024309841.1,NA
NP_001155901.1,PDCD6IP
XP_016855583.1,NA
NP_001257376.1,ACADVL
XP_011528297.1,EWSR1
A0A2J8NU54,NA
XP_011516104.1,NA
XP_011511565.1,GMPS
NP_001243284.1,UBE2L3
XP_011514713.1,NA
NP_001135757.1,RPS24
NP_001188306.1,ALDH7A1
XP_024306608.1,NA
NP_001165131.1,CYB5R3
XP_011540530.1,CAPZB
XP_005269750.1,MYOF
NP_001290362.1,FUBP1
NP_004499.2,IDI1
XP_016865174.1,NA
XP_005262724.1,UGDH
NP_001741.4,CAST
XP_011528297.1,EWSR1
NP_937818.1,NME1
NP_001741.4,CAST
XP_011532005.1,MAP4
NP_937818.1,NME1
NP_001166925.1,PDHA1
XP_005245570.1,ANP32E
XP_005262724.1,UGDH
XP_016855583.1,NA
XP_005252522.1,NA
NP_001193997.1,BZW1
NP_001230175.1,P3H1
NP_001349825.1,PUF60
XP_024304434.1,NA
XP_024308689.1,SEPTIN2
XP_016873515.1,NA
XP_016856452.1,NA
NP_001166925.1,PDHA1
XP_005252522.1,NA
XP_011543365.1,NUMA1
NP_001741.4,CAST
XP_011522750.1,AP2B1
NP_001191455.1,SSR4
XP_016864369.1,WDR1
