"","gene_name","name","value","id"
"1","ST3GAL4","FA",0,1
"2","ST3GAL4","DAG",0,2
"3","PITPNA","FA",0,3
"4","PITPNA","DAG",0,4
"5","CD276","FA",0,5
"6","CD276","DAG",0,6
"7","CTSB","FA",0,7
"8","CTSB","DAG",0,8
"9","CISD1","FA",0,9
"10","CISD1","DAG",0,10
"11","RCN2","FA",0,11
"12","RCN2","DAG",0,12
"13","TIMM22","FA",0,13
"14","TIMM22","DAG",0,14
"15","MFF","FA",0,15
"16","MFF","DAG",0,16
"17","TMEM59","FA",0,17
"18","TMEM59","DAG",0,18
"19","TMEM160","FA",0,19
"20","TMEM160","DAG",0,20
"21","FAM8A1","FA",0,21
"22","FAM8A1","DAG",0,22
"23","PRRC1","FA",0,23
"24","PRRC1","DAG",0,24
"25","CHST3","FA",0,25
"26","CHST3","DAG",0,26
"27","SLC30A5","FA",0,27
"28","SLC30A5","DAG",0,28
"29","PLD6","FA",0,29
"30","PLD6","DAG",0,30
"31","TMED3","FA",0,31
"32","TMED3","DAG",0,32
"33","C5orf15","FA",0,33
"34","C5orf15","DAG",0,34
"35","GDE1","FA",0,35
"36","GDE1","DAG",0,36
"37","CTGF","FA",0,37
"38","CTGF","DAG",0,38
"39","FAM3A","FA",0,39
"40","FAM3A","DAG",0,40
"41","UBXN8","FA",0,41
"42","UBXN8","DAG",0,42
"43","GALNT3","FA",0,43
"44","GALNT3","DAG",0,44
"45","PEX16","FA",0,45
"46","PEX16","DAG",0,46
"47","DNAJC3","FA",0,47
"48","DNAJC3","DAG",0,48
"49","LAMP2","FA",0,49
"50","LAMP2","DAG",0,50
"51","ARL6IP6","FA",0,51
"52","ARL6IP6","DAG",0,52
"53","ITIH3","FA",0,53
"54","ITIH3","DAG",0,54
"55","STARD3","FA",0,55
"56","STARD3","DAG",0,56
"57","UGT8","FA",0,57
"58","UGT8","DAG",0,58
"59","APLP2","FA",0,59
"60","APLP2","DAG",0,60
"61","LGALS3BP","FA",0,61
"62","LGALS3BP","DAG",0,62
"63","SLC35F2","FA",0,63
"64","SLC35F2","DAG",0,64
"65","SLC9A6","FA",0,65
"66","SLC9A6","DAG",0,66
"67","TMPPE","FA",0,67
"68","TMPPE","DAG",0,68
"69","CD46","FA",0,69
"70","CD46","DAG",0,70
"71","PAM","FA",0,71
"72","PAM","DAG",0,72
"73","CPD","FA",0,73
"74","CPD","DAG",0,74
"75","GLCE","FA",0,75
"76","GLCE","DAG",0,76
"77","PKD2","FA",0,77
"78","PKD2","DAG",0,78
"79","COL5A1","FA",0,79
"80","COL5A1","DAG",0,80
"81","TAX1BP1","FA",0,81
"82","TAX1BP1","DAG",0,82
"83","FAT1","FA",0,83
"84","FAT1","DAG",0,84
"85","HEXA","DAG",0,85
"86","NQO1","DAG",0,86
"87","ATP6V0A2","DAG",0,87
"88","M6PR","FA",0,88
"89","S100A9","FA",0,89
"90","RAB31","FA",0,90
"91","HEBP1","FA",0,91
"92","TMED2","FA",0,92
"93","S100A8","FA",0,93
"94","ABHD6","FA",0,94
"95","C1orf27","FA",0,95
"96","COL3A1","FA",0,96
"97","SLC6A6","FA",0,97
"98","AP1S1","FA",0,98
