gene_name,C,NoUV,UV,UV / C,fold_change,Cell_fraction
VAT1,8,8.33,10,1.25,1.2,Membrane
SLC16A3,8,8.33,10,1.25,1.2,Membrane
JUP,17.33,22.67,27.33,1.577,1.206,Membrane
PYGB,15.67,21,25.33,1.617,1.206,Membrane
RAB31,3.67,4.33,5.33,1.455,1.231,Membrane
RBBP7,6.67,7,8.67,1.3,1.238,Membrane
SEC31A,29.33,36,44.67,1.523,1.241,Membrane
RAC1,6,6.67,8.33,1.389,1.25,Membrane
AP2M1,3,4,5,1.667,1.25,Membrane
SEC61B,1.5,2,2.5,1.667,1.25,Membrane
MOV10,1,2,2.5,2.5,1.25,Membrane
PRKCA,1.5,6,7.5,5,1.25,Membrane
PPP2R1A,9.33,10.67,13.33,1.429,1.25,Membrane
ATP1A1,51.33,49.67,62.67,1.221,1.262,Membrane
PSMB1,4,6.33,8,2,1.263,Membrane
COX15,1,1.5,2,2,1.333,Membrane
CTNNAL1,1,1.67,2.33,2.333,1.4,Membrane
TRIO,0,1.67,2.33,2.33,1.4,Membrane
ITGB1,6.67,8.33,12,1.8,1.44,Membrane
ALPP,10,8,12,1.2,1.5,Membrane
MSI2,2,2,3,1.5,1.5,Membrane
SLC38A1,2.67,3,4.67,1.75,1.556,Membrane
EGFR,18.67,17.67,27.67,1.482,1.566,Membrane
TRMT112,0.67,1.67,2.67,4,1.6,Membrane
CDC42,5,3.67,6,1.2,1.636,Membrane
SLC5A3,2,1.5,2.5,1.25,1.667,Membrane
LYPD3,1.5,1.5,2.5,1.667,1.667,Membrane
ERBB2IP,2,6,10,5,1.667,Membrane
MYADM,0.67,2,3.33,5,1.667,Membrane
IMPDH2,11,9.67,16.33,1.485,1.69,Membrane
MPP6,3,5,8.5,2.833,1.7,Membrane
SNAP23,2,2,3.5,1.75,1.75,Membrane
SLC7A2,1,2,3.5,3.5,1.75,Membrane
PPP3CA,2.67,2.67,4.67,1.75,1.75,Membrane
ARF5,4,4.5,8,2,1.778,Membrane
RAB27B,1,1,2,2,2,Membrane
EXOC5,1,1.5,3,3,2,Membrane
RHOF,1,3,6,6,2,Membrane
EHD4,0,1,2,2,2,Membrane
SDCBP,3,2.33,5,1.667,2.143,Membrane
EPT1,1,1,2.5,2.5,2.5,Membrane
ATP11A,4.33,2.33,6,1.385,2.571,Membrane
ABCF2,6.5,3,8,1.231,2.667,Membrane
EIF4E,2,1,2.67,1.333,2.667,Membrane
CXADR,3,1.33,3.67,1.222,2.75,Membrane
OLR1,2,1.67,4.67,2.333,2.8,Membrane
CTNNB1,3.33,2.67,8.33,2.5,3.125,Membrane
UFD1L,2.5,1.5,5,2,3.333,Membrane
ITGAV,1,1,3.5,3.5,3.5,Membrane
PRRC1,1.33,0.67,2.33,1.75,3.5,Membrane
PTP4A1,0,0.5,2,2,4,Membrane
ABHD16A,1,0.5,2.5,2.5,5,Membrane
TRAF7,0,0.5,2.5,2.5,5,Membrane
CD70,1,0.33,2,2,6,Membrane
YIPF5,1,0,2,2,2,Membrane
SLC39A10,0,0,2,2,2,Membrane
ZDHHC5,0,0,2.5,2.5,2.5,Membrane
BUB3,2.67,3,3.67,1.375,1.222,Cytoplasm
RPL27A,2.67,3,3.67,1.375,1.222,Cytoplasm
RANGAP1,10.33,14.67,18,1.742,1.227,Cytoplasm
RPL5,10,10,13,1.3,1.3,Cytoplasm
