gene_name,sample,comparison,AveExpr,logFC,pvalue,fdr,hit_annotation
ECH1,Huh7,FA_8_3_UV - FA_8_3_noUV,24.2698604,2.664716975,3.70E-08,4.18E-05,enriched hit
VDAC2,Huh7,FA_8_3_UV - FA_8_3_noUV,22.82293116,1.74775987,4.74E-06,0.002674463,enriched hit
VDAC1,Huh7,FA_8_3_UV - FA_8_3_noUV,23.40203553,1.478023645,9.00E-05,0.03387479,enriched hit
PITPNB,Huh7,FA_8_3_UV - FA_8_3_noUV,23.49127191,1.276312876,2.63E-04,0.074320251,enriched candidate
ACOX1,Huh7,FA_8_3_UV - FA_8_3_noUV,24.43255941,0.928759296,4.58E-04,0.102903964,enriched candidate
ECHS1,Huh7,FA_8_3_UV - FA_8_3_noUV,23.89288135,0.766220518,5.47E-04,0.102903964,enriched candidate
HADHA,Huh7,FA_8_3_UV - FA_8_3_noUV,25.8667038,0.5132901,9.06E-04,0.129763341,no hit
PGAM1,Huh7,FA_8_3_UV - FA_8_3_noUV,24.25970211,-0.818936909,9.87E-04,0.129763341,no hit
AASS,Huh7,FA_8_3_UV - FA_8_3_noUV,23.39146695,0.488481384,0.001034429,0.129763341,no hit
HSDL2,Huh7,FA_8_3_UV - FA_8_3_noUV,24.11966805,0.610660174,0.002152005,0.242961312,no hit
IDH3B,Huh7,FA_8_3_UV - FA_8_3_noUV,23.13146069,0.395130792,0.002909066,0.277503638,no hit
STRAP,Huh7,FA_8_3_UV - FA_8_3_noUV,25.26821353,-0.556502353,0.002949552,0.277503638,no hit
CNBP,Huh7,FA_8_3_UV - FA_8_3_noUV,24.32863328,-0.580426035,0.003743519,0.308824581,no hit
PCNA,Huh7,FA_8_3_UV - FA_8_3_noUV,25.81747949,-0.479467868,0.004928287,0.308824581,no hit
TXNL1,Huh7,FA_8_3_UV - FA_8_3_noUV,23.70176853,-0.611739785,0.004982888,0.308824581,no hit
RBM17,Huh7,FA_8_3_UV - FA_8_3_noUV,22.85423754,0.576627878,0.005130038,0.308824581,no hit
ATP6V0D1,Huh7,FA_8_3_UV - FA_8_3_noUV,24.76842963,0.532065261,0.005372437,0.308824581,no hit
MDH2,Huh7,FA_8_3_UV - FA_8_3_noUV,26.87334092,0.404079053,0.005385523,0.308824581,no hit
POLR1B,Huh7,FA_8_3_UV - FA_8_3_noUV,22.29636305,0.512364949,0.005743956,0.308824581,no hit
PECR,Huh7,FA_8_3_UV - FA_8_3_noUV,24.03335448,0.527179406,0.005916822,0.308824581,no hit
PPP2CB,Huh7,FA_8_3_UV - FA_8_3_noUV,24.14355689,-0.342447723,0.00612445,0.308824581,no hit
RNPEP,Huh7,FA_8_3_UV - FA_8_3_noUV,22.56837216,-0.483599013,0.006160161,0.308824581,no hit
PSMA6,Huh7,FA_8_3_UV - FA_8_3_noUV,24.30855549,-0.693623971,0.006575074,0.308824581,no hit
TRAP1,Huh7,FA_8_3_UV - FA_8_3_noUV,26.26454583,0.351975507,0.006723108,0.308824581,no hit
ME2,Huh7,FA_8_3_UV - FA_8_3_noUV,24.41599884,0.416208315,0.006908263,0.308824581,no hit
CLTA,Huh7,FA_8_3_UV - FA_8_3_noUV,24.5878844,-0.576110154,0.007111992,0.308824581,no hit
ARF4,Huh7,FA_8_3_UV - FA_8_3_noUV,24.81118901,-0.327593633,0.007416352,0.310113369,no hit
HADH,Huh7,FA_8_3_UV - FA_8_3_noUV,23.76620884,0.374735946,0.008045176,0.312043119,no hit
RRM1,Huh7,FA_8_3_UV - FA_8_3_noUV,24.98540766,-0.507382577,0.008143809,0.312043119,no hit
ATP6V1H,Huh7,FA_8_3_UV - FA_8_3_noUV,23.72328091,0.382164978,0.008291668,0.312043119,no hit
GNA11|GNAQ,Huh7,FA_8_3_UV - FA_8_3_noUV,22.3883562,0.498940718,0.009970572,0.363121786,no hit
HSD17B10,Huh7,FA_8_3_UV - FA_8_3_noUV,24.62151853,0.36441802,0.010326633,0.364336503,no hit
DDX39A,Huh7,FA_8_3_UV - FA_8_3_noUV,24.09871572,0.516209597,0.011230056,0.374641965,no hit
POR,Huh7,FA_8_3_UV - FA_8_3_noUV,25.70913551,0.37769653,0.011716548,0.374641965,no hit
HMGCL,Huh7,FA_8_3_UV - FA_8_3_noUV,24.51228837,0.434072693,0.012250946,0.374641965,no hit
