gene_name,protein_id,LipidProbe,hit_annotation,logFC,pvalue,AveExpr,fdr
ECH1,Q13011,8-3 FA,enriched hit,2.664716975,3.7e-8,24.2698604,4.18e-5
VDAC2,A0A0A0MR02|P45880|P45880-1|P45880-2|Q5JSD1|Q5JSD2,8-3 FA,enriched hit,1.74775987,4.74e-6,22.82293116,0.002674463
VDAC1,C9JI87|P21796,8-3 FA,enriched hit,1.478023645,9e-5,23.40203553,0.03387479
PITPNB,A0A0A0MSW4|P48739|P48739-2|P48739-3,8-3 FA,enriched candidate,1.276312876,2.63314e-4,23.49127191,0.074320251
ACOX1,Q15067|Q15067-2|Q15067-3,8-3 FA,enriched candidate,0.928759296,4.58279e-4,24.43255941,0.102903964
ECHS1,P30084,8-3 FA,enriched candidate,0.766220518,5.46877e-4,23.89288135,0.102903964
HADHA,P40939,8-3 FA,no hit,0.5132901,9.06302e-4,25.8667038,0.129763341
PGAM1,P18669,8-3 FA,no hit,-0.818936909,9.872e-4,24.25970211,0.129763341
AASS,F8WAH1|Q9UDR5,8-3 FA,no hit,0.488481384,0.001034429,23.39146695,0.129763341
HSDL2,Q6YN16|Q6YN16-2,8-3 FA,no hit,0.61066017399999994,0.002152005,24.11966805,0.242961312
IDH3B,A0A087WZN1|A0A087X2E5|O43837|O43837-2,8-3 FA,no hit,0.395130792,0.002909066,23.13146069,0.277503638
STRAP,Q9Y3F4|Q9Y3F4-2,8-3 FA,no hit,-0.556502353,0.002949552,25.26821353,0.277503638
CNBP,P62633|P62633-2|P62633-3|P62633-7,8-3 FA,no hit,-0.580426035,0.003743519,24.32863328,0.308824581
PCNA,P12004,8-3 FA,no hit,-0.479467868,0.004928287,25.81747949,0.308824581
TXNL1,K7ER96|O43396,8-3 FA,no hit,-0.611739785,0.004982888,23.70176853,0.308824581
RBM17,Q96I25,8-3 FA,no hit,0.576627878,0.005130038,22.85423754,0.308824581
ATP6V0D1,F5GYQ1|J3QL14|P61421|R4GN72,8-3 FA,no hit,0.532065261,0.005372437,24.76842963,0.308824581
MDH2,P40926,8-3 FA,no hit,0.404079053,0.005385523,26.87334092,0.308824581
POLR1B,H7C0D9|Q9H9Y6|Q9H9Y6-2|Q9H9Y6-3|Q9H9Y6-4|Q9H9Y6-5,8-3 FA,no hit,0.512364949,0.005743956,22.29636305,0.308824581
PECR,Q9BY49,8-3 FA,no hit,0.527179406,0.005916822,24.03335448,0.308824581
PPP2CB,P62714,8-3 FA,no hit,-0.342447723,0.00612445,24.14355689,0.308824581
RNPEP,Q9H4A4,8-3 FA,no hit,-0.483599013,0.006160161,22.56837216,0.308824581
PSMA6,G3V295|G3V5Z7|P60900,8-3 FA,no hit,-0.693623971,0.006575074,24.30855549,0.308824581
TRAP1,Q12931|Q12931-2,8-3 FA,no hit,0.351975507,0.006723108,26.26454583,0.308824581
ME2,P23368,8-3 FA,no hit,0.416208315,0.006908263,24.41599884,0.308824581
CLTA,P09496|P09496-2|P09496-3|P09496-4,8-3 FA,no hit,-0.576110154,0.007111992,24.5878844,0.308824581
ARF4,P18085,8-3 FA,no hit,-0.327593633,0.007416352,24.81118901,0.310113369
HADH,A0A0A0MSE2|E9PF18|Q16836|Q16836-2|Q16836-3,8-3 FA,no hit,0.374735946,0.008045176,23.76620884,0.312043119
RRM1,P23921,8-3 FA,no hit,-0.507382577,0.008143809,24.98540766,0.312043119
ATP6V1H,Q9UI12,8-3 FA,no hit,0.382164978,0.008291668,23.72328091,0.312043119
GNA11|GNAQ,K7EL62|P29992|P50148,8-3 FA,no hit,0.498940718,0.009970572,22.3883562,0.363121786
HSD17B10,Q99714,8-3 FA,no hit,0.36441802,0.010326633,24.62151853,0.364336503
DDX39A,O00148,8-3 FA,no hit,0.516209597,0.011230056,24.09871572,0.374641965
POR,H0Y4R2|P16435,8-3 FA,no hit,0.37769653,0.011716548,25.70913551,0.374641965
HMGCL,P35914,8-3 FA,no hit,0.434072693,0.012250946,24.51228837,0.374641965
TARS,P26639|P26639-2,8-3 FA,no hit,-0.429618714,0.012619329,24.68536668,0.374641965
FASN,A0A0U1RQF0|P49327,8-3 FA,no hit,-0.402497132,0.01380088,26.77571339,0.374641965
MAP4,E7EVA0|P27816|P27816-2|P27816-6,8-3 FA,no hit,-0.588906804,0.014045288,23.92832056,0.374641965
RSF1,Q96T23|Q96T23-2,8-3 FA,no hit,0.756673815,0.014133346,20.95213476,0.374641965
PPP6C,O00743|O00743-2|O00743-3,8-3 FA,no hit,-0.362700373,0.014852935,24.19445428,0.374641965
FNTA,B3KVN2|P49354|P49354-2,8-3 FA,no hit,-0.444871907,0.015210274,22.79467559,0.374641965
NAP1L1,B7Z9C2|H0YIV4|P55209|P55209-3,8-3 FA,no hit,-0.47412014,0.015557948,24.66850657,0.374641965
COPZ1,F8VUC5|F8VVA7|F8VXB1|F8VXR1|F8VYZ4|F8W156|P61923|P61923-4|P61923-5,8-3 FA,no hit,-0.44032219,0.015876909,23.78401415,0.374641965
