"","gene_name","LipidProbe","logFC","pvalue","hit_annotation"
"1","MAP4","PA",-1.7102873,1.32e-05,"no hit"
"2","MAP4","PE",-2.1282363,8e-07,"no hit"
"3","SEC24C","PA",-1.3996266,1.89e-05,"no hit"
"4","SEC24C","PE",-1.5440426,5.6e-06,"no hit"
"5","STRAP","PA",-1.5509555,2.4e-05,"no hit"
"6","STRAP","PE",-1.8955412,1.9e-06,"no hit"
"7","PCBP1","PA",-1.58675,6.22e-05,"no hit"
"8","PCBP1","PE",-1.8692164,8.9e-06,"no hit"
"9","MET","PA",1.0225475,6.97e-05,"enriched hit"
"10","MET","PE",0.9244389,0.0002044,"enriched candidate"
"11","TPT1","PA",-1.9047844,9.45e-05,"no hit"
"12","TPT1","PE",-1.9563568,7.05e-05,"no hit"
"13","EGFR","PA",1.4329414,9.51e-05,"enriched hit"
"14","EGFR","PE",1.4807718,6.62e-05,"enriched hit"
"15","ATXN10","PA",-1.3980813,0.0001086,"no hit"
"16","ATXN10","PE",-1.4974015,5.09e-05,"no hit"
"17","RAB13","PA",1.490336,0.0001511,"enriched hit"
"18","RAB13","PE",1.4399773,0.0002155,"enriched hit"
"19","MAPRE1","PA",-1.7511824,0.0001529,"no hit"
"20","MAPRE1","PE",-1.9126243,5.87e-05,"no hit"
"21","FAM114A1","PA",-1.4527281,0.0001658,"no hit"
"22","FAM114A1","PE",-1.6007909,5.8e-05,"no hit"
"23","SLC30A1","PA",1.2417693,0.0001735,"enriched hit"
"24","SLC30A1","PE",1.1022616,0.0005614,"enriched hit"
"25","LANCL1","PA",1.0626288,0.0002058,"enriched hit"
"26","LANCL1","PE",0.7065839,0.0064983,"enriched candidate"
"27","L1CAM","PA",1.4784112,0.0002255,"enriched hit"
"28","L1CAM","PE",1.3140481,0.000702,"enriched hit"
"29","EEF1G","PA",-1.8482329,0.000241,"no hit"
"30","EEF1G","PE",-2.0576506,7.76e-05,"no hit"
"31","USO1","PA",-0.9412429,0.0002413,"no hit"
"32","USO1","PE",-0.6719631,0.0044181,"no hit"
"33","PDCD6","PA",-1.8859665,0.0003295,"no hit"
"34","PDCD6","PE",-2.1370521,9.02e-05,"no hit"
"35","VPS29","PA",-1.0191345,0.0003607,"no hit"
"36","VPS29","PE",-0.7172935,0.0064704,"no hit"
"37","SEC13","PA",-1.3569496,0.0003764,"no hit"
"38","SEC13","PE",-1.6202865,5.88e-05,"no hit"
"39","EIF4E","PA",-0.911133,0.0004089,"no hit"
"40","EIF4E","PE",-1.1200372,4.66e-05,"no hit"
"41","PCBP2","PA",-1.3050835,0.00043,"no hit"
"42","PCBP2","PE",-1.6614153,3.31e-05,"no hit"
"43","EIF2B1","PA",-0.9708108,0.0004362,"no hit"
"44","EIF2B1","PE",-1.0045364,0.0003131,"no hit"
"45","SPCS2","PA",1.1806362,0.0004516,"enriched hit"
"46","SPCS2","PE",1.1264986,0.0006998,"enriched hit"
"47","SEC11A","PA",0.9320441,0.0004619,"enriched candidate"
"48","SEC11A","PE",0.7949083,0.0018796,"enriched candidate"
"49","NAA50","PA",-1.219215,0.0004681,"no hit"
"50","NAA50","PE",-1.2449251,0.0003832,"no hit"
"51","GNAI1","PA",1.0962794,0.0005795,"enriched hit"
"52","GNAI1","PE",0.9991076,0.0013233,"enriched candidate"
"53","TMEM214","PA",1.5019694,0.00068,"enriched hit"
"54","TMEM214","PE",1.4725462,0.0008135,"enriched hit"
"55","COPE","PA",-0.7396678,0.0006801,"no hit"
"56","COPE","PE",-1.0079993,2.64e-05,"no hit"
"57","EPHB4","PA",0.8741008,0.0006809,"enriched candidate"
"58","EPHB4","PE",0.9153067,0.0004426,"enriched candidate"
"59","ATXN2L","PA",-1.2994512,0.0007103,"no hit"
"60","ATXN2L","PE",-1.7866263,2.52e-05,"no hit"
"61","GNAI2","PA",1.0018102,0.0008882,"enriched hit"
"62","GNAI2","PE",0.8476414,0.0034789,"enriched candidate"
"63","SLC9A3R1","PA",1.2805822,0.0011358,"enriched hit"
"64","SLC9A3R1","PE",1.4100435,0.0004743,"enriched hit"
"65","BZW1","PA",-1.3116651,0.0011635,"no hit"
"66","BZW1","PE",-1.3766574,0.000759,"no hit"
"67","ABCC1","PA",0.7114526,0.0012429,"enriched candidate"
"68","ABCC1","PE",0.7618172,0.0006783,"enriched candidate"
"69","PDCD6IP","PA",-1.0900299,0.0012865,"no hit"
"70","PDCD6IP","PE",-0.8838015,0.0063745,"no hit"
"71","RALA","PA",1.1455485,0.0012948,"enriched hit"
"72","RALA","PE",1.3715065,0.0002427,"enriched hit"
"73","ARF4","PA",-0.789913,0.0014075,"no hit"
"74","ARF4","PE",-0.7036164,0.0035243,"no hit"
"75","NPM1","PA",0.9090801,0.0014406,"enriched candidate"
"76","NPM1","PE",0.8472015,0.0025504,"enriched candidate"
"77","RAB23","PA",0.6729241,0.0016281,"enriched candidate"
"78","RAB23","PE",0.4513435,0.0232187,"no hit"
"79","PARVA","PA",-0.8810579,0.0016454,"no hit"
"80","PARVA","PE",-0.7908037,0.0038259,"no hit"
"81","SEC23A","PA",-1.0161021,0.001844,"no hit"
"82","SEC23A","PE",-1.0629142,0.0012664,"no hit"
"83","SEC31A","PA",-1.1761229,0.0018814,"no hit"
"84","SEC31A","PE",-1.6216455,8.82e-05,"no hit"
"85","IGF1R","PA",0.8272967,0.0019043,"enriched candidate"
"86","IGF1R","PE",0.8199912,0.0020457,"enriched candidate"
"87","STOM","PA",1.1804349,0.0019705,"enriched hit"
"88","STOM","PE",1.273757,0.0010394,"enriched hit"
"89","GNA13","PA",0.9670985,0.0021405,"enriched candidate"
"90","GNA13","PE",1.0586222,0.0010034,"enriched hit"
"91","SYAP1","PA",-1.2244537,0.0022067,"no hit"
"92","SYAP1","PE",-1.5291549,0.000304,"no hit"
"93","ATP2B1","PA",1.0384657,0.0022216,"enriched hit"
"94","ATP2B1","PE",1.2540792,0.000425,"enriched hit"
"95","YWHAQ","PA",-1.1744336,0.0023217,"no hit"
"96","YWHAQ","PE",-1.4219177,0.0004374,"no hit"
"97","ATP2B4","PA",0.7835533,0.0025009,"enriched candidate"
"98","ATP2B4","PE",0.8851383,0.0009042,"enriched candidate"
"99","IPO5","PA",-1.2780783,0.0026504,"no hit"
"100","IPO5","PE",-1.3857587,0.0013759,"no hit"
"101","ACO1","PA",-0.9398386,0.0026515,"no hit"
"102","ACO1","PE",-0.9656543,0.002142,"no hit"
"103","TARS","PA",-1.3090394,0.0026577,"no hit"
"104","TARS","PE",-1.245218,0.0038755,"no hit"
"105","SORD","PA",-1.7193752,0.00266,"no hit"
"106","SORD","PE",-1.3600723,0.0131007,"no hit"
"107","AARS","PA",-1.0898991,0.0027365,"no hit"
"108","AARS","PE",-1.0073615,0.0048995,"no hit"
"109","UBAP2L","PA",-1.7198342,0.0028668,"no hit"
"110","UBAP2L","PE",-2.1402332,0.0004357,"no hit"
"111","IL1RAP","PA",0.7931747,0.0029004,"enriched candidate"
"112","IL1RAP","PE",0.6907412,0.0077324,"enriched candidate"
"113","ARHGDIA","PA",-1.0157838,0.0029327,"no hit"
"114","ARHGDIA","PE",-1.4247269,0.0001345,"no hit"
"115","FAM129B","PA",1.5349159,0.002994,"enriched hit"
"116","FAM129B","PE",1.5722074,0.0024871,"enriched hit"
"117","RRAS2","PA",0.8253033,0.0033333,"enriched candidate"
"118","RRAS2","PE",0.7508358,0.0065344,"enriched candidate"
"119","SRI","PA",-1.1956447,0.0041415,"no hit"
"120","SRI","PE",-1.2497933,0.0029779,"no hit"
"121","ATP1B1","PA",0.8745413,0.0041624,"enriched candidate"
"122","ATP1B1","PE",1.2597072,0.0001665,"enriched hit"
"123","PCNA","PA",-1.1992113,0.0041739,"no hit"
"124","PCNA","PE",-1.3561269,0.0016054,"no hit"
"125","PPIA","PA",-0.9861701,0.0042413,"no hit"
"126","PPIA","PE",-1.0379672,0.0028967,"no hit"
"127","CISD2","PA",1.1989323,0.0043038,"enriched candidate"
"128","CISD2","PE",1.5598348,0.0004798,"enriched hit"
"129","PLIN4","PA",-0.9154316,0.0044788,"no hit"
"130","PLIN4","PE",-1.3468834,0.0001483,"no hit"
"131","SERPINB1","PA",-0.9539765,0.0045716,"no hit"
"132","SERPINB1","PE",-1.1727315,0.0008729,"no hit"
"133","GNB1","PA",0.6925947,0.0047082,"enriched candidate"
"134","GNB1","PE",0.5853194,0.0139438,"enriched candidate"
"135","IST1","PA",-0.7949002,0.0049541,"no hit"
"136","IST1","PE",-0.5686618,0.0344595,"no hit"
"137","PDIA3","PA",1.0440225,0.0051192,"enriched candidate"
"138","PDIA3","PE",1.2854647,0.0009913,"enriched hit"
"139","GNAS","PA",0.8591344,0.0052333,"enriched candidate"
"140","GNAS","PE",0.9233122,0.003095,"enriched candidate"
"141","PGLS","PA",-1.0212386,0.0054511,"no hit"
"142","PGLS","PE",-1.1916845,0.00169,"no hit"
"143","ANXA5","PA",-1.2619308,0.0056159,"no hit"
"144","ANXA5","PE",-1.4111686,0.0024635,"no hit"
"145","ANXA7","PA",-1.3200992,0.006169,"no hit"
"146","ANXA7","PE",-1.5553,0.0018104,"no hit"
"147","TSN","PA",-0.8431285,0.0061709,"no hit"
"148","TSN","PE",-1.0572653,0.0010701,"no hit"
"149","LYPD3","PA",0.734313,0.00675,"enriched candidate"
"150","LYPD3","PE",0.7199076,0.0076958,"enriched candidate"
"151","RHOG","PA",0.5404821,0.0072035,"no hit"
"152","RHOG","PE",0.4997986,0.0118088,"no hit"
"153","TNPO1","PA",-0.881514,0.0073774,"no hit"
"154","TNPO1","PE",-1.0499972,0.0020571,"no hit"
"155","JUP","PA",0.9868617,0.0075067,"enriched candidate"
"156","JUP","PE",0.8219394,0.0220077,"enriched candidate"
"157","RAC1","PA",0.9171846,0.0077608,"enriched candidate"
"158","RAC1","PE",0.9021876,0.0086338,"enriched candidate"
"159","RCN1","PA",0.7152582,0.0078572,"enriched candidate"
"160","RCN1","PE",1.3019973,3.49e-05,"enriched hit"
