gene_name,logFC,pvalue,numReplicates,AveExpr,LipidProbe,hit_annotation
ARPC2,-7.071610078288534,1e-17,1,4.910667918856223,BF-NAPE,no hit
COPS8,-7.071610078288534,1e-17,1,5.81679595576796,BF-NAPE,no hit
DSC1,-7.071610078288534,1e-17,1,6.070954092437001,BF-NAPE,no hit
DSC3,-7.071610078288534,1e-17,1,5.428806933887936,BF-NAPE,no hit
DSG1,-7.071610078288534,1e-17,2,6.589993140235219,BF-NAPE,no hit
EIF3H; EIF3S3,-7.071610078288534,1e-17,1,5.488448255756657,BF-NAPE,no hit
FGFR4,-7.071610078288534,1e-17,1,5.648150559785953,BF-NAPE,no hit
FLG2,-7.071610078288534,1e-17,3,5.899711859701275,BF-NAPE,no hit
FUBP3,-7.071610078288534,1e-17,1,5.450619188642063,BF-NAPE,no hit
HRNR,-7.071610078288534,1e-17,3,6.12351126594172,BF-NAPE,no hit
KRT19,-7.071610078288534,1e-17,1,5.259179923960692,BF-NAPE,no hit
KRT6C,-7.071610078288534,1e-17,1,6.404388486242452,BF-NAPE,no hit
NAPB,-7.071610078288534,1e-17,1,5.468785881207558,BF-NAPE,no hit
NUBP2,-7.071610078288534,1e-17,1,5.012454347250505,BF-NAPE,no hit
PABPC3,-7.071610078288534,1e-17,1,5.616361838107575,BF-NAPE,no hit
PKP1,-7.071610078288534,1e-17,1,6.498186518670989,BF-NAPE,no hit
SLC9A3R1,-7.071610078288534,1e-17,1,5.113182069791776,BF-NAPE,no hit
SRP54,-7.071610078288534,1e-17,1,5.490194404909212,BF-NAPE,no hit
TSFM,-7.071610078288534,1e-17,1,5.8132779274262285,BF-NAPE,no hit
TTLL12,-7.071610078288534,1e-17,1,5.8394461890399425,BF-NAPE,no hit
KRT77,-5.189248674078883,1e-17,3,7.710574441331185,BF-NAPE,no hit
ALB,-5.091789518834272,1e-17,3,8.325973283635914,BF-NAPE,no hit
KRT1,-4.998063573996248,1e-17,3,9.093266756434083,BF-NAPE,no hit
UBE2L5,-4.96430071332608,1.41333333334e-6,3,5.663356707607313,BF-NAPE,no hit
KRT2,-4.950085934189915,1e-17,3,8.182326153920158,BF-NAPE,no hit
DSP,-4.8831792380948595,1.3692133333334e-4,3,7.016792875666607,BF-NAPE,no hit
KRT6B,-4.861840632531641,1e-17,2,7.1273411657456585,BF-NAPE,no hit
KRT9,-4.827737504008327,1e-17,3,9.003131267168254,BF-NAPE,no hit
KRT16,-4.635193758016328,1e-17,3,7.786018747598025,BF-NAPE,no hit
KRT10,-4.630042540547491,1e-17,3,8.500876911546806,BF-NAPE,no hit
RAB6A,-4.505259463616251,0.04906014933333334,3,5.566799032756772,BF-NAPE,no hit
INF2,-4.2806332028641245,1.2585900000000502e-4,2,5.304180914005165,BF-NAPE,no hit
KRT4,-4.221390219217987,3.335e-15,2,6.144156633427949,BF-NAPE,no hit
GSTK1,-3.8386228460364986,0.04372783000000001,2,5.656589501267794,BF-NAPE,no hit
LMAN2,-3.7657287982560974,0.028083034000000007,2,7.468572337336187,BF-NAPE,no hit
PRKAR1A,-3.6981849867395082,0.2798118005,2,5.910935548472676,BF-NAPE,no hit
VASP,-3.638650671012427,1e-17,1,6.3691501978858716,BF-NAPE,no hit
FLOT1,-3.5199661740825223,0.121259115,2,5.507358850475987,BF-NAPE,no hit
ALG1,-3.4942010237624817,0.172880152,2,4.938121225418118,BF-NAPE,no hit
SEC31A,-3.391515743257177,0.4837085985,2,5.086546231187995,BF-NAPE,no hit
CD109,-3.3601151716384456,1e-17,1,6.025861514347304,BF-NAPE,no hit
KRT5,-3.3276200984416637,1e-17,3,7.3439456505667025,BF-NAPE,no hit
YBX3,-3.2591209885040153,0.1306860275,2,5.379182448367902,BF-NAPE,no hit
GBE1,-3.2148309000861373,0.001526841000000005,2,5.572156653495844,BF-NAPE,no hit
DYNC1LI2,-3.105650383238513,0.008052217500000005,2,5.705125118248928,BF-NAPE,no hit
KRT6A,-3.021278908785934,0.325579267,2,8.415764945157026,BF-NAPE,no hit
TOP2A,-2.858624664870609,1e-17,3,6.824526591118045,BF-NAPE,no hit
ALDH2,-2.71405807367045,1e-17,1,5.906234404222097,BF-NAPE,no hit
NACA2,-2.59912230682579,1e-17,1,6.752677397333736,BF-NAPE,no hit
GGCT,-2.568861607632016,0.32304948366666664,3,5.354926664067063,BF-NAPE,no hit
BLVRB,-2.518356883304134,0.3920757006666667,3,5.775062198194849,BF-NAPE,no hit
CCAR2,-2.4737782079142727,0.6149770593333334,3,5.161419485942234,BF-NAPE,no hit
KRT85,-2.4428502162376975,0.2611802163333333,3,6.622174667020297,BF-NAPE,no hit
LOC51035,-2.370113196401161,0.49977911599999997,3,5.957786413670922,BF-NAPE,no hit
