"","...1","gene_name","LipidProbe","logFC","pvalue","hit_annotation"
"1",1,"MAP4","PA",-1.7102873,1.32e-05,"no hit"
"2",3,"SEC24C","PA",-1.3996266,1.89e-05,"no hit"
"3",5,"STRAP","PA",-1.5509555,2.4e-05,"no hit"
"4",7,"PCBP1","PA",-1.58675,6.22e-05,"no hit"
"5",9,"MET","PA",1.0225475,6.97e-05,"enriched hit"
"6",11,"TPT1","PA",-1.9047844,9.45e-05,"no hit"
"7",13,"EGFR","PA",1.4329414,9.51e-05,"enriched hit"
"8",15,"ATXN10","PA",-1.3980813,0.0001086,"no hit"
"9",17,"RAB13","PA",1.490336,0.0001511,"enriched hit"
"10",19,"MAPRE1","PA",-1.7511824,0.0001529,"no hit"
"11",21,"FAM114A1","PA",-1.4527281,0.0001658,"no hit"
"12",23,"SLC30A1","PA",1.2417693,0.0001735,"enriched hit"
"13",25,"LANCL1","PA",1.0626288,0.0002058,"enriched hit"
"14",27,"L1CAM","PA",1.4784112,0.0002255,"enriched hit"
"15",29,"EEF1G","PA",-1.8482329,0.000241,"no hit"
"16",31,"USO1","PA",-0.9412429,0.0002413,"no hit"
"17",33,"PDCD6","PA",-1.8859665,0.0003295,"no hit"
"18",35,"VPS29","PA",-1.0191345,0.0003607,"no hit"
"19",37,"SEC13","PA",-1.3569496,0.0003764,"no hit"
"20",39,"EIF4E","PA",-0.911133,0.0004089,"no hit"
"21",41,"PCBP2","PA",-1.3050835,0.00043,"no hit"
"22",43,"EIF2B1","PA",-0.9708108,0.0004362,"no hit"
"23",45,"SPCS2","PA",1.1806362,0.0004516,"enriched hit"
"24",47,"SEC11A","PA",0.9320441,0.0004619,"enriched candidate"
"25",49,"NAA50","PA",-1.219215,0.0004681,"no hit"
"26",51,"GNAI1","PA",1.0962794,0.0005795,"enriched hit"
"27",53,"TMEM214","PA",1.5019694,0.00068,"enriched hit"
"28",55,"COPE","PA",-0.7396678,0.0006801,"no hit"
"29",57,"EPHB4","PA",0.8741008,0.0006809,"enriched candidate"
"30",59,"ATXN2L","PA",-1.2994512,0.0007103,"no hit"
"31",61,"GNAI2","PA",1.0018102,0.0008882,"enriched hit"
"32",63,"SLC9A3R1","PA",1.2805822,0.0011358,"enriched hit"
"33",65,"BZW1","PA",-1.3116651,0.0011635,"no hit"
"34",67,"ABCC1","PA",0.7114526,0.0012429,"enriched candidate"
"35",69,"PDCD6IP","PA",-1.0900299,0.0012865,"no hit"
"36",71,"RALA","PA",1.1455485,0.0012948,"enriched hit"
"37",73,"ARF4","PA",-0.789913,0.0014075,"no hit"
"38",75,"NPM1","PA",0.9090801,0.0014406,"enriched candidate"
"39",77,"RAB23","PA",0.6729241,0.0016281,"enriched candidate"
"40",79,"PARVA","PA",-0.8810579,0.0016454,"no hit"
"41",81,"SEC23A","PA",-1.0161021,0.001844,"no hit"
"42",83,"SEC31A","PA",-1.1761229,0.0018814,"no hit"
"43",85,"IGF1R","PA",0.8272967,0.0019043,"enriched candidate"
"44",87,"STOM","PA",1.1804349,0.0019705,"enriched hit"
"45",89,"GNA13","PA",0.9670985,0.0021405,"enriched candidate"
"46",91,"SYAP1","PA",-1.2244537,0.0022067,"no hit"
"47",93,"ATP2B1","PA",1.0384657,0.0022216,"enriched hit"
"48",95,"YWHAQ","PA",-1.1744336,0.0023217,"no hit"
"49",97,"ATP2B4","PA",0.7835533,0.0025009,"enriched candidate"
"50",99,"IPO5","PA",-1.2780783,0.0026504,"no hit"
"51",101,"ACO1","PA",-0.9398386,0.0026515,"no hit"
"52",103,"TARS","PA",-1.3090394,0.0026577,"no hit"
"53",105,"SORD","PA",-1.7193752,0.00266,"no hit"
"54",107,"AARS","PA",-1.0898991,0.0027365,"no hit"
"55",109,"UBAP2L","PA",-1.7198342,0.0028668,"no hit"
"56",111,"IL1RAP","PA",0.7931747,0.0029004,"enriched candidate"
"57",113,"ARHGDIA","PA",-1.0157838,0.0029327,"no hit"
"58",115,"FAM129B","PA",1.5349159,0.002994,"enriched hit"
"59",117,"RRAS2","PA",0.8253033,0.0033333,"enriched candidate"
"60",119,"SRI","PA",-1.1956447,0.0041415,"no hit"
"61",121,"ATP1B1","PA",0.8745413,0.0041624,"enriched candidate"
"62",123,"PCNA","PA",-1.1992113,0.0041739,"no hit"
"63",125,"PPIA","PA",-0.9861701,0.0042413,"no hit"
"64",127,"CISD2","PA",1.1989323,0.0043038,"enriched candidate"
"65",129,"PLIN4","PA",-0.9154316,0.0044788,"no hit"
"66",131,"SERPINB1","PA",-0.9539765,0.0045716,"no hit"
"67",133,"GNB1","PA",0.6925947,0.0047082,"enriched candidate"
"68",135,"IST1","PA",-0.7949002,0.0049541,"no hit"
"69",137,"PDIA3","PA",1.0440225,0.0051192,"enriched candidate"
"70",139,"GNAS","PA",0.8591344,0.0052333,"enriched candidate"
"71",141,"PGLS","PA",-1.0212386,0.0054511,"no hit"
"72",143,"ANXA5","PA",-1.2619308,0.0056159,"no hit"
"73",145,"ANXA7","PA",-1.3200992,0.006169,"no hit"
"74",147,"TSN","PA",-0.8431285,0.0061709,"no hit"
"75",149,"LYPD3","PA",0.734313,0.00675,"enriched candidate"
"76",151,"RHOG","PA",0.5404821,0.0072035,"no hit"
"77",153,"TNPO1","PA",-0.881514,0.0073774,"no hit"
"78",155,"JUP","PA",0.9868617,0.0075067,"enriched candidate"
"79",157,"RAC1","PA",0.9171846,0.0077608,"enriched candidate"
"80",159,"RCN1","PA",0.7152582,0.0078572,"enriched candidate"
"81",161,"PDIA6","PA",0.6981538,0.0079715,"enriched candidate"
"82",163,"EEF1B2","PA",-1.3968312,0.0080297,"no hit"
"83",165,"EIF4G1","PA",-1.3069674,0.0080956,"no hit"
"84",167,"GNB4","PA",0.774015,0.0081284,"enriched candidate"
"85",169,"HYOU1","PA",1.0490048,0.0082523,"enriched candidate"
"86",171,"HSPB1","PA",-0.8559313,0.0090629,"no hit"
"87",173,"NDUFA4","PA",1.202984,0.0090763,"enriched candidate"
"88",175,"UBE2M","PA",-1.2063453,0.009234,"no hit"
"89",177,"PRDX6","PA",-1.1222757,0.0094776,"no hit"
"90",179,"SRPRB","PA",1.3048445,0.0096783,"enriched candidate"
"91",181,"CD55","PA",0.7103563,0.0097561,"enriched candidate"
"92",183,"GNA11","PA",0.6994555,0.0104753,"enriched candidate"
"93",185,"PHGDH","PA",-0.8681374,0.0107426,"no hit"
"94",187,"EIF4G2","PA",-0.9535521,0.0107689,"no hit"
"95",189,"PGM1","PA",-1.1487993,0.0109453,"no hit"
"96",191,"S100A4","PA",-1.1564389,0.0114301,"no hit"
"97",193,"DPP3","PA",-1.0717803,0.0115417,"no hit"
"98",195,"RABGGTB","PA",-1.1020058,0.0115516,"no hit"
"99",197,"API5","PA",-0.8858819,0.011838,"no hit"
"100",199,"PPIB","PA",0.805446,0.0118508,"enriched candidate"
"101",201,"CANX","PA",0.7625202,0.0118849,"enriched candidate"
"102",203,"YWHAZ","PA",-0.879541,0.0120203,"no hit"
"103",205,"SFN","PA",-1.0509365,0.0121962,"no hit"
"104",207,"NARS","PA",-1.0583062,0.0125384,"no hit"
"105",209,"IPO7","PA",-1.0332833,0.0125476,"no hit"
"106",211,"CRTAP","PA",0.7743448,0.0128594,"enriched candidate"
"107",213,"PRRC1","PA",-0.8420595,0.0128906,"no hit"
"108",215,"GNAQ","PA",0.6864202,0.0130591,"enriched candidate"
"109",217,"TAGLN2","PA",-0.8251559,0.0133704,"no hit"
"110",219,"SRM","PA",-0.9561359,0.0133937,"no hit"
"111",221,"LTA4H","PA",-1.0575724,0.0136723,"no hit"
"112",223,"HARS","PA",-0.8074889,0.0137303,"no hit"
"113",225,"CAND1","PA",-0.9088526,0.0137839,"no hit"
"114",227,"FDPS","PA",-1.0565812,0.0138986,"no hit"
"115",229,"GSTK1","PA",0.9017188,0.0139953,"enriched candidate"
"116",231,"ETFB","PA",1.0624366,0.0140953,"enriched candidate"
"117",233,"LY6K","PA",0.8385584,0.0142151,"enriched candidate"
"118",235,"NOMO1|NOMO3|NOMO2","PA",0.9539389,0.0146567,"enriched candidate"
"119",237,"BASP1","PA",1.9995488,0.0148356,"enriched candidate"
"120",239,"PRKCSH","PA",0.6993345,0.0151703,"enriched candidate"
"121",241,"GANAB","PA",0.7327816,0.0155799,"enriched candidate"
"122",243,"COX4I1","PA",0.9876078,0.0165074,"enriched candidate"
"123",245,"EIF4B","PA",-1.6765027,0.0166077,"no hit"
"124",247,"PLS3","PA",0.692714,0.016647,"enriched candidate"
"125",249,"HSPA9","PA",1.2165599,0.0169997,"enriched candidate"
"126",251,"CD44","PA",0.7504626,0.0172474,"enriched candidate"
"127",253,"SLC25A5","PA",1.0757471,0.0178012,"enriched candidate"
"128",255,"LDHA","PA",-1.0940288,0.0179713,"no hit"
"129",257,"CYP51A1","PA",0.6923136,0.0183088,"enriched candidate"
"130",259,"BST2","PA",-0.5837096,0.0183943,"no hit"
"131",261,"SERPINB5","PA",-1.2072295,0.0187761,"no hit"
"132",263,"RDH11","PA",0.9828302,0.0190882,"enriched candidate"
"133",265,"STEAP4","PA",0.6904106,0.0192346,"enriched candidate"
"134",267,"RAB35","PA",0.9938404,0.0195449,"enriched candidate"
"135",269,"NUDT5","PA",-1.1725917,0.0196409,"no hit"
"136",271,"HPD","PA",-0.8261069,0.0197387,"no hit"
"137",273,"FH","PA",1.0869163,0.0201251,"enriched candidate"
"138",275,"STX4","PA",1.1623278,0.0204003,"enriched candidate"
"139",277,"PPP2CA","PA",-0.6038101,0.0204561,"no hit"
"140",279,"CMBL","PA",-0.8246131,0.0205955,"no hit"
"141",281,"AXL","PA",0.6605263,0.0211588,"enriched candidate"
"142",283,"RAB18","PA",-0.6475098,0.0215452,"no hit"
"143",285,"NUTF2","PA",-0.8619663,0.0218436,"no hit"
"144",287,"LDHB","PA",-1.0726842,0.0218544,"no hit"
"145",289,"ABHD14B","PA",-0.8417298,0.0225916,"no hit"
"146",291,"GSTO1","PA",-1.4148474,0.0227676,"no hit"
"147",293,"SCCPDH","PA",0.7664889,0.0228555,"enriched candidate"
"148",295,"GDI2","PA",-0.6969195,0.0232498,"no hit"
"149",297,"PNP","PA",-0.8627469,0.0232774,"no hit"
"150",299,"PRSS21","PA",0.6963114,0.0233809,"enriched candidate"
"151",301,"ANP32B","PA",-1.3860798,0.0236871,"no hit"
"152",303,"SLC25A6","PA",1.1797124,0.0238151,"enriched candidate"
"153",305,"CPS1","PA",1.0270738,0.0239479,"enriched candidate"
"154",307,"ANP32A","PA",-1.1868057,0.0244341,"no hit"
"155",309,"AIFM1","PA",1.0483436,0.0246193,"enriched candidate"
"156",311,"TXN","PA",-0.8956316,0.0247717,"no hit"
"157",313,"YWHAB","PA",-0.8802779,0.0248553,"no hit"
