gene_name,protein_id,Protein.Description,LipidProbe,sample,logFC,AveExpr,pvalue,hit_annotation
PSMD10,O75832,26S proteasome non-ATPase regulatory subunit 10,PA,cytosol,-1.904481569,21.11617957,7.03e-15,no hit
RELA,Q04206,Transcription factor p65,PA,cytosol,-1.68158251,20.01193455,9.61e-15,no hit
ERC1,Q8IUD2,ELKS/Rab6-interacting/CAST family member 1,PA,cytosol,-1.937580992,19.21081223,1.73e-14,no hit
RPAP3,Q9H6T3,RNA polymerase II-associated protein 3,PA,cytosol,-1.644583012,20.76614929,2.3e-14,no hit
UBA6,A0AVT1,Ubiquitin-like modifier-activating enzyme 6,PA,cytosol,-1.632351995,21.44996614,2.38e-14,no hit
SLK,Q9H2G2,STE20-like serine/threonine-protein kinase,PA,cytosol,-1.95079631,22.06186764,3.21e-14,no hit
SMS,P52788,Spermine synthase,PA,cytosol,-1.736880118,23.10381074,3.53e-14,no hit
IMPDH1,P20839,Inosine-5'-monophosphate dehydrogenase 1,PA,cytosol,-1.827703993,21.43956603,3.67e-14,no hit
LRRC40,Q9H9A6,Leucine-rich repeat-containing protein 40,PA,cytosol,-1.561887249,21.12279458,3.73e-14,no hit
NUP88,Q99567,Nuclear pore complex protein Nup88,PA,cytosol,-1.596309295,19.62028989,4.26e-14,no hit
HSPBP1,Q9NZL4,Hsp70-binding protein 1,PA,cytosol,-1.658987975,20.53097171,4.65e-14,no hit
DNM1L,O00429,Dynamin-1-like protein,PA,cytosol,-1.904477361,23.14660642,4.7e-14,no hit
NAMPT,P43490,Nicotinamide phosphoribosyltransferase,PA,cytosol,-1.634598917,22.61956638,5.09e-14,no hit
PCID2,Q5JVF3,PCI domain-containing protein 2,PA,cytosol,-1.51095977,18.30127825,5.29e-14,no hit
IMPDH2,P12268,Inosine-5'-monophosphate dehydrogenase 2,PA,cytosol,-1.992043193,23.59106282,6.13e-14,no hit
PITPNB,P48739,Phosphatidylinositol transfer protein beta isoform,PA,cytosol,-1.721581475,21.84860241,6.24e-14,no hit
TAGLN2,P37802,Transgelin-2,PA,cytosol,-1.964402103,23.29257962,6.55e-14,no hit
DDX19A,Q9NUU7,ATP-dependent RNA helicase DDX19A,PA,cytosol,-1.944350305,21.85877723,6.95e-14,no hit
METAP2,P50579,Methionine aminopeptidase 2,PA,cytosol,-1.950545777,21.2915757,7.37e-14,no hit
HDLBP,Q00341,Vigilin,PA,cytosol,-1.824838919,22.96794951,7.86e-14,no hit
ZC3H15,Q8WU90,Zinc finger CCCH domain-containing protein 15,PA,cytosol,-2.116367632,21.22844168,8.31e-14,no hit
UCK2,Q9BZX2,Uridine-cytidine kinase 2,PA,cytosol,-1.543685238,21.12479547,8.51e-14,no hit
LAP3,P28838,Cytosol aminopeptidase,PA,cytosol,-1.764064175,22.1381715,8.73e-14,no hit
AP3M1,Q9Y2T2,AP-3 complex subunit mu-1,PA,cytosol,-1.761243536,20.57628145,1.01e-13,no hit
UMPS,P11172,Uridine 5'-monophosphate synthase,PA,cytosol,-1.681585243,22.57995626,1.01e-13,no hit
