"","...1","gene_name","LipidProbe","logFC","pvalue","hit_annotation"
"1",2,"MAP4","PE",-2.1282363,8e-07,"no hit"
"2",4,"SEC24C","PE",-1.5440426,5.6e-06,"no hit"
"3",6,"STRAP","PE",-1.8955412,1.9e-06,"no hit"
"4",8,"PCBP1","PE",-1.8692164,8.9e-06,"no hit"
"5",10,"MET","PE",0.9244389,0.0002044,"enriched candidate"
"6",12,"TPT1","PE",-1.9563568,7.05e-05,"no hit"
"7",14,"EGFR","PE",1.4807718,6.62e-05,"enriched hit"
"8",16,"ATXN10","PE",-1.4974015,5.09e-05,"no hit"
"9",18,"RAB13","PE",1.4399773,0.0002155,"enriched hit"
"10",20,"MAPRE1","PE",-1.9126243,5.87e-05,"no hit"
"11",22,"FAM114A1","PE",-1.6007909,5.8e-05,"no hit"
"12",24,"SLC30A1","PE",1.1022616,0.0005614,"enriched hit"
"13",26,"LANCL1","PE",0.7065839,0.0064983,"enriched candidate"
"14",28,"L1CAM","PE",1.3140481,0.000702,"enriched hit"
"15",30,"EEF1G","PE",-2.0576506,7.76e-05,"no hit"
"16",32,"USO1","PE",-0.6719631,0.0044181,"no hit"
"17",34,"PDCD6","PE",-2.1370521,9.02e-05,"no hit"
"18",36,"VPS29","PE",-0.7172935,0.0064704,"no hit"
"19",38,"SEC13","PE",-1.6202865,5.88e-05,"no hit"
"20",40,"EIF4E","PE",-1.1200372,4.66e-05,"no hit"
"21",42,"PCBP2","PE",-1.6614153,3.31e-05,"no hit"
"22",44,"EIF2B1","PE",-1.0045364,0.0003131,"no hit"
"23",46,"SPCS2","PE",1.1264986,0.0006998,"enriched hit"
"24",48,"SEC11A","PE",0.7949083,0.0018796,"enriched candidate"
"25",50,"NAA50","PE",-1.2449251,0.0003832,"no hit"
"26",52,"GNAI1","PE",0.9991076,0.0013233,"enriched candidate"
"27",54,"TMEM214","PE",1.4725462,0.0008135,"enriched hit"
"28",56,"COPE","PE",-1.0079993,2.64e-05,"no hit"
"29",58,"EPHB4","PE",0.9153067,0.0004426,"enriched candidate"
"30",60,"ATXN2L","PE",-1.7866263,2.52e-05,"no hit"
"31",62,"GNAI2","PE",0.8476414,0.0034789,"enriched candidate"
"32",64,"SLC9A3R1","PE",1.4100435,0.0004743,"enriched hit"
