gene_name,protein_id,Protein.Description,LipidProbe,sample,logFC,AveExpr,pvalue,hit_annotation
RMDN1,Q96DB5,Regulator of microtubule dynamics protein 1,PE,membrane,0.708007542,19.23078238,0.009588593,candidate
DECR2,Q9NUI1,"Peroxisomal 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing]",PE,membrane,0.781860655,16.29040184,0.009639078,candidate
SFXN1,Q9H9B4,Sideroflexin-1,PE,membrane,1.072900012,20.69938028,0.009705805,candidate
GNAQ,P50148,Guanine nucleotide-binding protein G(q) subunit alpha,PE,membrane,0.608926237,19.47984835,0.010134905,candidate
SLC25A13,Q9UJS0,"Electrogenic aspartate/glutamate antiporter SLC25A13, mitochondrial",PE,membrane,0.781175152,18.86690501,0.010515558,candidate
STEAP4,Q687X5,Metalloreductase STEAP4,PE,membrane,0.700663055,21.13782805,0.010904459,candidate
RDH11,Q8TC12,Retinol dehydrogenase 11,PE,membrane,0.841896415,19.56687742,0.011182536,candidate
ALDH3A2,P51648,Aldehyde dehydrogenase family 3 member A2,PE,membrane,0.740562655,19.28337854,0.011290749,candidate
RAB34,Q9BZG1,Ras-related protein Rab-34,PE,membrane,0.639446895,19.87555721,0.011398595,candidate
ATP2A2,P16615,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,PE,membrane,0.800136072,23.25806782,0.01176013,candidate
STT3A,P46977,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A,PE,membrane,0.647056299,21.20104152,0.012019209,candidate
AGPS,O00116,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",PE,membrane,0.609403437,19.14539833,0.012260831,candidate
DDOST,P39656,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit,PE,membrane,0.637729668,23.03866095,0.013177124,candidate
ETFA,P13804,"Electron transfer flavoprotein subunit alpha, mitochondrial",PE,membrane,0.995857595,20.58729454,0.013299698,candidate
UQCRC1,P31930,"Cytochrome b-c1 complex subunit 1, mitochondrial",PE,membrane,0.850174992,21.08820209,0.013354581,candidate
SEC63,Q9UGP8,Translocation protein SEC63 homolog,PE,membrane,0.868267046,19.0789413,0.013862179,candidate
RAB35,Q15286,Ras-related protein Rab-35,PE,membrane,0.757892768,22.22297918,0.014523014,candidate
RUSF1,Q96GQ5,RUS family member 1,PE,membrane,0.617703348,18.26101249,0.014685394,candidate
HSD17B10,Q99714,3-hydroxyacyl-CoA dehydrogenase type-2,PE,membrane,0.648591238,21.20980756,0.015024329,candidate
RAB13,P51153,Ras-related protein Rab-13,PE,membrane,0.818385361,21.6262584,0.016244872,candidate
ECI2,O75521,Enoyl-CoA delta isomerase 2,PE,membrane,0.950060758,20.20966323,0.016308168,candidate
ACSL3,O95573,Fatty acid CoA ligase Acsl3,PE,membrane,1.002479899,20.73962676,0.016335869,candidate
CYC1,P08574,"Cytochrome c1, heme protein, mitochondrial",PE,membrane,0.871527481,18.89709524,0.016410925,candidate
HSPA5,P11021,Endoplasmic reticulum chaperone BiP,PE,membrane,0.966663762,26.11231537,0.016437074,candidate
ACO2,Q99798,"Aconitate hydratase, mitochondrial",PE,membrane,0.96589079,20.13385828,0.017580262,candidate
PRDX3,P30048,"Thioredoxin-dependent peroxide reductase, mitochondrial",PE,membrane,1.429885052,21.95756559,0.017793319,candidate
ATP1A1,P05023,Sodium/potassium-transporting ATPase subunit alpha-1,PE,membrane,0.62545417699999994,25.53469749,0.019578901,candidate
CYB5R3,P00387,NADH-cytochrome b5 reductase 3,PE,membrane,0.649340569,22.55077761,0.020245587,candidate
SLC25A24,Q6NUK1,Calcium-binding mitochondrial carrier protein SCaMC-1,PE,membrane,0.97477642900000006,20.65730826,0.02062703,candidate
STX4,Q12846,Syntaxin-4,PE,membrane,0.865092505,18.70223548,0.0215306,candidate
ABCG2,Q9UNQ0,Broad substrate specificity ATP-binding cassette transporter ABCG2,PE,membrane,0.960098686,21.19702126,0.021581678,candidate
MGST1,P10620,Microsomal glutathione S-transferase 1,PE,membrane,0.851456183,21.43340999,0.022597281,candidate
DPM1,O60762,Dolichol-phosphate mannosyltransferase subunit 1,PE,membrane,0.768410089,18.83884158,0.023019937,candidate
PHB2,Q99623,Prohibitin-2,PE,membrane,1.299025442,22.35070351,0.023774964,candidate
RPN1,P04843,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,PE,membrane,1.030445792,22.84923866,0.024969861,candidate
CD44,P16070,CD44 antigen,PE,membrane,0.689800858,24.26944201,0.025626198,candidate
ATP5PD,O75947,"ATP synthase subunit d, mitochondrial",PE,membrane,1.009244937,20.38986318,0.026324161,candidate
RHOC,P08134,Rho-related GTP-binding protein RhoC,PE,membrane,0.668643891,16.61220432,0.026364548,candidate
ECI1,P42126,"Enoyl-CoA delta isomerase 1, mitochondrial",PE,membrane,1.0216941,20.65775419,0.026366628,candidate
METTL7A,Q9H8H3,Putative methyltransferase-like protein 7A,PE,membrane,0.625870548,19.20528588,0.026442818,candidate
