gene_name,protein_id,LipidProbe,hit_annotation,logFC,pvalue,AveExpr,fdr
PITPNB,A0A0A0MSW4|P48739|P48739-2|P48739-3,Spa,enriched hit,2.097033601,3.4e-6,23.49127191,0.002790336
VDAC2,A0A0A0MR02|P45880|P45880-1|P45880-2|Q5JSD1|Q5JSD2,Spa,enriched hit,1.739838756,4.94e-6,22.82293116,0.002790336
NUCB2|Nucb2|HEL-S-109,P80303|Q2L696|V9HW75,Spa,enriched hit,1.053900939,1.88e-5,24.19793587,0.00708676
PKP1,A0A087WYY6|Q13835|Q13835-2,Spa,no hit,-1.820530117,8.34e-5,23.20899484,0.013855527
PGAM1,P18669,Spa,no hit,-1.113220028,8.84e-5,24.25970211,0.013855527
SDF4,Q9BRK5|Q9BRK5-2|Q9BRK5-6,Spa,enriched hit,0.793822338,9.18e-5,24.6364005,0.013855527
CBX1,J3KS05|P83916,Spa,enriched hit,1.004731467,9.71e-5,23.56357431,0.013855527
HEATR3,Q7Z4Q2|Q7Z4Q2-2,Spa,no hit,-1.126425449,1.18414e-4,22.67151398,0.013855527
HSPA5,P11021,Spa,enriched hit,0.789761217,1.20201e-4,27.7993791,0.013855527
HSP90B1,P14625,Spa,enriched hit,0.731388252,1.22724e-4,28.07744807,0.013855527
RRBP1,A0A087WVV2|A0A0A0MRV0|Q9P2E9,Spa,enriched hit,0.639950272,1.37148e-4,26.85760593,0.014076322
NUCB1,Q02818,Spa,enriched hit,0.906175453,1.66947e-4,24.65853579,0.015706953
ARG1,P05089|P05089-2,Spa,no hit,-2.51482827,1.93608e-4,22.71521958,0.0168141
ECH1,Q13011,Spa,enriched hit,1.038353423,2.32698e-4,24.2698604,0.01876543
SERPINB12,Q96P63|Q96P63-2,Spa,no hit,-2.681362393,2.54623e-4,22.71695482,0.018938871
PLEC,Q15149|Q15149-2|Q15149-3|Q15149-4|Q15149-5|Q15149-6|Q15149-7|Q15149-8|Q15149-9,Spa,no hit,0.504504385,2.81635e-4,30.17776006,0.018938871
KPRP,Q5T749,Spa,no hit,-2.542880557,2.85173e-4,24.07597438,0.018938871
