gene_name,protein_id,LipidProbe,hit_annotation,logFC,pvalue,AveExpr,fdr
SDF4,Q9BRK5|Q9BRK5-2|Q9BRK5-6,Sph,enriched hit,0.977972915,1.48e-5,24.6364005,0.016719865
VARS,A0A140T936|P26640,Sph,no hit,-0.712828994,4.68e-5,26.48736472,0.026400548
PDCL3,H7BZP2|Q9H2J4,Sph,no hit,-0.814868357,9.96e-5,23.30340468,0.028159892
ALDH7A1,P49419|P49419-2,Sph,enriched hit,0.621035728,1.07773e-4,26.35839581,0.028159892
IPO9,Q96P70,Sph,no hit,-0.634190458,1.70773e-4,25.43866451,0.028159892
AKR1C3,A0A0A0MSS8|P42330|P42330-2|S4R3Z2,Sph,no hit,-0.945056715,1.7619e-4,24.85935729,0.028159892
ARF4,P18085,Sph,no hit,-0.552031029,1.94515e-4,24.81118901,0.028159892
PCNA,P12004,Sph,no hit,-0.749478776,2.04282e-4,25.81747949,0.028159892
TPI1,P60174|P60174-1,Sph,no hit,-0.980263387,2.65717e-4,24.6695963,0.028159892
ERAP1,Q9NZ08|Q9NZ08-2,Sph,enriched hit,0.704443589,3.05119e-4,24.95592321,0.028159892
PGK1,P00558|P00558-2,Sph,no hit,-0.90300971,3.05871e-4,25.26150137,0.028159892
XPO5,Q9HAV4,Sph,no hit,-0.638169388,3.16252e-4,25.07114794,0.028159892
PA2G4,Q9UQ80|Q9UQ80-2,Sph,no hit,-0.58737662,3.51888e-4,24.67177874,0.028159892
IPO7,O95373,Sph,no hit,-0.576456284,3.71183e-4,26.7927866,0.028159892
AHCY,P23526,Sph,no hit,-0.775280839,3.75692e-4,26.02569742,0.028159892
GMPS,P49915,Sph,no hit,-0.774871001,4.15069e-4,24.99544136,0.028159892
CTSA,P10619|P10619-2|X6R5C5|X6R8A1,Sph,enriched hit,0.635931501,4.2402e-4,24.61293272,0.028159892
CAD,F8VPD4|P27708,Sph,no hit,-0.581000505,5.35393e-4,26.29453456,0.029597598
VPS29,F8VXU5|Q9UBQ0|Q9UBQ0-2,Sph,no hit,-0.498034261,5.5396e-4,24.9049838,0.029597598
POLDIP2,B4DEM9|Q9Y2S7,Sph,no hit,0.467906131,5.9744e-4,24.50528508,0.029597598
RRM1,P23921,Sph,no hit,-0.749706119,6.16876e-4,24.98540766,0.029597598
CLIC4,Q9Y696,Sph,no hit,-0.762913307,6.21482e-4,25.87060115,0.029597598
CLUH,K7EIG1,Sph,no hit,-0.515436428,6.53932e-4,23.2906275,0.029597598
STAT3,G8JLH9|P40763|P40763-2|P40763-3,Sph,no hit,-0.521083811,6.72348e-4,23.97756318,0.029597598
UQCRC1,P31930,Sph,no hit,0.535393104,7.06987e-4,25.60646087,0.029597598
FASN,A0A0U1RQF0|P49327,Sph,no hit,-0.642718665,7.14562e-4,26.77571339,0.029597598
ISYNA1,Q9NPH2|Q9NPH2-2|Q9NPH2-3,Sph,no hit,-0.699718247,7.17913e-4,22.58170568,0.029597598
