"","LipidProbe","gene_name","hit_annotation","logFC","pvalue","fdr"
"1","PA","MAP4","no hit",-1.7102873,1.32e-05,"Data not available"
"2","PA","SEC24C","no hit",-1.3996266,1.89e-05,"Data not available"
"3","PA","STRAP","no hit",-1.5509555,2.4e-05,"Data not available"
"4","PA","PCBP1","no hit",-1.58675,6.22e-05,"Data not available"
"5","PA","MET","enriched hit",1.0225475,6.97e-05,"Data not available"
"6","PA","TPT1","no hit",-1.9047844,9.45e-05,"Data not available"
"7","PA","EGFR","enriched hit",1.4329414,9.51e-05,"Data not available"
"8","PA","ATXN10","no hit",-1.3980813,0.0001086,"Data not available"
"9","PA","RAB13","enriched hit",1.490336,0.0001511,"Data not available"
"10","PA","MAPRE1","no hit",-1.7511824,0.0001529,"Data not available"
"11","PA","FAM114A1","no hit",-1.4527281,0.0001658,"Data not available"
"12","PA","SLC30A1","enriched hit",1.2417693,0.0001735,"Data not available"
"13","PA","LANCL1","enriched hit",1.0626288,0.0002058,"Data not available"
"14","PA","L1CAM","enriched hit",1.4784112,0.0002255,"Data not available"
"15","PA","EEF1G","no hit",-1.8482329,0.000241,"Data not available"
"16","PA","USO1","no hit",-0.9412429,0.0002413,"Data not available"
"17","PA","PDCD6","no hit",-1.8859665,0.0003295,"Data not available"
"18","PA","VPS29","no hit",-1.0191345,0.0003607,"Data not available"
"19","PA","SEC13","no hit",-1.3569496,0.0003764,"Data not available"
"20","PA","EIF4E","no hit",-0.911133,0.0004089,"Data not available"
"21","PA","PCBP2","no hit",-1.3050835,0.00043,"Data not available"
"22","PA","EIF2B1","no hit",-0.9708108,0.0004362,"Data not available"
"23","PA","SPCS2","enriched hit",1.1806362,0.0004516,"Data not available"
"24","PA","SEC11A","enriched candidate",0.9320441,0.0004619,"Data not available"
"25","PA","NAA50","no hit",-1.219215,0.0004681,"Data not available"
"26","PA","GNAI1","enriched hit",1.0962794,0.0005795,"Data not available"
"27","PA","TMEM214","enriched hit",1.5019694,0.00068,"Data not available"
"28","PA","COPE","no hit",-0.7396678,0.0006801,"Data not available"
"29","PA","EPHB4","enriched candidate",0.8741008,0.0006809,"Data not available"
"30","PA","ATXN2L","no hit",-1.2994512,0.0007103,"Data not available"
"31","PA","GNAI2","enriched hit",1.0018102,0.0008882,"Data not available"
"32","PA","SLC9A3R1","enriched hit",1.2805822,0.0011358,"Data not available"
"33","PA","BZW1","no hit",-1.3116651,0.0011635,"Data not available"
"34","PA","ABCC1","enriched candidate",0.7114526,0.0012429,"Data not available"
"35","PA","PDCD6IP","no hit",-1.0900299,0.0012865,"Data not available"
"36","PA","RALA","enriched hit",1.1455485,0.0012948,"Data not available"
"37","PA","ARF4","no hit",-0.789913,0.0014075,"Data not available"
"38","PA","NPM1","enriched candidate",0.9090801,0.0014406,"Data not available"
"39","PA","RAB23","enriched candidate",0.6729241,0.0016281,"Data not available"
"40","PA","PARVA","no hit",-0.8810579,0.0016454,"Data not available"
"41","PA","SEC23A","no hit",-1.0161021,0.001844,"Data not available"
"42","PA","SEC31A","no hit",-1.1761229,0.0018814,"Data not available"
"43","PA","IGF1R","enriched candidate",0.8272967,0.0019043,"Data not available"
"44","PA","STOM","enriched hit",1.1804349,0.0019705,"Data not available"
"45","PA","GNA13","enriched candidate",0.9670985,0.0021405,"Data not available"
"46","PA","SYAP1","no hit",-1.2244537,0.0022067,"Data not available"
"47","PA","ATP2B1","enriched hit",1.0384657,0.0022216,"Data not available"
"48","PA","YWHAQ","no hit",-1.1744336,0.0023217,"Data not available"
"49","PA","ATP2B4","enriched candidate",0.7835533,0.0025009,"Data not available"
"50","PA","IPO5","no hit",-1.2780783,0.0026504,"Data not available"
"51","PA","ACO1","no hit",-0.9398386,0.0026515,"Data not available"
"52","PA","TARS","no hit",-1.3090394,0.0026577,"Data not available"
"53","PA","SORD","no hit",-1.7193752,0.00266,"Data not available"
"54","PA","AARS","no hit",-1.0898991,0.0027365,"Data not available"
"55","PA","UBAP2L","no hit",-1.7198342,0.0028668,"Data not available"
"56","PA","IL1RAP","enriched candidate",0.7931747,0.0029004,"Data not available"
"57","PA","ARHGDIA","no hit",-1.0157838,0.0029327,"Data not available"
"58","PA","FAM129B","enriched hit",1.5349159,0.002994,"Data not available"
"59","PA","RRAS2","enriched candidate",0.8253033,0.0033333,"Data not available"
"60","PA","SRI","no hit",-1.1956447,0.0041415,"Data not available"
"61","PA","ATP1B1","enriched candidate",0.8745413,0.0041624,"Data not available"
"62","PA","PCNA","no hit",-1.1992113,0.0041739,"Data not available"
"63","PA","PPIA","no hit",-0.9861701,0.0042413,"Data not available"
"64","PA","CISD2","enriched candidate",1.1989323,0.0043038,"Data not available"
"65","PA","PLIN4","no hit",-0.9154316,0.0044788,"Data not available"
"66","PA","SERPINB1","no hit",-0.9539765,0.0045716,"Data not available"
"67","PA","GNB1","enriched candidate",0.6925947,0.0047082,"Data not available"
"68","PA","IST1","no hit",-0.7949002,0.0049541,"Data not available"
"69","PA","PDIA3","enriched candidate",1.0440225,0.0051192,"Data not available"
"70","PA","GNAS","enriched candidate",0.8591344,0.0052333,"Data not available"
"71","PA","PGLS","no hit",-1.0212386,0.0054511,"Data not available"
"72","PA","ANXA5","no hit",-1.2619308,0.0056159,"Data not available"
"73","PA","ANXA7","no hit",-1.3200992,0.006169,"Data not available"
"74","PA","TSN","no hit",-0.8431285,0.0061709,"Data not available"
"75","PA","LYPD3","enriched candidate",0.734313,0.00675,"Data not available"
"76","PA","RHOG","no hit",0.5404821,0.0072035,"Data not available"
"77","PA","TNPO1","no hit",-0.881514,0.0073774,"Data not available"
"78","PA","JUP","enriched candidate",0.9868617,0.0075067,"Data not available"
"79","PA","RAC1","enriched candidate",0.9171846,0.0077608,"Data not available"
"80","PA","RCN1","enriched candidate",0.7152582,0.0078572,"Data not available"
"81","PA","PDIA6","enriched candidate",0.6981538,0.0079715,"Data not available"
"82","PA","EEF1B2","no hit",-1.3968312,0.0080297,"Data not available"
