LipidProbe,gene_name,logFC,pvalue,hit_annotation,CellLine
Spa,PITPNB,2.097033601,3.4e-6,enriched hit,Huh7
Spa,VDAC2,1.739838756,4.94e-6,enriched hit,Huh7
Spa,NUCB2|Nucb2|HEL-S-109,1.053900939,1.88e-5,enriched hit,Huh7
Spa,PKP1,-1.820530117,8.34e-5,no hit,Huh7
Spa,PGAM1,-1.113220028,8.84e-5,no hit,Huh7
Spa,SDF4,0.793822338,9.18e-5,enriched hit,Huh7
Spa,CBX1,1.004731467,9.71e-5,enriched hit,Huh7
Spa,HEATR3,-1.126425449,1.18e-4,no hit,Huh7
Spa,HSPA5,0.789761217,1.2e-4,enriched hit,Huh7
Spa,HSP90B1,0.731388252,1.23e-4,enriched hit,Huh7
Spa,RRBP1,0.639950272,1.37e-4,enriched hit,Huh7
Spa,NUCB1,0.906175453,1.67e-4,enriched hit,Huh7
Spa,ARG1,-2.51482827,1.94e-4,no hit,Huh7
Spa,ECH1,1.038353423,2.33e-4,enriched hit,Huh7
Spa,SERPINB12,-2.681362393,2.55e-4,no hit,Huh7
Spa,PLEC,0.504504385,2.82e-4,no hit,Huh7
Spa,KPRP,-2.542880557,2.85e-4,no hit,Huh7
Spa,NRDC,-0.80285267,3.09e-4,no hit,Huh7
Spa,XP32,-3.028127831,3.44e-4,no hit,Huh7
Spa,ESD,-1.554341529,3.71e-4,no hit,Huh7
Spa,CDC123,-0.779293482,4.05e-4,no hit,Huh7
Spa,HNRNPUL2-BSCL2|HNRNPUL2,0.556062268,4.8e-4,no hit,Huh7
Spa,HADHA,0.558814436,4.81e-4,no hit,Huh7
Spa,JUP,-1.947709154,4.85e-4,no hit,Huh7
Spa,VDAC1,1.196967199,4.91e-4,enriched hit,Huh7
Spa,PDIA3,0.685955661,4.93e-4,enriched hit,Huh7
Spa,NCL,0.634981278,5.91e-4,enriched hit,Huh7
Spa,XPO7,-0.620572799,6.67e-4,no hit,Huh7
Spa,PREP,-0.764790191,7.26e-4,no hit,Huh7
Spa,DLST,0.466120005,7.68e-4,no hit,Huh7
Spa,CUL5,-0.724828512,8.03e-4,no hit,Huh7
Spa,DSP,-2.495615613,8.04e-4,no hit,Huh7
Spa,ECHS1,0.722155555,8.5e-4,enriched hit,Huh7
Spa,IPO7,-0.513644769,8.86e-4,no hit,Huh7
Spa,GLRX5,0.459175118,8.89e-4,no hit,Huh7
Spa,ARF4,-0.44977614,9.4e-4,no hit,Huh7
Spa,IPO9,-0.50479137,9.91e-4,no hit,Huh7
Spa,NSUN2,-0.541632417,0.001068507,no hit,Huh7
Spa,ERH,0.541155717,0.001069002,no hit,Huh7
Spa,CAD,-0.52448395,0.001137683,no hit,Huh7
Spa,GMPS,-0.674501033,0.001163372,no hit,Huh7
Spa,MRPL20,0.597677021,0.001168631,enriched hit,Huh7
Spa,EIF4A2,-0.904310852,0.001180621,no hit,Huh7
Spa,PRDX2,-1.353711563,0.00125852,no hit,Huh7
Spa,NPLOC4,-0.407320341,0.001342517,no hit,Huh7
Spa,SMS,-0.678095013,0.001367423,no hit,Huh7
Spa,GANAB,0.492575958,0.00144302,no hit,Huh7
Spa,P4HB,0.662294134,0.001446072,enriched hit,Huh7
Spa,SARNP,0.563170005,0.001563519,no hit,Huh7
Spa,PSMA1,-0.537817721,0.001571319,no hit,Huh7
Spa,HSPA9,0.554708848,0.001635541,no hit,Huh7
Spa,BLMH,-0.789986063,0.00167603,no hit,Huh7
Spa,P4HA2,0.486002086,0.001696474,no hit,Huh7
Spa,ATP6V1A,0.454842817,0.001809277,no hit,Huh7
Spa,KTN1,0.701613567,0.001825635,enriched hit,Huh7
Spa,ATP6V1B2,0.394284267,0.001826292,no hit,Huh7
Spa,ACADM,0.441431437,0.001846368,no hit,Huh7
Spa,PSMB5,-0.49000846,0.001882842,no hit,Huh7
Spa,CRTAP,0.455650927,0.001932389,no hit,Huh7
Spa,UQCRC1,0.460078313,0.002071215,no hit,Huh7
Spa,LANCL2,-0.534321001,0.002084044,no hit,Huh7
Spa,PSMA7,-0.478332217,0.002098041,no hit,Huh7
Spa,AKR1C3,-0.678045905,0.002101621,no hit,Huh7
Spa,PES1,0.683409423,0.00212182,enriched hit,Huh7
Spa,SHMT1,-0.570764519,0.002174536,no hit,Huh7
Spa,PLOD2,0.479324804,0.00224134,no hit,Huh7
Spa,ENOPH1,-0.722026154,0.002244141,no hit,Huh7
Spa,STAT3,-0.434457455,0.002422944,no hit,Huh7
Spa,MPRIP,0.513724408,0.002447655,no hit,Huh7
Spa,RMDN1,0.400138638,0.002496442,no hit,Huh7
Spa,ACOT9,0.529703667,0.002528857,no hit,Huh7
Spa,PGK1,-0.668147222,0.002705604,no hit,Huh7
Spa,DSG1,-2.146885571,0.002719012,no hit,Huh7
Spa,CAPN1,-0.618721945,0.002752467,no hit,Huh7
Spa,SFPQ,0.382244216,0.002891727,no hit,Huh7
Spa,PLOD3,0.462287368,0.002910718,no hit,Huh7
Spa,TMEM189-UBE2V1|UBE2V1,-0.873845783,0.002915856,no hit,Huh7
Spa,POLDIP2,0.372057931,0.002981277,no hit,Huh7
Spa,HADH,0.440292453,0.003021903,no hit,Huh7
Spa,UBR4,-0.498032892,0.003104385,no hit,Huh7
Spa,SQRDL,0.428974889,0.003201585,no hit,Huh7
Spa,CDK6,-0.487895115,0.00321183,no hit,Huh7
Spa,RNPEP,-0.537364115,0.003216513,no hit,Huh7
Spa,PHYHIPL,-0.517609338,0.00322084,no hit,Huh7
Spa,GDI2,-0.713606637,0.003232084,no hit,Huh7
Spa,COPG1,-0.374812575,0.003380798,no hit,Huh7
Spa,TGM3,-1.283409741,0.003404286,no hit,Huh7
Spa,P4HA1,0.478919209,0.003486847,no hit,Huh7
Spa,GFPT1,-0.671462916,0.003517718,no hit,Huh7
Spa,KIF20B,0.48911036,0.003608968,no hit,Huh7
Spa,hCG_2039566|A0A0U1RRH7|HIST1H2AB|HIST1H2AG|HIST1H2AD|HIST2H2AC|HIST2H2AA3|HIST3H2A|HIST1H2AC|HIST1H2AH|HIST1H2AJ|H2AFJ,0.602648652,0.003622995,enriched hit,Huh7
Spa,ARCN1,-0.424309822,0.003782471,no hit,Huh7
Spa,TUFM,0.346138347,0.003862113,no hit,Huh7
Spa,CUL3,-0.435084587,0.003884946,no hit,Huh7
Spa,SEC31A,-0.370690599,0.003932088,no hit,Huh7
Spa,ACACA,-0.493576803,0.004062143,no hit,Huh7
Spa,HYOU1,0.519809817,0.004103245,no hit,Huh7
Spa,UGDH,-0.734332778,0.004222534,no hit,Huh7
Spa,CSPG4,0.465142859,0.004276712,no hit,Huh7
Spa,ETHE1,0.404618669,0.004387751,no hit,Huh7
Spa,ATP6V1E1,0.360755824,0.004553592,no hit,Huh7
Spa,RRM1,-0.559690927,0.004561285,no hit,Huh7
Spa,DSC1,-2.157807523,0.004704429,no hit,Huh7
Spa,PDIA4,0.838184955,0.004724677,enriched candidate,Huh7
Spa,ISYNA1,-0.529995433,0.004727646,no hit,Huh7
Spa,RAB3GAP2,-0.370897516,0.004805722,no hit,Huh7
Spa,TSFM,0.448826047,0.005016851,no hit,Huh7
Spa,RRM2,-0.845271754,0.005084664,no hit,Huh7
