LipidProbe,gene_name,logFC,pvalue,hit_annotation,CellLine
PA,MAP4,-1.7102873,1.32e-5,no hit,HeLa
PA,SEC24C,-1.3996266,1.89e-5,no hit,HeLa
PA,STRAP,-1.5509555,2.4e-5,no hit,HeLa
PA,PCBP1,-1.58675,6.22e-5,no hit,HeLa
PA,MET,1.0225475,6.97e-5,enriched hit,HeLa
PA,TPT1,-1.9047844,9.45e-5,no hit,HeLa
PA,EGFR,1.4329414,9.51e-5,enriched hit,HeLa
PA,ATXN10,-1.3980813,1.086e-4,no hit,HeLa
PA,RAB13,1.490336,1.511e-4,enriched hit,HeLa
PA,MAPRE1,-1.7511824,1.529e-4,no hit,HeLa
PA,FAM114A1,-1.4527281,1.658e-4,no hit,HeLa
PA,SLC30A1,1.2417693,1.735e-4,enriched hit,HeLa
PA,LANCL1,1.0626288,2.058e-4,enriched hit,HeLa
PA,L1CAM,1.4784112,2.255e-4,enriched hit,HeLa
PA,EEF1G,-1.8482329,2.41e-4,no hit,HeLa
PA,USO1,-0.9412429,2.413e-4,no hit,HeLa
PA,PDCD6,-1.8859665,3.295e-4,no hit,HeLa
PA,VPS29,-1.0191345,3.607e-4,no hit,HeLa
PA,SEC13,-1.3569496,3.764e-4,no hit,HeLa
PA,EIF4E,-0.911133,4.089e-4,no hit,HeLa
PA,PCBP2,-1.3050835,4.3e-4,no hit,HeLa
PA,EIF2B1,-0.9708108,4.362e-4,no hit,HeLa
PA,SPCS2,1.1806362,4.516e-4,enriched hit,HeLa
PA,SEC11A,0.9320441,4.619e-4,enriched candidate,HeLa
PA,NAA50,-1.219215,4.681e-4,no hit,HeLa
PA,GNAI1,1.0962794,5.795e-4,enriched hit,HeLa
PA,TMEM214,1.5019694,6.8e-4,enriched hit,HeLa
PA,COPE,-0.7396678,6.801e-4,no hit,HeLa
PA,EPHB4,0.8741008,6.809e-4,enriched candidate,HeLa
PA,ATXN2L,-1.2994512,7.103e-4,no hit,HeLa
PA,GNAI2,1.0018102,8.882e-4,enriched hit,HeLa
PA,SLC9A3R1,1.2805822,0.0011358,enriched hit,HeLa
PA,BZW1,-1.3116651,0.0011635,no hit,HeLa
PA,ABCC1,0.7114526,0.0012429,enriched candidate,HeLa
PA,PDCD6IP,-1.0900299,0.0012865,no hit,HeLa
PA,RALA,1.1455485,0.0012948,enriched hit,HeLa
PA,ARF4,-0.789913,0.0014075,no hit,HeLa
PA,NPM1,0.9090801,0.0014406,enriched candidate,HeLa
PA,RAB23,0.6729241,0.0016281,enriched candidate,HeLa
PA,PARVA,-0.8810579,0.0016454,no hit,HeLa
PA,SEC23A,-1.0161021,0.001844,no hit,HeLa
PA,SEC31A,-1.1761229,0.0018814,no hit,HeLa
PA,IGF1R,0.8272967,0.0019043,enriched candidate,HeLa
PA,STOM,1.1804349,0.0019705,enriched hit,HeLa
PA,GNA13,0.9670985,0.0021405,enriched candidate,HeLa
PA,SYAP1,-1.2244537,0.0022067,no hit,HeLa
PA,ATP2B1,1.0384657,0.0022216,enriched hit,HeLa
PA,YWHAQ,-1.1744336,0.0023217,no hit,HeLa
PA,ATP2B4,0.7835533,0.0025009,enriched candidate,HeLa
PA,IPO5,-1.2780783,0.0026504,no hit,HeLa
PA,ACO1,-0.9398386,0.0026515,no hit,HeLa
PA,TARS,-1.3090394,0.0026577,no hit,HeLa
PA,SORD,-1.7193752,0.00266,no hit,HeLa
PA,AARS,-1.0898991,0.00273649999999999,no hit,HeLa
PA,UBAP2L,-1.7198342,0.0028668,no hit,HeLa
PA,IL1RAP,0.7931747,0.0029004,enriched candidate,HeLa
PA,ARHGDIA,-1.0157838,0.0029327,no hit,HeLa
PA,FAM129B,1.5349159000000001,0.002994,enriched hit,HeLa
PA,RRAS2,0.8253033,0.0033333,enriched candidate,HeLa
PA,SRI,-1.1956447,0.0041415,no hit,HeLa
PA,ATP1B1,0.8745413,0.0041624,enriched candidate,HeLa
PA,PCNA,-1.1992113,0.0041739,no hit,HeLa
PA,PPIA,-0.9861701,0.0042413,no hit,HeLa
PA,CISD2,1.1989323,0.0043038,enriched candidate,HeLa
PA,PLIN4,-0.9154316,0.0044788,no hit,HeLa
PA,SERPINB1,-0.9539765,0.0045716,no hit,HeLa
PA,GNB1,0.6925947,0.0047082,enriched candidate,HeLa
PA,IST1,-0.7949002,0.0049541,no hit,HeLa
PA,PDIA3,1.0440225,0.0051192,enriched candidate,HeLa
PA,GNAS,0.8591344,0.0052333,enriched candidate,HeLa
PA,PGLS,-1.0212386,0.0054511,no hit,HeLa
PA,ANXA5,-1.2619308,0.0056159,no hit,HeLa
PA,ANXA7,-1.3200992,0.006169,no hit,HeLa
PA,TSN,-0.8431285,0.0061709,no hit,HeLa
PA,LYPD3,0.734313,0.00675,enriched candidate,HeLa
PA,RHOG,0.5404821,0.0072035,no hit,HeLa
PA,TNPO1,-0.881514,0.0073774,no hit,HeLa
PA,JUP,0.9868617,0.0075067,enriched candidate,HeLa
PA,RAC1,0.9171846,0.0077608,enriched candidate,HeLa
PA,RCN1,0.7152582,0.0078572,enriched candidate,HeLa
PA,PDIA6,0.6981538,0.0079715,enriched candidate,HeLa
PA,EEF1B2,-1.3968312,0.0080297,no hit,HeLa
PA,EIF4G1,-1.3069674,0.0080956,no hit,HeLa
PA,GNB4,0.774015,0.0081284,enriched candidate,HeLa
PA,HYOU1,1.0490048,0.0082523,enriched candidate,HeLa
PA,HSPB1,-0.8559313,0.0090629,no hit,HeLa
PA,NDUFA4,1.202984,0.0090763,enriched candidate,HeLa
PA,UBE2M,-1.2063453,0.009234,no hit,HeLa
PA,PRDX6,-1.1222757,0.0094776,no hit,HeLa
PA,SRPRB,1.3048445,0.0096783,enriched candidate,HeLa
PA,CD55,0.7103563,0.0097561,enriched candidate,HeLa
PA,GNA11,0.6994555,0.0104753,enriched candidate,HeLa
PA,PHGDH,-0.8681374,0.0107426,no hit,HeLa
PA,EIF4G2,-0.9535521,0.0107689,no hit,HeLa
PA,PGM1,-1.1487993,0.0109453,no hit,HeLa
PA,S100A4,-1.1564389,0.0114301,no hit,HeLa
PA,DPP3,-1.0717803,0.0115417,no hit,HeLa
PA,RABGGTB,-1.1020058,0.0115516,no hit,HeLa
PA,API5,-0.8858819,0.011838,no hit,HeLa
PA,PPIB,0.805446,0.0118508,enriched candidate,HeLa
PA,CANX,0.7625202,0.0118849,enriched candidate,HeLa
PA,YWHAZ,-0.879541,0.0120203,no hit,HeLa
PA,SFN,-1.0509365,0.0121962,no hit,HeLa
PA,NARS,-1.0583062,0.0125384,no hit,HeLa
PA,IPO7,-1.0332833,0.0125476,no hit,HeLa
PA,CRTAP,0.77434480000000006,0.0128594,enriched candidate,HeLa
PA,PRRC1,-0.8420595,0.0128906,no hit,HeLa
PA,GNAQ,0.6864202,0.0130591,enriched candidate,HeLa
PA,TAGLN2,-0.8251559,0.0133704,no hit,HeLa
PA,SRM,-0.9561359,0.0133937,no hit,HeLa
PA,LTA4H,-1.0575724,0.0136723,no hit,HeLa
PA,HARS,-0.8074889,0.0137303,no hit,HeLa
PA,CAND1,-0.9088526,0.0137839,no hit,HeLa
PA,FDPS,-1.0565812,0.0138986,no hit,HeLa
PA,GSTK1,0.9017188,0.0139953,enriched candidate,HeLa
PA,ETFB,1.0624366,0.0140953,enriched candidate,HeLa
PA,LY6K,0.8385584,0.0142151,enriched candidate,HeLa
PA,NOMO1|NOMO3|NOMO2,0.9539389,0.0146567,enriched candidate,HeLa
PA,BASP1,1.9995488,0.0148356,enriched candidate,HeLa
PA,PRKCSH,0.6993345,0.0151703,enriched candidate,HeLa
PA,GANAB,0.7327816,0.0155799,enriched candidate,HeLa
PA,COX4I1,0.9876078,0.0165074,enriched candidate,HeLa
PA,EIF4B,-1.6765027,0.0166077,no hit,HeLa
PA,PLS3,0.692714,0.016647,enriched candidate,HeLa
PA,HSPA9,1.2165599,0.0169997,enriched candidate,HeLa
PA,CD44,0.7504626,0.0172474,enriched candidate,HeLa
PA,SLC25A5,1.0757471,0.0178012,enriched candidate,HeLa
PA,LDHA,-1.0940288,0.0179713,no hit,HeLa
PA,CYP51A1,0.6923136,0.0183088,enriched candidate,HeLa
PA,BST2,-0.5837096,0.0183943,no hit,HeLa
PA,SERPINB5,-1.2072295,0.0187761,no hit,HeLa
PA,RDH11,0.9828302,0.0190882,enriched candidate,HeLa
PA,STEAP4,0.6904106,0.0192346,enriched candidate,HeLa
PA,RAB35,0.9938404,0.0195449,enriched candidate,HeLa
PA,NUDT5,-1.1725917,0.0196409,no hit,HeLa
PA,HPD,-0.8261069,0.0197387,no hit,HeLa
PA,FH,1.0869163,0.0201251,enriched candidate,HeLa
PA,STX4,1.1623278,0.0204003,enriched candidate,HeLa
PA,PPP2CA,-0.6038101,0.0204561,no hit,HeLa
PA,CMBL,-0.8246131,0.0205955,no hit,HeLa
PA,AXL,0.6605263,0.0211588,enriched candidate,HeLa
PA,RAB18,-0.6475098,0.0215452,no hit,HeLa
PA,NUTF2,-0.8619663,0.0218436,no hit,HeLa
PA,LDHB,-1.0726842,0.0218544,no hit,HeLa
PA,ABHD14B,-0.8417298,0.0225916,no hit,HeLa
PA,GSTO1,-1.4148474,0.0227676,no hit,HeLa
PA,SCCPDH,0.7664889,0.0228555,enriched candidate,HeLa
PA,GDI2,-0.6969195,0.0232498,no hit,HeLa
PA,PNP,-0.8627469,0.0232774,no hit,HeLa
PA,PRSS21,0.6963114,0.0233809,enriched candidate,HeLa
