Description,PSM_Sph1,PSM_Sph2,PSM_FA1,PSM_FA2,PSM_DAG1,PSM_DAG2
"CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 4 (Fragment) OS=Homo sapiens GN=ST3GAL4 PE=4 SV=1 - [E9PNJ9_HUMAN]",1,2,0,0,0,0
Phosphatidylinositol transfer protein alpha isoform (Fragment) OS=Homo sapiens GN=PITPNA PE=4 SV=1 - [I3L4C0_HUMAN],3,1,0,0,0,0
CD276 antigen (Fragment) OS=Homo sapiens GN=CD276 PE=4 SV=1 - [H0YN29_HUMAN],1,1,0,0,0,0
Cathepsin B OS=Homo sapiens GN=CTSB PE=2 SV=1 - [B4DMY4_HUMAN],4,2,0,0,0,0
CDGSH iron-sulfur domain-containing protein 1 OS=Homo sapiens GN=CISD1 PE=1 SV=1 - [CISD1_HUMAN],1,3,0,0,0,0
Reticulocalbin-2 OS=Homo sapiens GN=RCN2 PE=1 SV=1 - [RCN2_HUMAN],3,1,0,0,0,0
Mitochondrial import inner membrane translocase subunit Tim22 OS=Homo sapiens GN=TIMM22 PE=1 SV=2 - [TIM22_HUMAN],1,2,0,0,0,0
Isoform 4 of Mitochondrial fission factor OS=Homo sapiens GN=MFF - [MFF_HUMAN],1,2,0,0,0,0
Transmembrane protein 59 OS=Homo sapiens GN=TMEM59 PE=1 SV=1 - [TMM59_HUMAN],4,5,0,0,0,0
Transmembrane protein 160 OS=Homo sapiens GN=TMEM160 PE=2 SV=1 - [TM160_HUMAN],1,2,0,0,0,0
Protein FAM8A1 OS=Homo sapiens GN=FAM8A1 PE=1 SV=1 - [FA8A1_HUMAN],1,2,0,0,0,0
Protein PRRC1 OS=Homo sapiens GN=PRRC1 PE=4 SV=1 - [C9JTJ7_HUMAN],1,1,0,0,0,0
Carbohydrate sulfotransferase 3 OS=Homo sapiens GN=CHST3 PE=1 SV=3 - [CHST3_HUMAN],4,1,0,0,0,0
Putative disease resistance protein OS=Homo sapiens GN=SLC30A5 PE=2 SV=1 - [Q9BY48_HUMAN],2,1,0,0,0,0
Mitochondrial cardiolipin hydrolase OS=Homo sapiens GN=PLD6 PE=1 SV=1 - [PLD6_HUMAN],2,1,0,0,0,0
Transmembrane emp24 domain-containing protein 3 OS=Homo sapiens GN=TMED3 PE=3 SV=1 - [G3V1J9_HUMAN],1,1,0,0,0,0
Protein C5orf15 OS=Homo sapiens GN=C5orf15 PE=2 SV=1 - [B4DPV8_HUMAN],1,2,0,0,0,0
Glycerophosphodiester phosphodiesterase 1 OS=Homo sapiens GN=GDE1 PE=1 SV=1 - [GDE1_HUMAN],2,1,0,0,0,0
Connective tissue growth factor OS=Homo sapiens GN=CTGF PE=1 SV=2 - [CTGF_HUMAN],1,2,0,0,0,0
Protein FAM3A (Fragment) OS=Homo sapiens GN=FAM3A PE=4 SV=1 - [A6QRH7_HUMAN],1,1,0,0,0,0
Isoform 3 of UBX domain-containing protein 8 OS=Homo sapiens GN=UBXN8 - [UBXN8_HUMAN],1,1,0,0,0,0
Isoform 2 of Polypeptide N-acetylgalactosaminyltransferase 3 OS=Homo sapiens GN=GALNT3 - [GALT3_HUMAN],1,2,0,0,0,0
Peroxisomal membrane protein PEX16 OS=Homo sapiens GN=PEX16 PE=1 SV=2 - [PEX16_HUMAN],1,1,0,0,0,0
DnaJ homolog subfamily C member 3 OS=Homo sapiens GN=DNAJC3 PE=1 SV=1 - [DNJC3_HUMAN],2,2,0,0,0,0
Lysosome-associated membrane glycoprotein 2 OS=Homo sapiens GN=LAMP2 PE=2 SV=1 - [B7Z2R9_HUMAN],1,1,0,0,0,0
ADP-ribosylation factor-like protein 6-interacting protein 6 OS=Homo sapiens GN=ARL6IP6 PE=1 SV=1 - [AR6P6_HUMAN],2,1,0,0,0,0
Inter-alpha-trypsin inhibitor heavy chain H3 OS=Homo sapiens GN=ITIH3 PE=4 SV=1 - [A8MXF4_HUMAN],3,1,0,0,0,0
StAR-related lipid transfer protein 3 (Fragment) OS=Homo sapiens GN=STARD3 PE=4 SV=1 - [C9J555_HUMAN],1,1,0,0,0,0
2-hydroxyacylsphingosine 1-beta-galactosyltransferase OS=Homo sapiens GN=UGT8 PE=2 SV=2 - [CGT_HUMAN],1,3,0,0,0,0
Isoform 5 of Amyloid-like protein 2 OS=Homo sapiens GN=APLP2 - [APLP2_HUMAN],3,2,0,0,0,0
Galectin-3-binding protein OS=Homo sapiens GN=LGALS3BP PE=2 SV=1 - [B4DVE1_HUMAN],1,1,0,0,0,0
Isoform 3 of Solute carrier family 35 member F2 OS=Homo sapiens GN=SLC35F2 - [S35F2_HUMAN],1,1,0,0,0,0
Sodium/hydrogen exchanger 6 OS=Homo sapiens GN=SLC9A6 PE=1 SV=2 - [SL9A6_HUMAN],1,1,0,0,0,0
Isoform 2 of Transmembrane protein with metallophosphoesterase domain OS=Homo sapiens GN=TMPPE - [TMPPE_HUMAN],1,1,0,0,0,0
Isoform K of Membrane cofactor protein OS=Homo sapiens GN=CD46 - [MCP_HUMAN],1,1,0,0,0,0
