"accession","gene_symbol"
"XP_005271435.1","YAP1"""
"NP_001685.1","ATP6V0C"""
"NP_115873.1","GHDC"""
"XP_005265804.1","EXOC1"""
"XP_006714818.1","SYNPO"""
"AAP42155.1","HNMT"""
"AAO38757.1","FHOS [Homo sapiens]"
"AAD51496.1","NPM3"""
"AAK14776.1","CLAN1"""
"XP_006720310.1","VRK1"""
"BAG37094.1","unnamed protein product [Homo sapiens]"
"AAI07781.1","LLPH"""
"NP_055277.1","LSM1"""
"BAF83957.1","unnamed protein product [Homo sapiens]"
"NP_001155973.1","TNRC6B"""
"EAX06335.1","LPHN2"""
"AAB61703.1","IFP35"""
"NP_001002010.1","NT5C3A"""
"NP_002422.1","MNAT1"""
"XP_005256351.1","FANCA"""
"EAL23958.1","TTYH3"""
"AAH14164.2","TTC15"""
"AAI36606.1","NEDD4"""
"CAC21644.1","DKFZp547K202"""
"CAA48637.1","GSTM4"""
"Q5MIZ7.2","PPP4R3B"""
"EAL24141.1","LOC392748"""
"AAC05826.1","lung cancer antigen NY-LU-12 variant A [Homo sapiens]"
"AAD04632.1","TJ6 [Homo sapiens]"
"CAA73697.1","fb19"""
"NP_006221.2","POLD2"""
"EAW74760.1","FADD"""
"NP_003012.1","SGTA"""
"NP_001010867.1","IBA57"""
"NP_001164100.1","CHD8"""
"XP_011513026.1","MRPS10"""
"Q14118.2","DAG1"""
"XP_016859298.1","ZNF638"""
"NP_004724.1","SLC33A1"""
"NP_008841.2","RBBP6"""
"BAG38035.1","unnamed protein product [Homo sapiens]"
"BAD93048.1","epsilon isoform of regulatory subunit B56, protein phosphatase 2A variant, partial [Homo sapiens]"
"NP_001077362.1","STRN3"""
"AAH01108.1","PIH1D1"""
"NP_116249.2","LTV1"""
"BAD96599.1","COP9 constitutive photomorphogenic homolog subunit 7B variant, partial [Homo sapiens]"
"NP_001308943.1","PMS2"""
"XP_005256486.1","CHD3"""
"BAG61736.1","unnamed protein product [Homo sapiens]"
"XP_011531009.1","PSME4"""
"EAW83762.1","CPA1"""
"O14936.3","CASK"""
"NP_001268862.1","NCAPG2"""
"BAB14238.1","unnamed protein product [Homo sapiens]"
"EAW94499.1","CUEDC1"""
"NP_055946.1","WDR43"""
"P04114.2","APOB"""
"XP_006713470.1","MAGI1"""
"NP_001303903.1","LZIC"""
"AAP35590.1","dihydropyrimidinase-like 2 [Homo sapiens]"
"AAX82177.1","ACT"""
"EAW76695.1","TRRAP"""
"EAW90578.1","SERPINF2"""
"AAG33698.1","LIECG2"""
"Q92673.2","SORL1"""
"NP_963906.1","IKBIP"""
"CAB45715.1","DKFZp564A0723"""
"NP_001070667.1","SREK1"""
"AAH07979.1","SHMT1"""
"NP_001248370.1","EXTL2"""
"Q9NUL3.1","STAU2"""
"EAW82339.1","ACOX3"""
"ACX50615.1","prostate cancer upregulated protein 1 [Homo sapiens]"
"AAH08361.1","FBXO7"""
"AAH37270.1","AKAP8"""
"NP_001129224.1","ECD"""
"AAA58446.1","E2-EPF"""
"ALQ34055.1","TBL2"""
"NP_001308288.1","NRBP1"""
"EAW85610.1","HAGH"""
"BAG63626.1","unnamed protein product [Homo sapiens]"
"NP_073613.2","OSBPL11"""
"AAK51202.1","nuclear body protein SP100C [Homo sapiens]"
"NP_001116698.1","MTO1"""
"AAD34074.1","CGI-79 protein [Homo sapiens]"
"Q9NV06.2","DCAF13"""
"AAO52739.1","ferritin-like protein [Homo sapiens]"
"NP_006528.2","USP3"""
"AAH09395.1","IRF3"""
"AAG59833.1","putative DEAD-box helicase MDDX28 [Homo sapiens]"
"NP_001311046.1","UAP1"""
"NP_057210.2","IFT25"""
"XP_011527806.1","POFUT2"""
"EAW75340.1","OGFR"""
"BAC11339.1","unnamed protein product [Homo sapiens]"
"AAB18673.1","platelet cGI-PDE [Homo sapiens]"
"XP_005270993.1","TRIM33"""
"XP_011507442.1","NIBAN1"""
"NP_001121699.1","GNE"""
"EAW83286.1","PSMD8BP1"""
"BAF84665.1","unnamed protein product [Homo sapiens]"
"AAA19869.1","I-plastin [Homo sapiens]"
"CAH56351.1","DKFZp666B131"""
"EAW94790.1","SCRN2"""
"XP_016863556.1","ANK2"""
"EAW67101.1","CUL5"""
"AAH16556.1","TMED5"""
"AAB34682.2","LAMB2"""
"NP_036336.2","GTF3C4"""
"AAF76523.1","unknown [Homo sapiens]"
"AAD08639.1","COX15"""
"BAD92348.1","Notchless gene homolog variant, partial [Homo sapiens]"
"AAQ14304.1","crn-related protein kim1 [Homo sapiens]"
"NP_055958.2","METAP1"""
"AMO44423.1","BCR-ABL1 fusion protein, partial [Homo sapiens]"
"AAA56634.1","pLK [Homo sapiens]"
"EAW74086.1","TTC9C"""
"BAG59292.1","unnamed protein product [Homo sapiens]"
"BAG61503.1","unnamed protein product [Homo sapiens]"
"XP_016876564.1","AKT1"""
"XP_011526160.1","ARHGAP45"""
"NP_060294.1","MARCHF5"""
"XP_011523327.1","MAP2K6"""
"BAF85005.1","unnamed protein product [Homo sapiens]"
"BAG57885.1","unnamed protein product [Homo sapiens]"
"NP_660286.1","OMA1"""
"BAA82557.1","PAD-H19"""
"XP_011530170.1","ARFIP1"""
"BAG51187.1","unnamed protein product [Homo sapiens]"
"NP_057662.3","RSF1"""
"AAH09239.1","LRSAM1"""
"EAW96535.1","ITPR2"""
"AAH32120.1","C20orf11"""
"BAF84522.1","unnamed protein product [Homo sapiens]"
"AAP78945.1","interferon regulatory factor-2 binding protein 2B [Homo sapiens]"
"AAH28399.1","ACSF3"""
"P80303.2","NUCB2"""
"EAW61348.1","MTG1"""
"EAW91957.1","EIF3S3"""
"NP_079498.2","WDR82"""
"XP_005269076.1","PRKAG1"""
"AAH18466.1","EXOC7"""
"XP_005268061.1","INF2"""
"BAC87051.1","unnamed protein product [Homo sapiens]"
"XP_011524051.1","RNMT"""
"XP_016862134.1","LZTFL1"""
"EAX09512.1","CBS"""
"AAO33376.1","HCCS-4"""
"Q8NBT2.2","SPC24"""
"XP_016856141.1","EYA3"""
"AAH35014.1","NUDCD3"""
"BAG52906.1","unnamed protein product [Homo sapiens]"
"NP_001405.1","EIF2B1"""
"Q9NVE7.1","PANK4"""
"NP_002564.1","PAFAH1B3"""
"XP_005271395.1","SRSF11"""
"XP_016876969.1","NDRG2"""
"AAB62283.1","EXT1"""
"Q9H0U3.1","MAGT1"""
"BAD96804.1","LUC7-like isoform b variant, partial [Homo sapiens]"
"NP_055029.1","IMPA2"""
"EAW72382.1","ISOC2"""
"AAH36460.1","TMX1"""
"AAC09385.1","EEF1A1L14"""
"EAW63361.1","PROSC"""
"EAW89820.1","FN3K"""
"XP_016871476.1","LARP4B"""
"BAG37041.1","unnamed protein product [Homo sapiens]"
"BAD96587.1","suppressor of actin mutations 2-like isoform a variant, partial [Homo sapiens]"
"AAH17570.1","C9orf78"""
"XP_005251560.1","SMU1"""
"AAV33305.1","aging-associated gene 9 protein [Homo sapiens]"
"EAW61012.1","TNS3"""
"AAC05812.1","A-735G6.2"""
"AAT68961.1","PARK7"""
"BAG60148.1","unnamed protein product [Homo sapiens]"
"NP_694546.1","PSMC4"""
"AAF28961.1","HSPC283, partial [Homo sapiens]"
"AAM82548.1","MLL/SEPTIN6 fusion protein, partial [Homo sapiens]"
"NP_001092872.1","CCNK"""
"BAC80174.1","nap1"""
"NP_065171.2","DOLPP1"""
"AAA85332.1","C3"""
"EAW62952.1","ACAA2"""
"AAP97210.1","lysophospholipase LPL-I [Homo sapiens]"
"NP_219485.1","HAUS8"""
"AAQ89339.1","TOM1 [Homo sapiens]"
"EAW59051.1","hCG28765, isoform CRA_b [Homo sapiens]"
"EAW98657.1","hCG1820685 [Homo sapiens]"
"AAH25963.1","ACADS"""
"EAW63626.1","LOXL2"""
"ACR40087.1","DISC1"""
"XP_016863314.1","AFG2A"""
"Q8NBQ5.3","HSD17B11"""
"BAD96820.1","high-mobility group 20A variant, partial [Homo sapiens]"
"BAA13603.1","proteasome inhibitor hPI31 subunit [Homo sapiens]"
"NP_001317175.1","METAP2"""
"NP_056311.2","VIRMA"""
"AMQ09605.1","GO2-q chimeric G-protein [Homo sapiens]"
"NP_001129607.1","RPL28"""
"BAD92716.1","VARS2L protein variant, partial [Homo sapiens]"
"Q5T6F2.1","UBAP2"""
"AAH66915.1","MARCKSL1"""
"P19835.3","CEL"""
"AAC67244.1","MP1"""
"EAW99776.1","MPHOSPH10"""
"BAG70128.1","PTP4A1"""
"BAB85047.1","unnamed protein product [Homo sapiens]"
"AAQ15259.1","PP2030 [Homo sapiens]"
"BAA91156.1","unnamed protein product [Homo sapiens]"
"AAH42195.2","MCAT"""
"AAD51932.1","G3BP2"""
"NP_066933.1","COL14A1"""
"BAC11520.1","unnamed protein product [Homo sapiens]"
"AAF69497.1","cyclin-dependent kinase inhibitor p27kip1 [Homo sapiens]"
"NP_055075.1","PFDN6"""
"XP_016883652.1","OSBPL2"""
"XP_016864840.1","SH3PXD2B"""
"Q9NXW2.4","DNAJB12"""
"CAD89929.1","DKFZp451F1219"""
"P19013.4","KRT4"""
"EAW87963.1","NUP214"""
"NP_006392.1","ANP32B"""
"BAA86593.2","KIAA1279"""
"AAD40193.1","HSPC029 [Homo sapiens]"
"BAD92552.1","serine/threonine kinase 4 variant, partial [Homo sapiens]"
"NP_116145.1","HPDL"""
"EAX07733.1","PPP1R8"""
"XP_011512434.1","LPCAT1"""
"AAB66672.1","oxytocinase splice variant 1 [Homo sapiens]"
"AAI01182.1","MMAA"""
"AGO02164.1","FMR1"""
"NP_001229766.1","AP2A2"""
"EAW82053.1","RPL8"""
"BAH13078.1","unnamed protein product [Homo sapiens]"
"AAF05753.1","APC5"""
"AAH46160.1","PON2"""
"ABQ59032.1","MYBPC3"""
"XP_006713313.1","CHDH"""
"AAG14948.1","MDS025"""
"O75503.2","CLN5"""
"XP_005253383.1","DENND5B"""
"NP_001186054.1","COPS3"""
