Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score MSPepSearch: MSPepSearch,# Peptides (by Search Engine): MSPepSearch,# Protein Pathway Groups,# Razor Peptides,Abundance Ratio: (Penta) / (Control),Abundance Ratio (log2): (Penta) / (Control),Abundance Ratio Adj. P-Value: (Penta) / (Control),Abundance Ratio Variability [%]: (Penta) / (Control),Abundances (Grouped): Control,Abundances (Grouped): Penta,Abundances (Grouped) CV [%]: Control,Abundances (Grouped) CV [%]: Penta,"Found in Sample: [S1] F1: Sample, Control, 1","Found in Sample: [S2] F2: Sample, Control, 2","Found in Sample: [S3] F3: Sample, Control, 3","Found in Sample: [S4] F4: Sample, Penta, 1","Found in Sample: [S5] F5: Sample, Penta, 2","Found in Sample: [S6] F6: Sample, Penta, 3",# Protein Groups,Modifications
TRUE,High,Master Protein,XP_005271435.1,PREDICTED: transcriptional coactivator YAP1 isoform X1 [OS=Homo sapiens],0.002,2.708,4,1,2,1,510,55.1,5.31,421,1,0,0,43.669,5.45,2.13174E-15,137.25,23502.38207,1707237.095,55.52,82.05,Not Found,Not Found,Not Found,High,High,Not Found,1,
TRUE,High,Master Protein,NP_001685.1,V-type proton ATPase 16 kDa proteolipid subunit [OS=Homo sapiens],0,7.987,12,1,1,1,155,15.7,8.44,510,1,0,0,37.825,5.24,2.13174E-15,118.62,26488.33508,1001912.054,78.18,89.2,Not Found,Not Found,Not Found,High,Peak Found,Not Found,1,
TRUE,High,Master Protein,NP_115873.1,GH3 domain-containing protein isoform 1 precursor [OS=Homo sapiens],0.01,1.771,4,1,2,1,530,57.5,7.88,253,1,0,0,34.479,5.11,2.13174E-15,53.94,81616.62695,2084913.187,73.88,27.13,Not Found,Not Found,Not Found,High,Peak Found,High,1,
TRUE,High,Master Protein,XP_005265804.1,PREDICTED: exocyst complex component 1 isoform X1 [OS=Homo sapiens],0,6.725,2,1,2,1,912,104.1,6.67,665,1,0,0,32.427,5.02,4.55223E-14,136.74,28117.63444,911783.1699,152.19,45.09,Peak Found,Not Found,Not Found,Peak Found,High,High,1,
TRUE,High,Master Protein,XP_006714818.1,PREDICTED: synaptopodin isoform X1 [OS=Homo sapiens],0,4.264,1,1,2,1,1147,122.1,9.36,539,1,0,0,23.662,4.56,2.13174E-15,15.37,92180.26272,2181189.141,6.26,85.51,Not Found,Not Found,High,Not Found,Peak Found,High,1,
TRUE,High,Master Protein,AAP42155.1,"Histamine N-methyltransferase, partial [OS=Homo sapiens]",0,8.905,11,1,1,1,221,25.4,7.08,579,1,0,0,23.637,4.56,2.14575E-12,71.37,35108.73292,940652.4983,29.01,82.66,Not Found,Not Found,Not Found,Not Found,Peak Found,High,1,
TRUE,High,Master Protein,AAO38757.1,FHOS [OS=Homo sapiens],0.002,2.613,1,1,2,1,1164,126.4,6.39,381,1,0,0,20.514,4.36,1.30555E-08,83.45,27836.38135,571024.7691,142.73,22.82,Not Found,Peak Found,Not Found,Peak Found,High,High,1,
TRUE,High,Master Protein,AAD51496.1,nucleophosmin/nucleoplasmin3 [OS=Homo sapiens],0,6.225,12,1,2,1,178,19.3,4.63,969,1,0,0,20.45,4.35,4.44525E-12,143.38,66667.69825,1363336.901,163.62,8.65,Not Found,Not Found,High,Peak Found,Peak Found,High,1,
TRUE,High,Master Protein,AAK14776.1,CLANA [OS=Homo sapiens],0.006,1.991,1,1,1,1,1024,116.2,6.83,275,1,0,0,15.575,3.96,2.13174E-15,120.25,147923.4934,2303903.601,116.18,79.64,Peak Found,Not Found,Peak Found,Peak Found,Peak Found,High,1,
TRUE,High,Master Protein,XP_006720310.1,PREDICTED: serine/threonine-protein kinase VRK1 isoform X1 [OS=Homo sapiens],0.001,3.01,5,1,2,1,420,48,8.65,228,1,0,0,14.879,3.9,5.31819E-10,79.14,84251.41389,1312453.079,148.69,27.71,Not Found,Not Found,Peak Found,Peak Found,High,High,1,
