Gene,Protein.ID,Protein.Description,logFC,AveExpr,comparison.label,sample,pvalue,hit_annotation
STRAP,Q9Y3F4,Serine-threonine kinase receptor-associated protein,-1.345694527,22.67066521,PA_UV vs PA_NoUV,membrane,3.01E-06,hit
PCBP1,Q15365,Poly(rC)-binding protein 1,-1.382690558,22.78560782,PA_UV vs PA_NoUV,membrane,4.79E-06,hit
TPT1,P13693,Translationally-controlled tumor protein,-1.659130136,22.57664202,PA_UV vs PA_NoUV,membrane,5.91E-06,hit
MAP4,P27816,Microtubule-associated protein 4,-1.061188264,21.34103645,PA_UV vs PA_NoUV,membrane,1.36E-05,hit
SEC24C,P53992,Protein transport protein Sec24C,-1.033395703,22.03681321,PA_UV vs PA_NoUV,membrane,1.52E-05,hit
MET,P08581,Hepatocyte growth factor receptor,0.843207897,20.71625227,PA_UV vs PA_NoUV,membrane,1.81E-05,enriched hit
LANCL1,O43813,Glutathione S-transferase LANCL1,0.836679579,20.86614856,PA_UV vs PA_NoUV,membrane,1.94E-05,enriched hit
PDCD6,O75340,Programmed cell death protein 6,-1.685511231,24.10198726,PA_UV vs PA_NoUV,membrane,2.07E-05,hit
UBE2D3,P61077,Ubiquitin-conjugating enzyme E2 D3,-1.042554633,19.92334166,PA_UV vs PA_NoUV,membrane,4.04E-05,hit
MAPRE1,Q15691,Microtubule-associated protein RP/EB family member 1,-1.183033915,21.33678766,PA_UV vs PA_NoUV,membrane,4.57E-05,hit
EEF1G,P26641,Elongation factor 1-gamma,-1.331204073,23.245,PA_UV vs PA_NoUV,membrane,4.90E-05,hit
EIF4E,P06730,Eukaryotic translation initiation factor 4E,-0.785964702,20.57954719,PA_UV vs PA_NoUV,membrane,6.31E-05,hit
EGFR,P00533,Epidermal growth factor receptor,1.006911727,22.88505221,PA_UV vs PA_NoUV,membrane,6.86E-05,enriched hit
ATXN10,Q9UBB4,Ataxin-10,-0.89702211,21.15965809,PA_UV vs PA_NoUV,membrane,7.89E-05,hit
UBE2V1,Q13404,Ubiquitin-conjugating enzyme E2 variant 1,-1.00681564,20.39497783,PA_UV vs PA_NoUV,membrane,8.14E-05,hit
BZW1,Q7L1Q6,eIF5-mimic protein 2,-1.137876845,23.75805658,PA_UV vs PA_NoUV,membrane,8.73E-05,hit
L1CAM,P32004,Neural cell adhesion molecule L1,1.249798365,23.80540969,PA_UV vs PA_NoUV,membrane,0.000103763,enriched hit
SRPRA,P08240,Signal recognition particle receptor subunit alpha,1.141453836,20.35226406,PA_UV vs PA_NoUV,membrane,0.000106094,enriched hit
SPCS2,Q15005,Signal peptidase complex subunit 2,0.935182811,22.28444329,PA_UV vs PA_NoUV,membrane,0.000113337,enriched hit
SLC30A1,Q9Y6M5,Proton-coupled zinc antiporter SLC30A1,0.862212961,20.57118977,PA_UV vs PA_NoUV,membrane,0.000148602,enriched hit
SEC23A,Q15436,Protein transport protein Sec23A,-0.720505929,21.1590017,PA_UV vs PA_NoUV,membrane,0.000170508,hit
MAGOH,P61326,Protein mago nashi homolog,-0.782690224,19.45365236,PA_UV vs PA_NoUV,membrane,0.00020034,hit
EPHB4,P54760,Ephrin type-B receptor 4,0.646666559,20.15735538,PA_UV vs PA_NoUV,membrane,0.000229419,enriched hit
VPS29,Q9UBQ0,Vacuolar protein sorting-associated protein 29,-0.853062744,21.15294301,PA_UV vs PA_NoUV,membrane,0.00025865,hit
SEC13,P55735,Protein SEC13 homolog,-1.097363086,22.27813723,PA_UV vs PA_NoUV,membrane,0.000281095,hit
UQCRH,P07919,"Cytochrome b-c1 complex subunit 6, mitochondrial",0.978579586,18.02298199,PA_UV vs PA_NoUV,membrane,0.000349967,enriched hit
STOM,P27105,Stomatin,0.896043397,22.62848501,PA_UV vs PA_NoUV,membrane,0.0003624,enriched hit
PDCD6IP,Q8WUM4,Programmed cell death 6-interacting protein,-0.694344105,23.36282173,PA_UV vs PA_NoUV,membrane,0.000438664,hit
