gene_name,protein_id,Protein.Description,LipidProbe,sample,logFC,AveExpr,pvalue,hit_annotation
BSG,P35613,Basigin,PA,membrane,0.877915397,23.73736592,0.043968621,candidate
SLC25A13,Q9UJS0,"Electrogenic aspartate/glutamate antiporter SLC25A13, mitochondrial",PE,membrane,0.781175152,18.86690501,0.010515558,candidate
COX5A,P20674,"Cytochrome c oxidase subunit 5A, mitochondrial",PE,membrane,0.962714375,18.99378633,0.034833342,candidate
RAB35,Q15286,Ras-related protein Rab-35,PA,membrane,0.672002208,22.22297918,0.027618503,candidate
CLCC1,Q96S66,Chloride channel CLIC-like protein 1,PE,membrane,0.588452266,20.01649155,0.074471535,candidate
FAM162A,Q96A26,Protein FAM162A,PA,membrane,0.626520659,19.27324673,0.04564965,candidate
DPM1,O60762,Dolichol-phosphate mannosyltransferase subunit 1,PA,membrane,0.689620376,18.83884158,0.038772941,candidate
BSG,P35613,Basigin,PE,membrane,0.774334412,23.73736592,0.072205308,candidate
TPP2,P29144,Tripeptidyl-peptidase 2,PE,membrane,0.791180572,21.39541228,0.070391036,candidate
PMPCB,O75439,Mitochondrial-processing peptidase subunit beta,PE,membrane,0.62214789,20.4228808,0.069079419,candidate
AK2,P54819,"Adenylate kinase 2, mitochondrial",PE,membrane,0.749968399,22.37643978,0.068857178,candidate
SYNJ2BP,P57105,Synaptojanin-2-binding protein,PE,membrane,0.645018218,18.54107692,0.068565596,candidate
CTTN,Q14247,Src substrate cortactin,PA,membrane,0.698945766,19.81546467,0.0385771,candidate
SOD2,P04179,"Superoxide dismutase [Mn], mitochondrial",PE,membrane,1.050711267,19.06671892,0.06628727,candidate
TOMM22,Q9NS69,Mitochondrial import receptor subunit TOM22 homolog,PE,membrane,0.858014477,18.15662967,0.06607366,candidate
ACTN1,P12814,Alpha-actinin-1,PE,membrane,0.846499446,21.10618393,0.064082828,candidate
SLIRP,Q9GZT3,"SRA stem-loop-interacting RNA-binding protein, mitochondrial",PA,membrane,0.864377862,19.92272683,0.035686629,candidate
ATP5F1C,P36542,"ATP synthase subunit gamma, mitochondrial",PA,membrane,0.874008714,20.41805594,0.033701134,candidate
CD44,P16070,CD44 antigen,PA,membrane,0.65384097,24.26944201,0.033237886,candidate
ACAT1,P24752,"Acetyl-CoA acetyltransferase, mitochondrial",PA,membrane,0.740361932,21.0377508,0.030547563,candidate
IGSF8,Q969P0,Immunoglobulin superfamily member 8,PE,membrane,0.623869024,21.63283823,0.062859098,candidate
DCXR,Q7Z4W1,L-xylulose reductase,PE,membrane,0.641508959,18.76619983,0.062841671,candidate
IQGAP1,P46940,Ras GTPase-activating-like protein IQGAP1,PA,membrane,1.06518002,23.6439439,0.02971747,candidate
SERPINH1,P50454,Serpin H1,PE,membrane,0.957326644,23.15971977,0.06152976,candidate
IKBIP,Q70UQ0,Inhibitor of nuclear factor kappa-B kinase-interacting protein,PE,membrane,0.932131771,17.28795329,0.059348878,candidate
