Trial,Accession,gene_name,Description,Coverage,# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],Score Sequest HT: Sequest HT,# Peptides (by Search Engine): Sequest HT,Fold_change,Control_abundance,Sample_abundance,,,
1,NP_001317629.1,TOP2B,DNA topoisomerase 2-beta isoform 1 [Homo sapiens],1,2,2,1,1626,183.2,4.47,2,0,0,0,,,
2,NP_005900.2,MAP1B,microtubule-associated protein 1B isoform 1 [Homo sapiens],1,2,4,2,2468,270.5,10.4,2,0,0,0,,,
1,NP_055680.3,NCAPD2,condensin complex subunit 1 [Homo sapiens],2,2,3,2,1401,157.1,9.85,2,0,0,0,,,
1,NP_005900.2,MAP1B,microtubule-associated protein 1B isoform 1 [Homo sapiens],2,3,3,3,2468,270.5,9.42,3,0,0,0,,,
1,XP_016860227.1,RGPD3,PREDICTED: ranBP2-like and GRIP domain-containing protein 3 isoform X1 [Homo sapiens],2,2,3,2,1766,198.3,7.18,2,0,0,0,,,
1,XP_016859092.1,SNRNP200,PREDICTED: U5 small nuclear ribonucleoprotein 200 kDa helicase isoform X1 [Homo sapiens],2,2,2,2,2136,244.4,6.05,2,0,0,0,,,
1,NP_037423.2,CPSF1,cleavage and polyadenylation specificity factor subunit 1 [Homo sapiens],2,2,2,2,1443,160.8,5.14,2,0,0,0,,,
1,NP_004230.2,TRIP11,thyroid receptor-interacting protein 11 isoform 1 [Homo sapiens],2,2,2,2,1979,227.4,4.76,2,0,0,0,,,
1,NP_001278557.1,DICER1,endoribonuclease Dicer isoform 1 [Homo sapiens],2,2,2,2,1922,218.5,4.7,2,0,0,0,,,
1,NP_006624.2,IQGAP2,ras GTPase-activating-like protein IQGAP2 isoform 1 [Homo sapiens],2,2,3,1,1575,180.5,4.41,2,0,0,0,,,
2,XP_016861618.1,DNAH1,"PREDICTED: dynein heavy chain 1, axonemal isoform X1 [Homo sapiens]",2,2,3,2,4288,490.1,5.05,2,0,0,0,,,
1,NP_001934.2,DSG2,desmoglein-2 preproprotein [Homo sapiens],3,2,3,2,1118,122.2,8.96,2,0,0,0,,,
1,XP_006719021.1,CDH4,PREDICTED: chromodomain-helicase-DNA-binding protein 4 isoform X1 [Homo sapiens],3,3,4,3,1940,220.7,7.71,3,0,0,0,,,
1,XP_005247411.1,ATP2C1,PREDICTED: calcium-transporting ATPase type 2C member 1 isoform X1 [Homo sapiens],3,2,2,2,983,108.1,5.83,2,0,0,0,,,
1,XP_016863417.1,PDS5A,PREDICTED: sister chromatid cohesion protein PDS5 homolog A isoform X1 [Homo sapiens],3,2,2,2,1337,150.7,4.98,2,0,0,0,,,
1,NP_055768.3,DIS3,exosome complex exonuclease RRP44 isoform a [Homo sapiens],3,2,2,2,958,108.9,4.89,2,0,0,0,,,
1,NP_001675.3,ATP2B4,plasma membrane calcium-transporting ATPase 4 isoform 4b [Homo sapiens],3,2,2,1,1205,133.8,4.63,2,0,0,0,,,
2,XP_005247411.1,ATP2C1,PREDICTED: calcium-transporting ATPase type 2C member 1 isoform X1 [Homo sapiens],3,2,2,2,983,108.1,5.21,2,0,0,0,,,
2,NP_065916.2,DHX36,ATP-dependent RNA helicase DHX36 isoform 1 [Homo sapiens],3,2,3,2,1008,114.7,4.83,2,0,0,0,,,
