gene_name,Accession,Description,logFC,pvalue,AveExpr,Control_abundance,Penta_abundance,hit_annotation,LipidProbe
YAP1,XP_005271435.1,PREDICTED: transcriptional coactivator YAP1 isoform X1 [OS=Homo sapiens],5.45,2.13174e-15,19.722957145891296,23502.38207,1707237.095,enriched hit,bf-GPI
ATP6V0C,NP_001685.1,V-type proton ATPase 16 kDa proteolipid subunit [OS=Homo sapiens],5.24,2.13174e-15,18.971970630430707,26488.33508,1001912.054,enriched hit,bf-GPI
GHDC,NP_115873.1,GH3 domain-containing protein isoform 1 precursor [OS=Homo sapiens],5.11,2.13174e-15,20.046954659218915,81616.62695,2084913.187,enriched hit,bf-GPI
EXOC1,XP_005265804.1,PREDICTED: exocyst complex component 1 isoform X1 [OS=Homo sapiens],5.02,4.55223e-14,18.842148979484268,28117.63444,911783.1699,enriched hit,bf-GPI
SYNPO,XP_006714818.1,PREDICTED: synaptopodin isoform X1 [OS=Homo sapiens],4.56,2.13174e-15,20.11640069853654,92180.26272,2181189.141,enriched hit,bf-GPI
HNMT,AAP42155.1,"Histamine N-methyltransferase, partial [OS=Homo sapiens]",4.56,2.14575e-12,18.8961686379244,35108.73292,940652.4983,enriched hit,bf-GPI
FHOS [Homo sapiens],AAO38757.1,FHOS [OS=Homo sapiens],4.36,1.30555e-8,18.19186201872327,27836.38135,571024.7691,enriched hit,bf-GPI
NPM3,AAD51496.1,nucleophosmin/nucleoplasmin3 [OS=Homo sapiens],4.35,4.44525e-12,19.447588356400914,66667.69825,1363336.901,enriched hit,bf-GPI
CLAN1,AAK14776.1,CLANA [OS=Homo sapiens],3.96,2.13174e-15,20.225425811465755,147923.4934,2303903.601,enriched hit,bf-GPI
VRK1,XP_006720310.1,PREDICTED: serine/threonine-protein kinase VRK1 isoform X1 [OS=Homo sapiens],3.9,5.31819e-10,19.413595384818226,84251.41389,1312453.079,enriched hit,bf-GPI
BAG37094.1,BAG37094.1,unnamed protein product [OS=Homo sapiens],3.82,4.92986e-5,15.577401555055685,6450.978249,91339.17309,enriched hit,bf-GPI
LLPH,AAI07781.1,"LLP homolog, long-term synaptic facilitation (Aplysia) [OS=Homo sapiens]",3.8,5.61774e-8,18.73890616967108,58464.12438,816525.37,enriched hit,bf-GPI
