gene_name,protein_id,Protein.Description,LipidProbe,sample,logFC,AveExpr,pvalue,hit_annotation
GNAI2,P04899,Guanine nucleotide-binding protein G(i) subunit alpha-2,PA,membrane,0.814372628,21.20886622,0.002987459,candidate
NDUFA4,O00483,Cytochrome c oxidase subunit NDUFA4,PA,membrane,1.012739789,19.36633726,0.003308567,candidate
PON2,Q15165,Serum paraoxonase/arylesterase 2,PA,membrane,0.650440118,18.75073349,0.003644064,candidate
RALB,P11234,Ras-related protein Ral-B,PA,membrane,0.613889346,19.80889367,0.00371878,candidate
RALA,P11233,Ras-related protein Ral-A,PA,membrane,0.805115465,22.30226981,0.003790709,candidate
SLC25A6,P12236,ADP/ATP translocase 3,PA,membrane,0.99595301,20.50797732,0.004107347,candidate
NCLN,Q969V3,Nicalin,PA,membrane,0.870811065,16.61514508,0.00414413,candidate
CD55,P08174,Complement decay-accelerating factor,PA,membrane,0.634250637,23.84802786,0.004214198,candidate
JUP,P14923,Junction plakoglobin,PA,membrane,0.724652395,22.80662439,0.004225073,candidate
CANX,P27824,Calnexin,PA,membrane,0.73064941,25.23591437,0.004516046,candidate
SLC25A22,Q9H936,Mitochondrial glutamate carrier 1,PA,membrane,0.638598038,17.96429672,0.004603273,candidate
GNA11,P29992,Guanine nucleotide-binding protein subunit alpha-11,PA,membrane,0.593693727,21.90866517,0.004631885,candidate
EFNB1,P98172,Ephrin-B1,PA,membrane,0.714657383,17.76371385,0.005957625,candidate
CISD2,Q8N5K1,CDGSH iron-sulfur domain-containing protein 2,PA,membrane,1.02499332,21.96880273,0.006026811,candidate
CRTAP,O75718,Cartilage-associated protein,PA,membrane,0.665574084,19.48037538,0.006162992,candidate
NOMO1,Q15155,Nodal modulator 1,PA,membrane,0.742475842,21.25579301,0.006426076,candidate
PPIB,P23284,Peptidyl-prolyl cis-trans isomerase B,PA,membrane,0.744612562,24.85003382,0.006603049,candidate
AIFM1,O95831,"Apoptosis-inducing factor 1, mitochondrial",PA,membrane,0.914034627,18.98813274,0.007092342,candidate
SLC25A5,P05141,ADP/ATP translocase 2,PA,membrane,1.161540993,23.60863597,0.007330911,candidate
PYCR1,P32322,"Pyrroline-5-carboxylate reductase 1, mitochondrial",PA,membrane,0.936345849,18.30974353,0.007356484,candidate
ETFB,P38117,Electron transfer flavoprotein subunit beta,PA,membrane,0.832750741,20.9392935,0.007851596,candidate
HADH,Q16836,"Hydroxyacyl-coenzyme A dehydrogenase, mitochondrial",PA,membrane,0.710929707,18.26883404,0.007897372,candidate
RAB13,P51153,Ras-related protein Rab-13,PA,membrane,0.920070704,21.6262584,0.007987679,candidate
GSTK1,Q9Y2Q3,Glutathione S-transferase kappa 1,PA,membrane,0.616053651,20.794324369999998,0.008310655,candidate
BASP1,P80723,Brain acid soluble protein 1,PA,membrane,1.645317376,23.41103032,0.008664325,candidate
ATP5PO,P48047,"ATP synthase subunit O, mitochondrial",PA,membrane,0.757600906,20.52672254,0.009388119,candidate
ATP5F1E,P56381,"ATP synthase subunit epsilon, mitochondrial",PA,membrane,0.74089716,19.67912705,0.009632151,candidate
OXCT1,P55809,"Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial",PA,membrane,0.626569375,21.7605609,0.009755765,candidate
GNAS,Q5JWF2,Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas,PA,membrane,0.631697379,23.11018255,0.009802636,candidate
PDHB,P11177,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial",PA,membrane,0.96141754,19.07848591,0.009962099,candidate
ACAA2,P42765,"3-ketoacyl-CoA thiolase, mitochondrial",PA,membrane,0.715828653,18.57848581,0.010670155,candidate
SSBP1,Q04837,"Single-stranded DNA-binding protein, mitochondrial",PA,membrane,0.955186676,18.84172621,0.010876428,candidate
CLPTM1L,Q96KA5,Lipid scramblase CLPTM1L,PA,membrane,0.810843444,18.50454928,0.013498478,candidate
FAS,P25445,Tumor necrosis factor receptor superfamily member 6,PA,membrane,0.995034041,19.4058056,0.014447448,candidate
COX4I1,P13073,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial",PA,membrane,0.727666951,21.48128348,0.014914175,candidate
HSPA9,P38646,"Stress-70 protein, mitochondrial",PA,membrane,1.063634965,24.36163996,0.015553062,candidate
FH,P07954,"Fumarate hydratase, mitochondrial",PA,membrane,0.801636408,21.18584942,0.015643225,candidate
TOR1AIP1,Q5JTV8,Torsin-1A-interacting protein 1,PA,membrane,0.926643735,19.25526855,0.016182204,candidate
TRMT10C,Q7L0Y3,tRNA methyltransferase 10 homolog C,PA,membrane,0.660070102,18.76206443,0.016734663,candidate
DECR2,Q9NUI1,"Peroxisomal 2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing]",PA,membrane,0.702639284,16.29040184,0.018064711,candidate
CRELD2,Q6UXH1,Protein disulfide isomerase CRELD2,PA,membrane,0.595632512,18.66198806,0.018115048,candidate
RAB34,Q9BZG1,Ras-related protein Rab-34,PA,membrane,0.588732377,19.87555721,0.018358542,candidate
GNAI3,P08754,Guanine nucleotide-binding protein G(i) subunit alpha-3,PA,membrane,0.618778982,23.357584,0.01885562,candidate
ATP5PB,P24539,"ATP synthase F(0) complex subunit B1, mitochondrial",PA,membrane,0.635526731,20.96036489,0.020555623,candidate
SEC63,Q9UGP8,Translocation protein SEC63 homolog,PA,membrane,0.806277752,19.0789413,0.020927325,candidate
RPN2,P04844,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2,PA,membrane,0.632614634,21.95535998,0.022510232,candidate
SLC25A11,Q02978,Mitochondrial 2-oxoglutarate/malate carrier protein,PA,membrane,0.714619917,17.57678401,0.022772446,candidate
PRKCSH,P14314,Glucosidase 2 subunit beta,PA,membrane,0.590789309,23.66876665,0.022789075,candidate
SCCPDH,Q8NBX0,Saccharopine dehydrogenase-like oxidoreductase,PA,membrane,0.651484694,18.73698275,0.02328053,candidate
NPM1,P06748,Nucleophosmin,PA,membrane,0.619615309,23.4320719,0.024067514,candidate
CD9,P21926,CD9 antigen,PA,membrane,0.823790502,21.39181596,0.024433459,candidate
ATP5F1A,P25705,"ATP synthase subunit alpha, mitochondrial",PA,membrane,0.820982669,23.6922543,0.025066988,candidate
CS,O75390,"Citrate synthase, mitochondrial",PA,membrane,0.845272896,19.95319981,0.025214852,candidate
TRAP1,Q12931,"Heat shock protein 75 kDa, mitochondrial",PA,membrane,0.80123228,20.54970353,0.026555105,candidate
MDH2,P40926,"Malate dehydrogenase, mitochondrial",PA,membrane,0.676314864,22.39469081,0.027049331,candidate
STEAP4,Q687X5,Metalloreductase STEAP4,PA,membrane,0.594157674,21.13782805,0.027133902,candidate
SLC25A3,Q00325,"Phosphate carrier protein, mitochondrial",PA,membrane,0.756081027,23.54654185,0.027387618,candidate
RAB35,Q15286,Ras-related protein Rab-35,PA,membrane,0.672002208,22.22297918,0.027618503,candidate
PPIF,P30405,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",PA,membrane,0.82515646,20.32682237,0.027720838,candidate
GLUD1,P00367,"Glutamate dehydrogenase 1, mitochondrial",PA,membrane,0.919663447,20.37539729,0.027961656,candidate
ECH1,Q13011,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial",PA,membrane,0.914069883,20.01295868,0.02853621,candidate
STX4,Q12846,Syntaxin-4,PA,membrane,0.814577255,18.70223548,0.029190941,candidate
RDH11,Q8TC12,Retinol dehydrogenase 11,PA,membrane,0.704686015,19.56687742,0.02951196,candidate
IQGAP1,P46940,Ras GTPase-activating-like protein IQGAP1,PA,membrane,1.06518002,23.6439439,0.02971747,candidate
ACAT1,P24752,"Acetyl-CoA acetyltransferase, mitochondrial",PA,membrane,0.740361932,21.0377508,0.030547563,candidate
CD44,P16070,CD44 antigen,PA,membrane,0.65384097,24.26944201,0.033237886,candidate
ATP5F1C,P36542,"ATP synthase subunit gamma, mitochondrial",PA,membrane,0.874008714,20.41805594,0.033701134,candidate
SLIRP,Q9GZT3,"SRA stem-loop-interacting RNA-binding protein, mitochondrial",PA,membrane,0.864377862,19.92272683,0.035686629,candidate
CTTN,Q14247,Src substrate cortactin,PA,membrane,0.698945766,19.81546467,0.0385771,candidate
DPM1,O60762,Dolichol-phosphate mannosyltransferase subunit 1,PA,membrane,0.689620376,18.83884158,0.038772941,candidate
SHMT2,P34897,"Serine hydroxymethyltransferase, mitochondrial",PA,membrane,0.746894372,19.69566979,0.040830277,candidate
LRRC59,Q96AG4,Leucine-rich repeat-containing protein 59,PA,membrane,0.655657265,21.53055737,0.042511953,candidate
BSG,P35613,Basigin,PA,membrane,0.877915397,23.73736592,0.043968621,candidate
RDX,P35241,Radixin,PA,membrane,0.947030775,22.77986462,0.044251505,candidate
FAM162A,Q96A26,Protein FAM162A,PA,membrane,0.626520659,19.27324673,0.04564965,candidate
MET,P08581,Hepatocyte growth factor receptor,PA,membrane,0.843207897,20.71625227,1.81e-5,enriched hit
LANCL1,O43813,Glutathione S-transferase LANCL1,PA,membrane,0.836679579,20.86614856,1.94e-5,enriched hit
EGFR,P00533,Epidermal growth factor receptor,PA,membrane,1.006911727,22.88505221,6.86e-5,enriched hit
L1CAM,P32004,Neural cell adhesion molecule L1,PA,membrane,1.249798365,23.80540969,1.03763e-4,enriched hit
SRPRA,P08240,Signal recognition particle receptor subunit alpha,PA,membrane,1.141453836,20.35226406,1.06094e-4,enriched hit
SPCS2,Q15005,Signal peptidase complex subunit 2,PA,membrane,0.935182811,22.28444329,1.13337e-4,enriched hit
SLC30A1,Q9Y6M5,Proton-coupled zinc antiporter SLC30A1,PA,membrane,0.862212961,20.57118977,1.48602e-4,enriched hit
EPHB4,P54760,Ephrin type-B receptor 4,PA,membrane,0.646666559,20.15735538,2.29419e-4,enriched hit
UQCRH,P07919,"Cytochrome b-c1 complex subunit 6, mitochondrial",PA,membrane,0.978579586,18.02298199,3.49967e-4,enriched hit
STOM,P27105,Stomatin,PA,membrane,0.896043397,22.62848501,3.624e-4,enriched hit
INPP5A,Q14642,Inositol polyphosphate-5-phosphatase A,PA,membrane,0.659962236,18.97274026,4.76231e-4,enriched hit
SLC9A3R1,O14745,Na(+)/H(+) exchange regulatory cofactor NHE-RF1,PA,membrane,0.864023259,21.8627385,7.37908e-4,enriched hit
PDIA3,P30101,Protein disulfide-isomerase A3,PA,membrane,0.921552911,24.40784171,7.75518e-4,enriched hit
ATP2B1,P20020,Plasma membrane calcium-transporting ATPase 1,PA,membrane,0.633330711,23.46488784,0.00109012,enriched hit
ATP1B1,P05026,Sodium/potassium-transporting ATPase subunit beta-1,PA,membrane,0.729977764,22.69482238,0.001115083,enriched hit
TMEM214,Q6NUQ4,Transmembrane protein 214,PA,membrane,1.131716506,19.45141302,0.001158618,enriched hit
LYPD3,O95274,Ly6/PLAUR domain-containing protein 3,PA,membrane,0.675648943,20.85147601,0.001197297,enriched hit
IGF1R,P08069,Insulin-like growth factor 1 receptor,PA,membrane,0.59057038,20.2769184,0.001256012,enriched hit
GNA13,Q14344,Guanine nucleotide-binding protein subunit alpha-13,PA,membrane,0.690755835,20.97043031,0.001266038,enriched hit
NIBAN2,Q96TA1,Protein Niban 2,PA,membrane,0.926908496,21.22975702,0.001283953,enriched hit
GNAI1,P63096,Guanine nucleotide-binding protein G(i) subunit alpha-1,PA,membrane,0.691088638,21.5239396,0.00129898,enriched hit
IDH3A,P50213,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",PA,membrane,0.700508079,19.64694039,0.00134162,enriched hit
RCN1,Q15293,Reticulocalbin-1,PA,membrane,0.625222827,18.69887173,0.001375218,enriched hit
TCOF1,Q13428,Treacle protein,PA,membrane,0.706099677,17.69548229,0.001454748,enriched hit
ATP2B4,P23634,Plasma membrane calcium-transporting ATPase 4,PA,membrane,0.603165674,21.28773168,0.00167296,enriched hit
SRPRB,Q9Y5M8,Signal recognition particle receptor subunit beta,PA,membrane,1.081500898,21.67277202,0.001931942,enriched hit
HYOU1,Q9Y4L1,Hypoxia up-regulated protein 1,PA,membrane,0.698008553,21.80318594,0.00214135,enriched hit
CPS1,P31327,"Carbamoyl-phosphate synthase [ammonia], mitochondrial",PA,membrane,0.817005614,23.39989519,0.002309086,enriched hit
RHOF,Q9HBH0,Rho-related GTP-binding protein RhoF,PA,membrane,0.706858331,19.07603145,0.002624873,enriched hit
STRAP,Q9Y3F4,Serine-threonine kinase receptor-associated protein,PA,membrane,-1.345694527,22.67066521,3.01e-6,no hit
PCBP1,Q15365,Poly(rC)-binding protein 1,PA,membrane,-1.382690558,22.78560782,4.79e-6,no hit
TPT1,P13693,Translationally-controlled tumor protein,PA,membrane,-1.659130136,22.57664202,5.91e-6,no hit
MAP4,P27816,Microtubule-associated protein 4,PA,membrane,-1.061188264,21.34103645,1.36e-5,no hit
SEC24C,P53992,Protein transport protein Sec24C,PA,membrane,-1.033395703,22.03681321,1.52e-5,no hit
PDCD6,O75340,Programmed cell death protein 6,PA,membrane,-1.685511231,24.10198726,2.07e-5,no hit
UBE2D3,P61077,Ubiquitin-conjugating enzyme E2 D3,PA,membrane,-1.042554633,19.92334166,4.04e-5,no hit
MAPRE1,Q15691,Microtubule-associated protein RP/EB family member 1,PA,membrane,-1.183033915,21.33678766,4.57e-5,no hit
EEF1G,P26641,Elongation factor 1-gamma,PA,membrane,-1.331204073,23.245,4.9e-5,no hit
EIF4E,P06730,Eukaryotic translation initiation factor 4E,PA,membrane,-0.785964702,20.57954719,6.31e-5,no hit
ATXN10,Q9UBB4,Ataxin-10,PA,membrane,-0.89702211,21.15965809,7.89e-5,no hit
UBE2V1,Q13404,Ubiquitin-conjugating enzyme E2 variant 1,PA,membrane,-1.00681564,20.39497783,8.14e-5,no hit
BZW1,Q7L1Q6,eIF5-mimic protein 2,PA,membrane,-1.137876845,23.75805658,8.73e-5,no hit
SEC23A,Q15436,Protein transport protein Sec23A,PA,membrane,-0.720505929,21.1590017,1.70508e-4,no hit
MAGOH,P61326,Protein mago nashi homolog,PA,membrane,-0.782690224,19.45365236,2.0034e-4,no hit
VPS29,Q9UBQ0,Vacuolar protein sorting-associated protein 29,PA,membrane,-0.853062744,21.15294301,2.5865e-4,no hit
SEC13,P55735,Protein SEC13 homolog,PA,membrane,-1.097363086,22.27813723,2.81095e-4,no hit
PDCD6IP,Q8WUM4,Programmed cell death 6-interacting protein,PA,membrane,-0.694344105,23.36282173,4.38664e-4,no hit
APRT,P07741,Adenine phosphoribosyltransferase,PA,membrane,-0.972882878,20.93893507,4.39363e-4,no hit
COPE,O14579,Coatomer subunit epsilon,PA,membrane,-0.640094354,20.45922257,4.45912e-4,no hit
EIF4G1,Q04637,Eukaryotic translation initiation factor 4 gamma 1,PA,membrane,-0.908761196,23.52716923,4.69772e-4,no hit
AP3B1,O00203,AP-3 complex subunit beta-1,PA,membrane,-0.797823011,19.74193684,5.34763e-4,no hit
SEC31A,O94979,Protein transport protein Sec31A,PA,membrane,-0.965313129,23.25025423,6.26977e-4,no hit
MAGEA1,P43355,Melanoma-associated antigen 1,PA,membrane,-0.679895541,18.54090785,7.70714e-4,no hit
UBAP2L,Q14157,Ubiquitin-associated protein 2-like,PA,membrane,-1.307221511,21.641581,7.73944e-4,no hit
TUBA1C,Q9BQE3,Tubulin alpha-1C chain,PA,membrane,-0.891865074,23.10128637,8.45955e-4,no hit
SARS1,P49591,"Serine--tRNA ligase, cytoplasmic",PA,membrane,-0.962329681,18.20492025,8.96864e-4,no hit
SEC11A,P67812,Signal peptidase complex catalytic subunit SEC11A,PA,membrane,0.50602214,18.95777345,0.001029223,no hit
SYAP1,Q96A49,Synapse-associated protein 1,PA,membrane,-1.037346158,21.0192683,0.00118154,no hit
