gene_name,Accession,pvalue,logFC,adj_p_value,LipidProbe,hit_annotation,AveExpr
ACACA,XP_016880042.1,0.67633108088907,-0.421047653584725,0.67633108088907,PDAA,no hit,7.419755944891463
ACTB,NP_001092.1,0.14309904105405719,2.3473398056618135,0.14309904105405719,PDAA,no hit,8.147689369906226
AHCY,NP_000678.1,0.017193077129779792,2.3737880725882916,0.017193077129779792,PDAA,enriched hit,6.825771813948938
ALDH7A1,NP_001173.2,0.0033018091777568663,5.371673740108128,0.0033018091777568663,PDAA,enriched hit,7.12162468162424
ALDOA,NP_001230106.1,0.06060247384042323,2.061465807940518,0.06060247384042323,PDAA,no hit,7.40066871505049
ANXA1,XP_016870146.1,0.02245838646317678,2.0071643326363438,0.02245838646317678,PDAA,enriched hit,7.124116584065791
ANXA2,NP_001002858.1,0.017055240280942133,2.345083238395105,0.017055240280942133,PDAA,enriched hit,7.702444043671356
ATP1A1,NP_000692.2,0.011727637482461395,4.284515176982133,0.011727637482461395,PDAA,enriched hit,7.2558967787719855
ATP5F1A,XP_016881278.1,0.2181928560557534,1.8531405481236023,0.2181928560557534,PDAA,no hit,6.815376767566021
BSG,P35613,0.13162941131515837,4.923114521570678,0.13162941131515837,PDAA,no hit,6.770438307253542
CCT7,NP_006420.1,0.05689597282673108,3.032726465723098,0.05689597282673108,PDAA,no hit,6.749741760038341
CCT8,NP_006576.2,0.02095810091766827,2.4853737003015355,0.02095810091766827,PDAA,enriched hit,6.97305061823135
CKAP4,NP_006816.2,0.04557661358455532,4.2731007704871775,0.04557661358455532,PDAA,enriched hit,7.136779662099417
CLTC,XP_005257069.1,0.38095093013046727,3.1675408512810055,0.38095093013046727,PDAA,no hit,7.591213844781958
CSE1L,NP_001307.2,0.08674259258602655,2.4598791705653174,0.08674259258602655,PDAA,no hit,6.368011464957988
DDX21,NP_004719.2,0.004526079759882293,2.4457658095449863,0.004526079759882293,PDAA,enriched hit,6.594879713593413
EEF1G,NP_001395.1,0.19754524113043173,2.966216728154958,0.19754524113043173,PDAA,no hit,6.668277873291439
EEF2,NP_001952.1,0.08804065568627834,2.3841215501171766,0.08804065568627834,PDAA,no hit,7.313627984708472
EIF4A1,NP_001407.1,0.15335721114658024,2.615214523475248,0.15335721114658024,PDAA,no hit,7.10259611523669
ENO1,NP_001340275.1,0.008064772733348215,2.214939446200151,0.008064772733348215,PDAA,enriched hit,7.846700436021797
EPRS,NP_004437.2,0.02432872159680242,1.9355368608198962,0.02432872159680242,PDAA,enriched hit,6.262271863542615
FASN,NP_004095.4,0.02099748409302151,2.3283695334783645,0.02099748409302151,PDAA,enriched hit,7.167164424889097
FKBP4,NP_002005.1,0.05257537410920994,2.633428279989848,0.05257537410920994,PDAA,no hit,6.6474954188227695
FLNA,NP_001104026.1,0.08793894622211912,2.054152466528252,0.08793894622211912,PDAA,no hit,7.728954545137521
G6PD,NP_000393.4,0.0023764763879385764,2.1364820253675663,0.0023764763879385764,PDAA,enriched hit,6.423163133524919
GAPDH,NP_001276675.1,0.11445345032292575,2.1217801299842063,0.11445345032292575,PDAA,no hit,8.281690534141854
HLA-A,XP_016885777.1,0.1312550587773848,2.988147316194565,0.1312550587773848,PDAA,no hit,6.067842476537575
HNRNPA2B1,XP_005249786.1,0.0046646721610950174,2.621648225457028,0.0046646721610950174,PDAA,enriched hit,6.954308080350043
HNRNPK,NP_002131.2,0.05454715100666916,2.0173183736963733,0.05454715100666916,PDAA,no hit,7.180161517139798
HNRNPL,NP_001524.2,0.06374224672254532,1.878045601963304,0.06374224672254532,PDAA,no hit,6.751746309860242
HNRNPU,NP_114032.2,0.04373532998692435,2.1776583184031395,0.04373532998692435,PDAA,enriched hit,7.41277552412201
HRNR,NP_001009931.1,0.4489130565738459,-1.5326273379198523,0.4489130565738459,PDAA,no hit,6.287030663669263
HSP90AA1,NP_001017963.2,0.0354959535188728,2.448939917227476,0.0354959535188728,PDAA,enriched hit,7.373485509197068
HSP90AB1,NP_001258898.1,0.028218970879957016,2.4432688222281835,0.028218970879957016,PDAA,enriched hit,7.536658722683059
HSP90B1,NP_003290.1,0.08768589382452223,2.7834736973775125,0.08768589382452223,PDAA,no hit,6.781730986732977
HSPA5,NP_005338.1,0.07611686323239453,2.303188200574235,0.07611686323239453,PDAA,no hit,7.42484496227967
HSPA8,NP_006588.1,0.04683501114292847,2.809328428035885,0.04683501114292847,PDAA,enriched hit,7.577197565123472
HSPD1,NP_002147.2,0.15173888327150337,2.0201458303737896,0.15173888327150337,PDAA,no hit,7.652224585724114
IQGAP1,NP_003861.1,0.036447883895109716,2.978286395937498,0.036447883895109716,PDAA,enriched hit,6.640096149587327
KPNA2,NP_001307540.1,0.16195123264384956,2.206852020870865,0.16195123264384956,PDAA,no hit,6.566704768140282
KRT1,NP_006112.3,0.5687644371519067,-0.7655435544677128,0.5687644371519067,PDAA,no hit,8.337887742237765
